Id_es,Id_en
bufr4/3/16/001/1/301011,bufr4/3/16/001/1/301011
bufr4/3/16/001/2/004004,bufr4/3/16/001/2/004004
bufr4/3/16/001/3/301023,bufr4/3/16/001/3/301023
bufr4/3/16/001/4/001021,bufr4/3/16/001/4/001021
bufr4/3/16/001/5/002041,bufr4/3/16/001/5/002041
bufr4/3/16/001/6/019001,bufr4/3/16/001/6/019001
bufr4/3/16/001/7/010051,bufr4/3/16/001/7/010051
bufr4/3/16/001/8/019002,bufr4/3/16/001/8/019002
bufr4/3/16/001/9/019003,bufr4/3/16/001/9/019003
bufr4/3/16/001/10/019004,bufr4/3/16/001/10/019004
bufr4/3/16/002/1/008021,bufr4/3/16/002/1/008021
bufr4/3/16/002/2/004001,bufr4/3/16/002/2/004001
bufr4/3/16/002/3/004002,bufr4/3/16/002/3/004002
bufr4/3/16/002/4/004003,bufr4/3/16/002/4/004003
bufr4/3/16/002/5/004004,bufr4/3/16/002/5/004004
bufr4/3/16/002/6/004005,bufr4/3/16/002/6/004005
bufr4/3/16/002/7/001033,bufr4/3/16/002/7/001033
bufr4/3/16/002/8/008021,bufr4/3/16/002/8/008021
bufr4/3/16/002/9/004001,bufr4/3/16/002/9/004001
bufr4/3/16/002/10/004002,bufr4/3/16/002/10/004002
bufr4/3/16/002/11/004003,bufr4/3/16/002/11/004003
bufr4/3/16/002/12/004004,bufr4/3/16/002/12/004004
bufr4/3/16/002/13/004005,bufr4/3/16/002/13/004005
bufr4/3/16/002/14/007002,bufr4/3/16/002/14/007002
bufr4/3/16/002/15/007002,bufr4/3/16/002/15/007002
bufr4/3/16/003/1/110000,bufr4/3/16/003/1/110000
bufr4/3/16/003/2/031001,bufr4/3/16/003/2/031001
bufr4/3/16/003/3/008011,bufr4/3/16/003/3/008011
bufr4/3/16/003/4/008007,bufr4/3/16/003/4/008007
bufr4/3/16/003/5/104000,bufr4/3/16/003/5/104000
bufr4/3/16/003/6/031001,bufr4/3/16/003/6/031001
bufr4/3/16/003/7/005002,bufr4/3/16/003/7/005002
bufr4/3/16/003/8/006002,bufr4/3/16/003/8/006002
bufr4/3/16/003/9/010002,bufr4/3/16/003/9/010002
bufr4/3/16/003/10/011002,bufr4/3/16/003/10/011002
bufr4/3/16/003/11/008007,bufr4/3/16/003/11/008007
bufr4/3/16/003/12/008011,bufr4/3/16/003/12/008011
bufr4/3/16/004/1/111000,bufr4/3/16/004/1/111000
bufr4/3/16/004/2/031001,bufr4/3/16/004/2/031001
bufr4/3/16/004/3/008011,bufr4/3/16/004/3/008011
bufr4/3/16/004/4/008007,bufr4/3/16/004/4/008007
bufr4/3/16/004/5/007002,bufr4/3/16/004/5/007002
bufr4/3/16/004/6/007002,bufr4/3/16/004/6/007002
bufr4/3/16/004/7/102000,bufr4/3/16/004/7/102000
bufr4/3/16/004/8/031001,bufr4/3/16/004/8/031001
bufr4/3/16/004/9/005002,bufr4/3/16/004/9/005002
bufr4/3/16/004/10/006002,bufr4/3/16/004/10/006002
bufr4/3/16/004/11/011031,bufr4/3/16/004/11/011031
bufr4/3/16/004/12/008007,bufr4/3/16/004/12/008007
bufr4/3/16/004/13/008011,bufr4/3/16/004/13/008011
bufr4/3/16/005/1/108000,bufr4/3/16/005/1/108000
bufr4/3/16/005/2/031001,bufr4/3/16/005/2/031001
bufr4/3/16/005/3/008005,bufr4/3/16/005/3/008005
bufr4/3/16/005/4/008007,bufr4/3/16/005/4/008007
bufr4/3/16/005/5/005002,bufr4/3/16/005/5/005002
bufr4/3/16/005/6/006002,bufr4/3/16/005/6/006002
bufr4/3/16/005/7/001026,bufr4/3/16/005/7/001026
bufr4/3/16/005/8/019001,bufr4/3/16/005/8/019001
bufr4/3/16/005/9/008007,bufr4/3/16/005/9/008007
bufr4/3/16/005/10/008005,bufr4/3/16/005/10/008005
