Id_es,Id_en
bufr4/3/01/001/1/001001,bufr4/3/01/001/1/001001
bufr4/3/01/001/2/001002,bufr4/3/01/001/2/001002
bufr4/3/01/002/1/001003,bufr4/3/01/002/1/001003
bufr4/3/01/002/2/001004,bufr4/3/01/002/2/001004
bufr4/3/01/002/3/001005,bufr4/3/01/002/3/001005
bufr4/3/01/003/1/001011,bufr4/3/01/003/1/001011
bufr4/3/01/003/2/001012,bufr4/3/01/003/2/001012
bufr4/3/01/003/3/001013,bufr4/3/01/003/3/001013
bufr4/3/01/004/1/001001,bufr4/3/01/004/1/001001
bufr4/3/01/004/2/001002,bufr4/3/01/004/2/001002
bufr4/3/01/004/3/001015,bufr4/3/01/004/3/001015
bufr4/3/01/004/4/002001,bufr4/3/01/004/4/002001
bufr4/3/01/005/1/001035,bufr4/3/01/005/1/001035
bufr4/3/01/005/2/001034,bufr4/3/01/005/2/001034
bufr4/3/01/011/1/004001,bufr4/3/01/011/1/004001
bufr4/3/01/011/2/004002,bufr4/3/01/011/2/004002
bufr4/3/01/011/3/004003,bufr4/3/01/011/3/004003
bufr4/3/01/012/1/004004,bufr4/3/01/012/1/004004
bufr4/3/01/012/2/004005,bufr4/3/01/012/2/004005
bufr4/3/01/013/1/004004,bufr4/3/01/013/1/004004
bufr4/3/01/013/2/004005,bufr4/3/01/013/2/004005
bufr4/3/01/013/3/004006,bufr4/3/01/013/3/004006
bufr4/3/01/014/1/102002,bufr4/3/01/014/1/102002
bufr4/3/01/014/2/301011,bufr4/3/01/014/2/301011
bufr4/3/01/014/3/301012,bufr4/3/01/014/3/301012
bufr4/3/01/018/1/001114,bufr4/3/01/018/1/001114
bufr4/3/01/018/2/025185,bufr4/3/01/018/2/025185
bufr4/3/01/018/3/025186,bufr4/3/01/018/3/025186
bufr4/3/01/021/1/005001,bufr4/3/01/021/1/005001
bufr4/3/01/021/2/006001,bufr4/3/01/021/2/006001
bufr4/3/01/022/1/005001,bufr4/3/01/022/1/005001
bufr4/3/01/022/2/006001,bufr4/3/01/022/2/006001
bufr4/3/01/022/3/007001,bufr4/3/01/022/3/007001
bufr4/3/01/023/1/005002,bufr4/3/01/023/1/005002
bufr4/3/01/023/2/006002,bufr4/3/01/023/2/006002
bufr4/3/01/024/1/005002,bufr4/3/01/024/1/005002
bufr4/3/01/024/2/006002,bufr4/3/01/024/2/006002
bufr4/3/01/024/3/007001,bufr4/3/01/024/3/007001
bufr4/3/01/025/1/301023,bufr4/3/01/025/1/301023
bufr4/3/01/025/2/004003,bufr4/3/01/025/2/004003
bufr4/3/01/025/3/301012,bufr4/3/01/025/3/301012
