noteID,note_es,translated_by
1,"“Mal tiempo” se refiere a las condiciones generales que reinan durante las precipitaciones e instantes antes o después de ellas.",Original
2,"Los términos “despejado” y “cubierto” se cifran con 0 y 8, respectivamente.",Original
3,"La “media de conjunto” indica que se han promediado una serie de valores distintos correspondientes a una serie de localizaciones temporales.",Original
4,"El “promedio de tiempo” indica que los valores se promedian de manera permanente a lo largo de un período de tiempo.",Original
5,"(0 is good, 1 is bad)",Original
6,(See Common Code table C-1 in Part C/c.),Original
7,(See Common Code table C-2 in Part C/c.),Original
8,(See Common Code table C-3),Original
9,(See Common Code table C-4),Original
10,(See Common Code table C-5 Part C/c.),Original
11,(See Common Code table C-7 in Part C/c.),Original
12,(See Common Code table C-8 in Part C/c.),Original
13,(See Common Code table C-14 Part C/c.),Original
14,(To be defined by centres themselves - See Common Code table C-12 in Part C/c.),Original
15,(To be developed),Original
16,"A consecutive sequence of 2 or more of location coordinates, such as latitude and longitude pairs,defines a line or polygon. Points shall be joined in the order given in the message. Any area described will fall left of the drawn boundary in the direction established by the order of the points given in the message. This definition is for simple non-intersecting polygons without holes.",Original
17,All bits off implies a good calibration.,Original
18,All first-order statistics are in the units defined by the original data descriptors.,Original
19,Associated field significance shall be used initially in conjunction with the quality of observed data.,Original
20,La calidad mala se define actualmente como un ángulo de balanceo superior a 5 grados con relación a la vertical.,Original
21,"Beginning with the first bit position (high order bit), if the bit position is set to one, then the channel is used. If the bit position is set to zero, then the channel is not used.",Original
22,Bit flags denoting the elements included in processing sounding data.,Original
23,"Bit flags denoting the instrument and/or channels used in obtaining various physical parameters. If, in any grouping of parameters, all bits = 0, then no retrieval was made for that parameter or set of parameters.",Original
24,Bits 1-4 represent time problem code. All bits off implies the scan time is as expected.,Original
25,Bits 11-17 represent Earth location problem code. All bits set to zero implies the Earth location was normal.,Original
26,"Los bits 2 a 21 se utilizan para la sonda HIRS, pero solamente se emplean los bits 2 a 16 para la sonda AMSU-A y los bits 2 a 6 para la sonda AMSU-B.",Original
27,"Bits 5-10 represent calibration problem code. All bits set to zero indicated normal calibration. Where any of bits 5, 7, 10 are set, secondary calibration coefficients have been used.",Original
28,"Por trayecto despejado se entiende que el sondeo se ha realizado a partir de radiancias claras obtenidas de mediciones reales en puntos despejados. Se han aplicado datos HIRS troposféricos y estratosféricos, así como datos MSU y SSU.",Original
29,Por sondeo en cielo despejado se entiende que el sondeo ha sido generado a partir de un conjunto de valores de radiancias en cielo despejado utilizando todos los valores de radiancia de la sonda.,Original
30,"Por trayecto nuboso se entiende que el sondeo se ha realizado únicamente a partir de datos HIRS stratosféricos, y datos MSU y SSU. No se han aplicado datos HIRS troposféricos a causa de nubosidad",Original
31,Por sondeo en cielo nuboso se entiende que no fue posible identificar un número suficiente de valores de radiancias en cielo despejado en el área de sondeo. El sondeo se calcula a partir de la cima de las nubes (presión de las nubes mayor o igual a 780 hPa).,Original
32,Code figures 1-9: Duration and time of current measurement (vector or Doppler current profiling method).,Original
33,Code figures 11-19: Period of current measurement (drift method).,Original
34,"Code figures for generic precipitation (code figures 140-148) are arranged in order of increasing complexity. For example, a very simple station that can sense only the presence or absence of precipitation would use code figure 140 (precipitation). At the next level, an automatic station capable of sensing amount but not type would use code figure 141 or 142. An automatic station capable of sensing gross type (liquid, solid, freezing) and amount would use code figures 143-148. An automatic station capable of reporting actual types of precipitation (e.g. drizzle rain), but not the amount, would use the appropriate whole decile number (e.g. 150 for generic drizzle, 160 for generic rain).",Original
35,Descriptor 0 25 009 is deprecated. 0 25 029 should be used instead.,Original
36,"Difference statistics are difference values; they have dimensions the same as the corresponding reported values with respect to units, but assume a range centred on zero (e.g., the difference between reported and analysed values, the difference between reported and forecast values).",Original
37,"DIODE son las siglas de ""détermination immédiate d'orbite par DORIS embarqué"" (determinación inmediata de órbita mediante DORIS instalado a bordo). Es una de las funciones del instrumento DORIS, que calcula la posición y velocidad del satélite.",Original
38,Los apartados 1 y 2 no deberían utilizarse.,Original
39,"El EPSG es un conjunto de datos de sistemas de coordenadas y transformaciones de sistemas de coordenadas, elaborado y mantenido inicialmente por el Grupo Europeo de Encuestas sobre el Petróleo (EPSG). En la actualidad lo mantiene el Subcomité de Geodesia de la International Association of Oil and Gas Producers Geomatics Committee.", Original
40,"Para utilizar la cifra de clave 15, véase la Regla 12.1.4.",Original
41,"El nivel de congelación es el nivel en el que la temperatura desciende primero hasta 0 °C. Los criterios para seleccionar el nivel de congelación en las observaciones en altitud son: a) Si la temperatura en superficie no es inferior a 0 °C cuando se libera la radiosonda, se seleccionará como  nivel de congelación el nivel más bajo al que la temperatura desciende primero hasta 0 °C. b) Si la temperatura en superficie es igual a 0 °C, la temperatura en superficie será el nivel de congelación. c) Si no existe un nivel en el que la temperatura sea exactamente igual a 0 °C en la observación, se utilizarán los dos niveles más cercanos con una temperatura que oscile entre valores positivos y negativos para interpolar el nivel de congelación cuya temperatura sea igual a 0 °C. d) Se calcularán los siguientes elementos para el nivel de congelación: tiempo, elevación, presión, humedad, temperatura del punto de rocío, depresión del punto de rocío, desviación de longitud y latitud.",Original
42,Further applications may be developed.,Original
43,"Generic terms for weather (e.g. fog, drizzle) are intended for use at automatic stations capable of determining types of weather but no other information. Generic terms are included in the code table using all capital letters.",Original
44,Guía de Instrumentos y Métodos de Observación Meteorológicos.,Original
45,H = Time of observation.,Original
46,"'Hail' refers to hail, small hail or snow pellets.",Original
47,"HIRS* equivale a : canales HIRS 1 (669 cm–1) 2 (679 cm–1) 3 (690 cm–1) 4 (2 358 cm–1)",Original
48,"Si 0 08 082 = 1, el nivel estándar viene indicado por el descriptor de Clase 07, que aparece inmediatamente a continuación. Es posible indicar la altura real del sensor precediendo el descriptor por el correspondiente descriptor de Clase 07.",Original
49,If bit is set to 1 then statement is true.,Original
50,In all instances the highest code figures applicable are to be reported.,Original
51,"Coincidiendo con la observación de trombas marinas o nubes con forma de embudo, en decir, a 3 km como máximo de la estación.",Original
52,"In reports from automatic stations, code figure 2 shall be used when tendency is positive, 7 when negative, and 4 when pressure is the same as three hours before.",Original
53,"In reports from tropical stations reporting 24-hour pressure changes, code figure 2 shall be used when tendency is positive, 7 when negative, and 4 when pressure is the same as 24 hours before.",Original
54,"In the above code table, whenever reference is made to ice, it also includes solid precipitation other than snow.",Original
55,"En el caso de que la intensidad de la lluvia impida ver las nubes, el observador deberá utilizar las cifras 5 u 8. Utilizará la cifra 5 si la lluvia está localizada o es de breve duración; utilizará la cifra 8 si la lluvia es generalizada o dura largos períodos.",Original
56,"Las aguas interiores comprenden ríos, lagos, humedales y pantanos.",Original
57,Mixed precipitation is indicated by setting to one the bits of all the observed single types of precipitation.,Original
58,MMCC is Mission Management Control Centre.,Original
59,New local names for storm of various strengths shall be added as necessary.,Original
60,None of the code figures exclude the addition of interpolated levels at the discretion of the generating centre.,Original
61,"O el cielo (si el sol está bajo), o la luna o las estrellas de noche.",Original
62,"Por trayecto parcialmente nuboso se entiende que el sondeo se ha llevado a cabo a partir de radiancias claras que se han calculado en puntos parcialmente nubosos. Se han aplicado datos HIRS, troposféricos y estratosféricos, así como datos MSU y SSU.",Original
