acronym,meaning,translated_by
ADC,analog-to-digital converter,English
ADCP,Acoustic Doppler Current Profiler,English
AOS,altura de ola significativa,Original
AMV,atmospheric motion vector,English
AOT,aerosol optical thickness,English
APSP,aerosol particle size parameter,English
ASCAT,Advanced Scatterometer,English
BBP700,Particulate backscattering coefficient at 700 nm,English
BGAN,Broadband Global Area Network,English
BIPM,Bureau International de Poids et Mesures,English
DEM,digital elevation model,English
DORIS,Doppler orbitography and radio-positioning integrated by Satellite,English
DSR,data set record,English
DU,Dobson Unit,English
EDR,eddy dissipation rate,English
EOP,earth orientation parameters,English
EPS-SG,EUMETSAT Polar System Second Generation,English
EUMETSAT,European Organisation for the Exploitation of Meteorological Satellites,English
FOVs,fields of view,English
GAN,global area network,English
GHRSST,GODAE high-resolution sea-surface temperature,English
GNSS,global navigation satellite system,English
GRP,Glass-reinforced plastic,English
GRUAN,GCOS Reference Upper-Air Network,English
GTSPP,Global Temperature Salinity Profile Programme,English
HPA,high power amplifier,English
IASI-NG,Infrared Atmospheric Sounding Interferometer - New Generation ,English
ICI,Ice Cloud Imager,English
IERS,International Earth Rotation Service,English
IFOV,campo visual instantáneo,English
IFP,Intermediate Frequency Processor,English
IW,infrared window,English
JCGM,Joint Committee for Guides in Metrology,English
JMR,JASON-1 Microwave Radiometer,English
L0,level 0 (raw data),English
L2,level 2 (geophysical data),English
LOS,line of sight,English
LRM, low-resolution mode,English
LSM,landform segmentation model,English
MMCC,Mission Management Control Centre,English
MR,main reflector,English
MWI,Microwave Imager,English
MWR,microwave radiometer,English
MWS,Microwave Sounder,English
NAVATT,navigation and attitude data,English
NEDT,nose equivalent delta temperature,English
NEdT,nose equivalent delta temperature,English
NEΔT,nose equivalent delta temperature,English
NOF,normalized objective function,English
OBC,on-board calibration,English
OBCT,on board calibration target,English
OCOG,offset centre of gravity,English
OLCI,Ocean and Land Colour Instrument,English
PCS,principle component scores,English
PRF,pulse repetition frequency,English
PRT,platinum resistance thermometer,English
PTR,pulse target response,English
RAD,radiances,English
RDR,raw data record,English
RED,redundancy,English
RF,radio frequency,English
RFE,receiver front end,English
RFI,radio frequency interference,English
RFSS,radio frequency subsystem,English
RMS,root mean square,English
SAR,synthetic aperture radar,English
SCA,Scatterometer,English
SDR,sensor data record,English
SSI,surface solar irradiance,English
SWH,significant wave height,English
SZF,resampled at full resolution,English
SZR,resampled at 12.5 km swath grid,English
THM,thermistor,English
TM,telemetry,English
TROPICS,Time-Resolved Observations of Precipitation structure and storm Intensity with a Constellation of Smallsats,English
TWV,IASI-NG temperature and humidity profiles,English
WV,water vapour,English
YPR,"yaw, pitch, and roll",English
YSM,yaw steering mode,English
