CodeFigure,Meaning_en,Status,translated_by
0,Surface data - land,Operational,Original
1,Surface data - sea,Operational,Original
2,Vertical soundings (other than satellite),Operational,Original
3,Vertical soundings (satellite),Operational,Original
4,Single level upper-air data (other than satellite),Operational,Original
5,Single level upper-air data (satellite),Operational,Original
6,Radar data,Operational,Original
7,Synoptic features,Operational,Original
8,Physical/chemical constituents,Operational,Original
9,Dispersal and transport,Operational,Original
10,Radiological data,Operational,Original
11,"BUFR tables, complete replacement or update",Operational,Original
12,Surface data (satellite),Operational,Original
13,Forecasts,Operational,Original
14,Warnings,Operational,Original
15-19,Reserved,Operational,Original
20,Status information,Operational,Original
21,Radiances (satellite measured),Operational,Original
22,Radar (satellite) but not altimeter and scatterometer,Operational,Original
23,Lidar (satellite),Operational,Original
24,Scatterometry (satellite),Operational,Original
25,Altimetry (satellite),Operational,Original
26,Spectrometry (satellite),Operational,Original
27,Gravity measurement (satellite),Operational,Original
28,Precision orbit (satellite),Operational,Original
29,Space environment (satellite),Operational,Original
30,Calibration datasets (satellite),Operational,Original
31,Oceanographic data,Operational,Original
32,Lidar (ground-based),Operational,Original
33-100,Reserved,Operational,Original
101,Image data (satellite),Operational,Original
102-239,Reserved,Operational,Original
240-254,For experimental use,Operational,Original
255,Other category,Operational,Original
