Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/05/001,05,BUFR/CREX Location (horizontal – 1),005001,Latitude (high accuracy),°,5,-9000000,25,°,5,7,,,Operational
bufr4/0/05/002,05,BUFR/CREX Location (horizontal – 1),005002,Latitude (coarse accuracy),°,2,-9000,15,°,2,4,,,Operational
bufr4/0/05/011,05,BUFR/CREX Location (horizontal – 1),005011,Latitude increment (high accuracy) °,,5,-9000000,25,°,5,7,,,Operational
bufr4/0/05/012,05,BUFR/CREX Location (horizontal – 1),005012,Latitude increment (coarse accuracy),°,2,-9000,15,°,2,4,,,Operational
bufr4/0/05/015,05,BUFR/CREX Location (horizontal – 1),005015,Latitude displacement (high accuracy),°,5,-9000000,25,°,5,7,,,Operational
bufr4/0/05/016,05,BUFR/CREX Location (horizontal – 1),005016,Latitude displacement (coarse accuracy),°,2,-9000,15,°,2,4,,,Operational
bufr4/0/05/021,05,BUFR/CREX Location (horizontal – 1),005021,Bearing or azimuth,degree true,2,0,16,degree true,2,5,,,Operational
bufr4/0/05/022,05,BUFR/CREX Location (horizontal – 1),005022,Solar azimuth,degree true,2,0,16,degree true,2,5,,,Operational
bufr4/0/05/023,05,BUFR/CREX Location (horizontal – 1),005023,Sun to satellite azimuth difference,°,1,-1800,12,°,1,4,,,Operational
bufr4/0/05/030,05,BUFR/CREX Location (horizontal – 1),005030,Direction (spectral),°,0,0,12,°,0,4,,,Operational
bufr4/0/05/031,05,BUFR/CREX Location (horizontal – 1),005031,Row number,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/05/032,05,BUFR/CREX Location (horizontal – 1),005032,Y offset,m,2,-1073741824,31,m,2,11,(see Note 6),,Operational
bufr4/0/05/033,05,BUFR/CREX Location (horizontal – 1),005033,Pixel size on horizontal – 1,m,-1,0,16,m,-1,5,,,Operational
bufr4/0/05/034,05,BUFR/CREX Location (horizontal – 1),005034,Along track row number,Numeric,0,0,11,Numeric,0,4,,,Operational
bufr4/0/05/035,05,BUFR/CREX Location (horizontal – 1),005035,Maximum size of x-dimension,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/05/036,05,BUFR/CREX Location (horizontal – 1),005036,Ship transect number according to SOOP,Numeric,0,0,7,Numeric,0,2,,,Operational
bufr4/0/05/040,05,BUFR/CREX Location (horizontal – 1),005040,Orbit number,Numeric,0,0,24,Numeric,0,8,,,Operational
bufr4/0/05/041,05,BUFR/CREX Location (horizontal – 1),005041,Scan line number,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/042,05,BUFR/CREX Location (horizontal – 1),005042,Channel number,Numeric,0,0,6,Numeric,0,2,,,Operational
bufr4/0/05/043,05,BUFR/CREX Location (horizontal – 1),005043,Field of view number,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/044,05,BUFR/CREX Location (horizontal – 1),005044,Satellite cycle number,Numeric,0,0,11,Numeric,0,4,,,Operational
bufr4/0/05/045,05,BUFR/CREX Location (horizontal – 1),005045,Field of regard number,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/052,05,BUFR/CREX Location (horizontal – 1),005052,Channel number increment,Numeric I.2 – BUFR/CREX Table B/05 — 1,0,0,5,Numeric,0,2,,,Operational
bufr4/0/05/053,05,BUFR/CREX Location (horizontal – 1),005053,Field of view number increment,Numeric,0,0,5,Numeric,0,2,,,Operational
bufr4/0/05/060,05,BUFR/CREX Location (horizontal – 1),005060,Y angular position from centre of gravity,°,6,-8000000,24,°,6,8,,,Operational
bufr4/0/05/061,05,BUFR/CREX Location (horizontal – 1),005061,Z angular position from centre of gravity,°,6,-8000000,24,°,6,8,,,Operational
bufr4/0/05/063,05,BUFR/CREX Location (horizontal – 1),005063,Spacecraft roll,°,2,0,16,°,2,5,,,Operational
bufr4/0/05/064,05,BUFR/CREX Location (horizontal – 1),005064,Spacecraft pitch,°,2,0,16,°,2,5,,,Operational
bufr4/0/05/066,05,BUFR/CREX Location (horizontal – 1),005066,Spacecraft yaw,°,2,0,16,°,2,5,,,Operational
bufr4/0/05/067,05,BUFR/CREX Location (horizontal – 1),005067,Number of scan lines,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/068,05,BUFR/CREX Location (horizontal – 1),005068,Profile number,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/05/069,05,BUFR/CREX Location (horizontal – 1),005069,Receiver channel,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/05/070,05,BUFR/CREX Location (horizontal – 1),005070,Observation identifier,Numeric,0,0,30,Numeric,0,10,,,Operational
bufr4/0/05/071,05,BUFR/CREX Location (horizontal – 1),005071,Stripmap identifier,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/05/072,05,BUFR/CREX Location (horizontal – 1),005072,Number of spectra in range direction,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/073,05,BUFR/CREX Location (horizontal – 1),005073,Number of spectra in azimuthal direction,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/074,05,BUFR/CREX Location (horizontal – 1),005074,Index in range direction,Numeric,0,0,8,Numeric,0,3,,,Operational
bufr4/0/05/075,05,BUFR/CREX Location (horizontal – 1),005075,Index in azimuthal direction,Numeric I.2 – BUFR/CREX Table B/05 — 2,0,0,8,Numeric,0,3,,,Operational
