Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/12/001/1/301043,12,Категория 12 — Последовательности сводок по одному уровню,312001,(спутниковые данные),,301043,"Указатель спутника, метод расчета ветра, дата/время, местоположение",,,,Operational
bufr4/3/12/001/1/304001,12,Категория 12 — Последовательности сводок по одному уровню,312001,(спутниковые данные),,304001,"Давление на верхней границе облачности, температура, ветер",,,,Operational
bufr4/3/12/002/1/301043,12,Категория 12 — Последовательности сводок по одному уровню,312002,,,301043,"Указатель спутника, метод расчета ветра, дата/время, местоположение",,,,Operational
bufr4/3/12/002/1/304002,12,Категория 12 — Последовательности сводок по одному уровню,312002,,,304002,"Давление на верхней границе облачности, ветер",,,,Operational
bufr4/3/12/003/1/301042,12,Категория 12 — Последовательности сводок по одному уровню,312003,,,301042,"Указатель спутника, прибор, методика обработки данных, дата/время, местоположение",,,,Operational
bufr4/3/12/003/1/304003,12,Категория 12 — Последовательности сводок по одному уровню,312003,,,304003,Приземная температура,,,,Operational
bufr4/3/12/004/1/301042,12,Категория 12 — Последовательности сводок по одному уровню,312004,,,301042,"Указатель спутника, прибор, методика обработки данных, дата/время, местоположение",,,,Operational
bufr4/3/12/004/1/304004,12,Категория 12 — Последовательности сводок по одному уровню,312004,,,304004,"Давление на верхней границе облаков, облачный покров, температура",,,,Operational
bufr4/3/12/005/1/301042,12,Категория 12 — Последовательности сводок по одному уровню,312005,,,301042,"Указатель спутника, прибор, методика обработки данных, дата/время, местоположение",,,,Operational
bufr4/3/12/005/1/020014,12,Категория 12 — Последовательности сводок по одному уровню,312005,,,020014,Высота верхней границы облачности,,,,Operational
bufr4/3/12/006/1/301044,12,Категория 12 — Последовательности сводок по одному уровню,312006,,,301044,"Указатель спутника, метод расчета влажности, дата/ время, местоположение",,,,Operational
bufr4/3/12/006/1/304005,12,Категория 12 — Последовательности сводок по одному уровню,312006,,,304005,"Относительная влажность, средняя по слою",,,,Operational
bufr4/3/12/007/1/301042,12,Категория 12 — Последовательности сводок по одному уровню,312007,,,301042,"Указатель спутника, прибор, методика обработки данных, дата/время",,,,Operational
bufr4/3/12/007/1/304006,12,Категория 12 — Последовательности сводок по одному уровню,312007,,,304006,Радиация,,,,Operational
bufr4/3/12/010/1/001007,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,001007,Указатель спутника,,,,Operational
bufr4/3/12/010/1/005040,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,005040,Номер орбиты,,,,Operational
bufr4/3/12/010/1/002021,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,002021,"Данные о спутниковых приборах, используемые при обработке",,,,Operational
bufr4/3/12/010/1/005041,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,005041,Номер строки сканирования,,,,Operational
bufr4/3/12/010/1/004001,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,004001,Год,,,,Operational
bufr4/3/12/010/1/004043,12,Категория 12 — Последовательности сводок по одному уровню,312010,"(Орбитальная информация, часть I)",,004043,День года,,,,Operational
bufr4/3/12/011/1/202131,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,202131,Изменить масштаб,,,,Operational
bufr4/3/12/011/1/201149,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,201149,Изменить длину данных,,,,Operational
bufr4/3/12/011/1/004006,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,004006,Секунда,,,,Operational
bufr4/3/12/011/1/201000,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,201000,Изменить длину данных,,,,Operational
bufr4/3/12/011/1/202126,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,202126,Изменить масштаб,,,,Operational
bufr4/3/12/011/1/010002,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,010002,Высота,,,,Operational
bufr4/3/12/011/1/202000,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,202000,Изменить масштаб,,,,Operational
bufr4/3/12/011/1/005043,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,005043,Номер поля зрения,,,,Operational
bufr4/3/12/011/1/005053,12,Категория 12 — Последовательности сводок по одному уровню,312011,"(Орбитальная информация, часть II)",,005053,Приращение номера поля зрения,,,,Operational
bufr4/3/12/012/1/202129,12,Категория 12 — Последовательности сводок по одному уровню,312012,(Яркостные температуры HIRS — каналы 1–19),,202129,Изменить масштаб,,,,Operational
bufr4/3/12/012/1/201132,12,Категория 12 — Последовательности сводок по одному уровню,312012,(Яркостные температуры HIRS — каналы 1–19),,201132,Изменить длину данных I.2 — Табл. D BUFR/12 — 1,(продолж.),,,Operational
bufr4/3/12/012/1/101019,12,Категория 12 — Последовательности сводок по одному уровню,312012,,,101019,Повторить 1 дескриптор 19 раз,,,,Operational
bufr4/3/12/012/1/012063,12,Категория 12 — Последовательности сводок по одному уровню,312012,,,012063,Яркостная температура,,,,Operational
bufr4/3/12/012/1/201000,12,Категория 12 — Последовательности сводок по одному уровню,312012,,,201000,Изменить длину данных,,,,Operational
bufr4/3/12/012/1/202000,12,Категория 12 — Последовательности сводок по одному уровню,312012,,,202000,Изменить масштаб,,,,Operational
bufr4/3/12/013/1/005042,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,005042,Номер канала,,,,Operational
bufr4/3/12/013/1/202129,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,202129,Изменить масштаб,,,,Operational
bufr4/3/12/013/1/201135,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,201135,Изменить длину данных,,,,Operational
bufr4/3/12/013/1/012063,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,012063,Яркостная температура,,,,Operational
bufr4/3/12/013/1/201000,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,201000,Изменить длину данных,,,,Operational
bufr4/3/12/013/1/202000,12,Категория 12 — Последовательности сводок по одному уровню,312013,(Яркостные температуры HIRS — канал 20),,202000,Изменить масштаб,,,,Operational
bufr4/3/12/014/1/312010,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,312010,"Орбитальная информация, часть I",,,,Operational
bufr4/3/12/014/1/312011,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,312011,"Орбитальная информация, часть II",,,,Operational
bufr4/3/12/014/1/105056,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,105056,Повторить 5 дескрипторов 56 раз,,,,Operational
bufr4/3/12/014/1/301023,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,301023,Широта/долгота (низкая точность),,,,Operational
bufr4/3/12/014/1/005042,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,005042,Номер канала,,,,Operational
bufr4/3/12/014/1/005052,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,005052,Приращение номера канала,,,,Operational
bufr4/3/12/014/1/312012,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,312012,Яркостные температуры HIRS — каналы 1–19,,,,Operational
bufr4/3/12/014/1/312013,12,Категория 12 — Последовательности сводок по одному уровню,312014,(Спутниковые данные HIRS),,312013,Яркостные температуры HIRS — канал 20,,,,Operational
bufr4/3/12/015/1/109011,12,Категория 12 — Последовательности сводок по одному уровню,312015,(Яркостные температуры MSU — каналы 1–4),,109011,Повторить 9 дескрипторов 11 раз,,,,Operational
