Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/40/001/1/001007,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,001007,Указатель спутника,,,,Operational
bufr4/3/40/001/1/001031,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,001031,Идентификация центра-поставщика/производителя,,,,Operational
bufr4/3/40/001/1/002019,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,002019,Спутниковые приборы,,,,Operational
bufr4/3/40/001/1/002020,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,002020,Классификация спутников,,,,Operational
bufr4/3/40/001/1/004001,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004001,Год,,,,Operational
bufr4/3/40/001/1/004002,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004002,Месяц,,,,Operational
bufr4/3/40/001/1/004003,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004003,День,,,,Operational
bufr4/3/40/001/1/004004,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004004,Час,,,,Operational
bufr4/3/40/001/1/004005,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004005,Минута,,,,Operational
bufr4/3/40/001/1/202131,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,202131,Добавить 3 к шкале Изменить масштаб,,,,Operational
bufr4/3/40/001/1/201138,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,201138,Добавить 10 к длине Изменить длину данных,,,,Operational
bufr4/3/40/001/1/004006,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,004006,Секунда,,,,Operational
bufr4/3/40/001/1/201000,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,201000,Отмена Изменить длину данных,,,,Operational
bufr4/3/40/001/1/202000,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,202000,Отмена Изменить масштаб,,,,Operational
bufr4/3/40/001/1/005001,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,005001,Широта (высокая точность),,,,Operational
bufr4/3/40/001/1/006001,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,006001,Долгота (высокая точность),,,,Operational
bufr4/3/40/001/1/007024,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,007024,Зенитный угол спутника,,,,Operational
bufr4/3/40/001/1/005021,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,005021,Пеленг или азимут,,,,Operational
bufr4/3/40/001/1/007025,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,007025,Зенитный угол Солнца,,,,Operational
bufr4/3/40/001/1/005022,40,Категория 40 — Дополнительные последовательности спутниковых сводок,340001,(Данные уровня 1с IASI),,005022,Азимут Солнца,,,,Operational
