Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/02/001/1/010004,02,"Категория 02 — Метеорологические последовательности,",302001,(Давление и его изменение за 3 часа),,010004,Давление,Уровень станции,,,Operational
bufr4/3/02/001/1/010051,02,"Категория 02 — Метеорологические последовательности,",302001,(Давление и его изменение за 3 часа),,010051,"Давление, приведенное к среднему уровню моря",,,,Operational
bufr4/3/02/001/1/010061,02,"Категория 02 — Метеорологические последовательности,",302001,(Давление и его изменение за 3 часа),,010061,Изменение давления за 3 часа,,,,Operational
bufr4/3/02/001/1/010063,02,"Категория 02 — Метеорологические последовательности,",302001,(Давление и его изменение за 3 часа),,010063,Характеристика барической тенденции,,,,Operational
bufr4/3/02/002/1/010004,02,"Категория 02 — Метеорологические последовательности,",302002,(Высотная станция),,010004,Давление,Уровень станции,,,Operational
bufr4/3/02/002/1/007004,02,"Категория 02 — Метеорологические последовательности,",302002,(Высотная станция),,007004,Давление,Уровень давления,,,Operational
bufr4/3/02/002/1/010003,02,"Категория 02 — Метеорологические последовательности,",302002,(Высотная станция),,010003,Геопотенциал,Уровень давления,,,Operational
bufr4/3/02/002/1/010061,02,"Категория 02 — Метеорологические последовательности,",302002,(Высотная станция),,010061,Изменение давления за 3 часа,,,,Operational
bufr4/3/02/002/1/010063,02,"Категория 02 — Метеорологические последовательности,",302002,(Высотная станция),,010063,Характеристика барической тенденции,,,,Operational
bufr4/3/02/003/1/011011,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,011011,Направление ветра на высоте 10 м,,,,Operational
bufr4/3/02/003/1/011012,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,011012,Скорость ветра на высоте 10 м,,,,Operational
bufr4/3/02/003/1/012004,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,012004,Температура воздуха на высоте 2 м,,,,Operational
bufr4/3/02/003/1/012006,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,012006,Температура точки росы на высоте 2 м,,,,Operational
bufr4/3/02/003/1/013003,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,013003,Относительная влажность,,,,Operational
bufr4/3/02/003/1/020001,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,020001,Горизонтальная видимость,,,,Operational
bufr4/3/02/003/1/020003,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,020003,Текущая погода,,,,Operational
bufr4/3/02/003/1/020004,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,020004,Прошедшая погода (1),,,,Operational
bufr4/3/02/003/1/020005,02,"Категория 02 — Метеорологические последовательности,",302003,"(Ветер, температура, влажность, видимость, погода)",,020005,Прошедшая погода (2),,,,Operational
bufr4/3/02/004/1/020010,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020010,Облачность (общая),,,,Operational
bufr4/3/02/004/1/008002,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,008002,Вертикальная значимость (приземные наблюдения),,,,Operational
bufr4/3/02/004/1/020011,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020011,Количество облаков,,,,Operational
bufr4/3/02/004/1/020013,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020013,Высота нижней границы облаков,,,,Operational
bufr4/3/02/004/1/020012,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020012,Тип облачности,,,,Operational
bufr4/3/02/004/2/020012,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020012,Тип облачности,,,,Operational
bufr4/3/02/004/3/020012,02,"Категория 02 — Метеорологические последовательности,",302004,(Общая информация об облачности),,020012,Тип облачности,,,,Operational
bufr4/3/02/005/1/008002,02,"Категория 02 — Метеорологические последовательности,",302005,(Облачный слой),,008002,Вертикальная значимость (приземные наблюдения),,,,Operational
bufr4/3/02/005/1/020011,02,"Категория 02 — Метеорологические последовательности,",302005,(Облачный слой),,020011,Количество облаков,,,,Operational
bufr4/3/02/005/1/020012,02,"Категория 02 — Метеорологические последовательности,",302005,(Облачный слой),,020012,Тип облачности,,,,Operational
bufr4/3/02/005/1/020013,02,"Категория 02 — Метеорологические последовательности,",302005,(Облачный слой),,020013,Высота нижней границы облаков,,,,Operational
bufr4/3/02/006/1/010004,02,"Категория 02 — Метеорологические последовательности,",302006,(Давление и его изменение за 24 часа),,010004,Давление,Уровень станции,,,Operational
bufr4/3/02/006/1/010051,02,"Категория 02 — Метеорологические последовательности,",302006,(Давление и его изменение за 24 часа),,010051,"Давление, приведенное к среднему уровню моря",,,,Operational
bufr4/3/02/006/1/010062,02,"Категория 02 — Метеорологические последовательности,",302006,(Давление и его изменение за 24 часа),,010062,Изменение давления за 24 часа,,,,Operational
bufr4/3/02/006/1/010063,02,"Категория 02 — Метеорологические последовательности,",302006,(Давление и его изменение за 24 часа),,010063,Характеристика барической тенденции,,,,Operational
bufr4/3/02/011/1/302001,02,"Категория 02 — Метеорологические последовательности,",302011,(Низкорасположенная станция),,302001,Давление и изменение давления за 3 часа,,,,Operational
bufr4/3/02/011/1/302003,02,"Категория 02 — Метеорологические последовательности,",302011,(Низкорасположенная станция),,302003,"Ветер, температура, влажность, видимость, погода",,,,Operational
bufr4/3/02/011/1/302004,02,"Категория 02 — Метеорологические последовательности,",302011,(Низкорасположенная станция),,302004,Общая информация об облачности,Значительный слой облачности,,,Operational
bufr4/3/02/012/1/302002,02,"Категория 02 — Метеорологические последовательности,",302012,(Высотная станция),,302002,Высотная станция,Давление и изменение давления,,,Operational
bufr4/3/02/012/1/302003,02,"Категория 02 — Метеорологические последовательности,",302012,(Высотная станция),,302003,"Ветер, температура, влажность, видимость, погода",,,,Operational
bufr4/3/02/012/1/302004,02,"Категория 02 — Метеорологические последовательности,",302012,(Высотная станция),,302004,Общая информация об облачности,Значительный слой облачности,,,Operational
bufr4/3/02/013/1/302006,02,"Категория 02 — Метеорологические последовательности,",302013,(Основная сводка приземных данных),,302006,Давление и изменение давления за 24 часа,,,,Operational
bufr4/3/02/013/1/302003,02,"Категория 02 — Метеорологические последовательности,",302013,(Основная сводка приземных данных),,302003,"Ветер, температура, влажность, видимость, погода",,,,Operational
bufr4/3/02/013/1/101000,02,"Категория 02 — Метеорологические последовательности,",302013,(Основная сводка приземных данных),,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/02/013/1/031001,02,"Категория 02 — Метеорологические последовательности,",302013,(Основная сводка приземных данных),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/02/013/1/302005,02,"Категория 02 — Метеорологические последовательности,",302013,(Основная сводка приземных данных),,302005,Облачный слой,,,,Operational
bufr4/3/02/021/1/022001,02,"Категория 02 — Метеорологические последовательности,",302021,(Волнение),,022001,Направление волн,,,,Operational
bufr4/3/02/021/1/022011,02,"Категория 02 — Метеорологические последовательности,",302021,(Волнение),,022011,Период волн,,,,Operational
