Id,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status
bufr4/0/02/001/0,002001,Тип станции,0,Автоматическая станция,,,,,Operational
bufr4/0/02/001/1,002001,Тип станции,1,Станция с персоналом,,,,,Operational
bufr4/0/02/001/2,002001,Тип станции,2,"Станция смешанного типа: и с персоналом, и автоматическая",,,,,Operational
bufr4/0/02/001/3,002001,Тип станции,3,Отсутствующее значение,,,,,Operational
bufr4/0/02/002/1,002002,Тип приборного обеспечения для измерения ветра,1,Сертифицированные приборы,,,,,Operational
bufr4/0/02/002/2,002002,Тип приборного обеспечения для измерения ветра,2,Первоначально измеряемые в узлах ч -1,,,,,Operational
bufr4/0/02/002/3,002002,Тип приборного обеспечения для измерения ветра,3,Первоначально измеряемые в км · ч,,,,,Operational
bufr4/0/02/002/All-4,002002,Тип приборного обеспечения для измерения ветра,Все 4,Отсутствующее значение,,,,,Operational
bufr4/0/02/003/0,002003,Тип используемого измерительного оборудования,0,"Прибор измерения давления, связанный с оборудованием измерения ветра",,,,,Operational
bufr4/0/02/003/1,002003,Тип используемого измерительного оборудования,1,Оптический теодолит,,,,,Operational
bufr4/0/02/003/2,002003,Тип используемого измерительного оборудования,2,Радиотеодолит,,,,,Operational
bufr4/0/02/003/3,002003,Тип используемого измерительного оборудования,3,Радиолокатор,,,,,Operational
bufr4/0/02/003/4,002003,Тип используемого измерительного оборудования,4,VLF-Омега,,,,,Operational
bufr4/0/02/003/5,002003,Тип используемого измерительного оборудования,5,Loran-C,,,,,Operational
bufr4/0/02/003/6,002003,Тип используемого измерительного оборудования,6,Профилометр ветра,,,,,Operational
bufr4/0/02/003/7,002003,Тип используемого измерительного оборудования,7,Спутниковая навигация,,,,,Operational
bufr4/0/02/003/8,002003,Тип используемого измерительного оборудования,8,Система радиоакустического зондирования (РАСС),,,,,Operational
bufr4/0/02/003/9,002003,Тип используемого измерительного оборудования,9,Содар,,,,,Operational
bufr4/0/02/003/10,002003,Тип используемого измерительного оборудования,10,Лидар,,,,,Operational
bufr4/0/02/003/11-13,002003,Тип используемого измерительного оборудования,11-13,Зарезервированы,,,,,Operational
bufr4/0/02/003/14,002003,Тип используемого измерительного оборудования,14,"Прибор измерения давления, связанный с оборудованием измерения ветра, но элемент давления отказал во время запуска",,,,,Operational
bufr4/0/02/003/15,002003,Тип используемого измерительного оборудования,15,Отсутствующее значение,,,,,Operational
bufr4/0/02/004/0,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",0,Испаритель США с испарительным сосудом (без крышки),,,,,Operational
bufr4/0/02/004/1,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",1,Испаритель США с испарительным сосудом (с сеткой),,,,,Operational
bufr4/0/02/004/2,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",2,Испаритель ГГИ-3000 (врытый в землю),Испарение,,,,Operational
bufr4/0/02/004/3,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",3,Испарительный бассейн 20 м,,,,,Operational
bufr4/0/02/004/4,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",4,Другие виды,,,,,Operational
bufr4/0/02/004/5,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",5,Рис,,,,,Operational
bufr4/0/02/004/6,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",6,Пшеница,,,,,Operational
bufr4/0/02/004/7,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",7,Маис,Суммарное испарение,,,,Operational
bufr4/0/02/004/8,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",8,Сорго,,,,,Operational
bufr4/0/02/004/9,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",9,Другие культуры,,,,,Operational
bufr4/0/02/004/10-14,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",10-14,Зарезервированы,,,,,Operational
bufr4/0/02/004/15,002004,"Тип приборов для измерения испарения или вид сельскохозяйственной культуры, по которой сообщаются данные об эвапотранспирации Прибор или вид сельскохозяйственной культуры Тип данных",15,Отсутствующее значение,,,,,Operational
bufr4/0/02/007/0,002007,Тип датчика в случае прибора для измерения уровня воды,0,Зарезервирована,,,,,Operational
bufr4/0/02/007/1,002007,Тип датчика в случае прибора для измерения уровня воды,1,Кодовый датчик углового положения поплавкового типа,,,,,Operational
bufr4/0/02/007/2,002007,Тип датчика в случае прибора для измерения уровня воды,2,Ультразвуковой,,,,,Operational
bufr4/0/02/007/3,002007,Тип датчика в случае прибора для измерения уровня воды,3,Радиолокационный,,,,,Operational
bufr4/0/02/007/4,002007,Тип датчика в случае прибора для измерения уровня воды,4,Давление (датчик давления простой),,,,,Operational
bufr4/0/02/007/5,002007,Тип датчика в случае прибора для измерения уровня воды,5,Давление (датчик давления многофункциональный),,,,,Operational
bufr4/0/02/007/6,002007,Тип датчика в случае прибора для измерения уровня воды,6,Давление (в измерительном колодце),,,,,Operational
bufr4/0/02/007/7,002007,Тип датчика в случае прибора для измерения уровня воды,7,Давление в барботажном измерителе,,,,,Operational
bufr4/0/02/007/8,002007,Тип датчика в случае прибора для измерения уровня воды,8,Акустический (с измерительной трубкой),,,,,Operational
bufr4/0/02/007/9,002007,Тип датчика в случае прибора для измерения уровня воды,9,Акустический (на открытом воздухе),,,,,Operational
bufr4/0/02/007/10-62,002007,Тип датчика в случае прибора для измерения уровня воды,10-62,Зарезервированы,,,,,Operational
bufr4/0/02/007/63,002007,Тип датчика в случае прибора для измерения уровня воды,63,Отсутствующее значение,,,,,Operational
bufr4/0/02/008/0,002008,Тип оффшорной платформы,0,Фиксированная платформа,,,,,Operational
bufr4/0/02/008/1,002008,Тип оффшорной платформы,1,Подвижное шельфовое буровое судно,,,,,Operational
bufr4/0/02/008/2,002008,Тип оффшорной платформы,2,Самоподъемная буровая установка,,,,,Operational
bufr4/0/02/008/3,002008,Тип оффшорной платформы,3,Полупогружная буровая платформа,,,,,Operational
bufr4/0/02/008/4,002008,Тип оффшорной платформы,4,"Плавучая установка для добычи, хранения и отгрузки нефти (FPSO)",,,,,Operational
bufr4/0/02/008/5,002008,Тип оффшорной платформы,5,Плавучий маяк,,,,,Operational
bufr4/0/02/008/6-14,002008,Тип оффшорной платформы,6-14,Зарезервированы,,,,,Operational
bufr4/0/02/008/15,002008,Тип оффшорной платформы,15,Отсутствующее значение,,,,,Operational
bufr4/0/02/011,002011,Тип радиозонда,,(См. общую кодовую таблицу C–2 в части C/c.),,,,,Operational
bufr4/0/02/012,002012,Расчетный метод для радиозондовых наблюдений (будет разработан),,,,,,,Operational
bufr4/0/02/013/0,002013,Поправка на солнечную и инфракрасную радиацию,0,Нет коррекции,,,,,Operational
bufr4/0/02/013/1,002013,Поправка на солнечную и инфракрасную радиацию,1,Коррекция КПМН на солнечную и инфракрасную радиацию,,,,,Operational
bufr4/0/02/013/2,002013,Поправка на солнечную и инфракрасную радиацию,2,Коррекция КПМН на солнечную радиацию и коррекция на инфракрасную радиацию,,,,,Operational
bufr4/0/02/013/3,002013,Поправка на солнечную и инфракрасную радиацию,3,Только коррекция КПМН на солнечную радиацию,,,,,Operational
bufr4/0/02/013/4,002013,Поправка на солнечную и инфракрасную радиацию,4,"Коррекция на солнечную и инфракрасную радиацию, осуществляемая автоматически самой радиозондовой системой",,,,,Operational
bufr4/0/02/013/5,002013,Поправка на солнечную и инфракрасную радиацию,5,"Коррекция на солнечную радиацию, осуществляемая автоматически самой радиозондовой системой",,,,,Operational
bufr4/0/02/013/6,002013,Поправка на солнечную и инфракрасную радиацию,6,"Коррекция на солнечную и инфракрасную радиацию, осуществляемая как указывается страной",,,,,Operational
bufr4/0/02/013/7,002013,Поправка на солнечную и инфракрасную радиацию,7,"Коррекция на солнечную, осуществляемая как указывается страной",,,,,Operational
bufr4/0/02/013/8,002013,Поправка на солнечную и инфракрасную радиацию,8,"Коррекция на солнечную и инфракрасную радиацию, как указывается в ГРУАН",,,,,Operational
bufr4/0/02/013/9,002013,Поправка на солнечную и инфракрасную радиацию,9,"Коррекция на солнечную радиацию, как указывается в ГРУАН",,,,,Operational
bufr4/0/02/013/10-14,002013,Поправка на солнечную и инфракрасную радиацию,10-14,Зарезервированы,,,,,Operational
bufr4/0/02/013/15,002013,Поправка на солнечную и инфракрасную радиацию,15,Отсутствующее значение,,,,,Operational
bufr4/0/02/014,002014,Методика слежения/состояние используемой системы,,(См. общую кодовую таблицу C–7 в части C/c.),,,,,Operational
bufr4/0/02/015/0,002015,Полнота радиозондовых измерений,0,Зарезервирована,,,,,Operational
bufr4/0/02/015/1,002015,Полнота радиозондовых измерений,1,Радиозонд измеряет только давление,,,,,Operational
