Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/42/001,42,Океанографические элементы в BUFR/CREX,042001,Преобладающее направление зыби на спектральном участке,deg,0,0,9,deg,0,3,,,Operational
bufr4/0/42/002,42,Океанографические элементы в BUFR/CREX,042002,Высота значительной волны зыби на спектральном участке,m,1,0,9,m,1,3,,,Operational
bufr4/0/42/003,42,Океанографические элементы в BUFR/CREX,042003,Преобладающая длина волны зыби на спектральном участке,m,2,100,17,m,2,6,,,Operational
bufr4/0/42/004,42,Океанографические элементы в BUFR/CREX,042004,Достоверность инверсии для каждого участка спектров зыби,Кодовая таблица,0,0,4,Кодовая таблица,0,2,,,Operational
bufr4/0/42/005,42,Океанографические элементы в BUFR/CREX,042005,Коэффициент устранения неопределенности для участка спектра зыби,Числ.,5,-100000,18,Числ.,5,6,,,Operational
bufr4/0/42/006,42,Океанографические элементы в BUFR/CREX,042006,Возраст волны,Числ.,2,1,8,Числ.,2,3,,,Operational
bufr4/0/42/007,42,Океанографические элементы в BUFR/CREX,042007,Самая короткая длина океанской волны в спектральном разрешении,m,2,0,16,m,2,5,,,Operational
bufr4/0/42/008,42,Океанографические элементы в BUFR/CREX,042008,Нелинейная обратная величина ширины спектра,m,2,0,16,m,2,5,,,Operational
bufr4/0/42/009,42,Океанографические элементы в BUFR/CREX,042009,Указание участка элементов разрешения,Числ.,0,0,8,Числ.,0,3,,,Operational
bufr4/0/42/010,42,Океанографические элементы в BUFR/CREX,042010,Номер участка,Числ.,0,1,4,Числ.,0,2,,,Operational
bufr4/0/42/011,42,Океанографические элементы в BUFR/CREX,042011,Коэффициент a1 направленных рядов Фурье,Числ.,4,-20000,15,Числ.,4,6,,,Operational
bufr4/0/42/012,42,Океанографические элементы в BUFR/CREX,042012,Коэффициент b1 направленных рядов Фурье,Числ.,4,-20000,15,Числ.,4,6,,,Operational
bufr4/0/42/013,42,Океанографические элементы в BUFR/CREX,042013,Коэффициент a2 направленных рядов Фурье,Числ.,4,-20000,15,Числ.,4,6,,,Operational
bufr4/0/42/014,42,Океанографические элементы в BUFR/CREX,042014,Коэффициент b2 направленных рядов Фурье,Числ.,4,-20000,15,Числ.,4,6,,,Operational
bufr4/0/42/015,42,Океанографические элементы в BUFR/CREX,042015,Проверочный фактор K,Числ.,2,0,12,Числ.,2,4,,,Operational
