Id,FXY,ElementName_ru,CodeFigure,EntryName_ru,EntryName_sub1_ru,EntryName_sub2_ru,Note_ru,noteIDs,Status
bufr4/0/01/003/0,001003,Номер Региона ВМО/географический район,0,Антарктика,,,,,Operational
bufr4/0/01/003/1,001003,Номер Региона ВМО/географический район,1,Регион I,,,,,Operational
bufr4/0/01/003/2,001003,Номер Региона ВМО/географический район,2,Регион II,,,,,Operational
bufr4/0/01/003/3,001003,Номер Региона ВМО/географический район,3,Регион III,,,,,Operational
bufr4/0/01/003/4,001003,Номер Региона ВМО/географический район,4,Регион IV,,,,,Operational
bufr4/0/01/003/5,001003,Номер Региона ВМО/географический район,5,Регион V,,,,,Operational
bufr4/0/01/003/6,001003,Номер Региона ВМО/географический район,6,Регион VI,,,,,Operational
bufr4/0/01/003/7,001003,Номер Региона ВМО/географический район,7,Отсутствующее значение,,,,,Operational
bufr4/0/01/007,001007,Указатель спутника,,(См. общую кодовую таблицу C–5 в части C/c.),,,,,Operational
bufr4/0/01/024/0,001024,Источник данных о скорости ветра,0,Отсутствие данных о скорости ветра,,,,,Operational
bufr4/0/01/024/1,001024,Источник данных о скорости ветра,1,Данные AMSR-E,,,,,Operational
bufr4/0/01/024/2,001024,Источник данных о скорости ветра,2,Данные TMI,,,,,Operational
bufr4/0/01/024/3,001024,Источник данных о скорости ветра,3,ЧПП: ЕЦСПП,,,,,Operational
bufr4/0/01/024/4,001024,Источник данных о скорости ветра,4,ЧПП: Метеобюро СК,,,,,Operational
bufr4/0/01/024/5,001024,Источник данных о скорости ветра,5,ЧПП: НЦПОС,,,,,Operational
bufr4/0/01/024/6,001024,Источник данных о скорости ветра,6,Справочная климатология,,,,,Operational
bufr4/0/01/024/7,001024,Источник данных о скорости ветра,7,Скаттерометр на борту ЕРС,,,,,Operational
bufr4/0/01/024/8-30,001024,Источник данных о скорости ветра,8-30,Зарезервированы для дальнейшего использования,,,,,Operational
bufr4/0/01/024/31,001024,Источник данных о скорости ветра,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/028/0,001028,Источник данных об оптической плотности аэрозоля (ОПА),0,Отсутствие данных об ОПА,,,,,Operational
bufr4/0/01/028/1,001028,Источник данных об оптической плотности аэрозоля (ОПА),1,НЕСДИС,,,,,Operational
bufr4/0/01/028/2,001028,Источник данных об оптической плотности аэрозоля (ОПА),2,НАВОКЕАНО,,,,,Operational
bufr4/0/01/028/3,001028,Источник данных об оптической плотности аэрозоля (ОПА),3,НААПС,,,,,Operational
bufr4/0/01/028/4,001028,Источник данных об оптической плотности аэрозоля (ОПА),4,MERIS,,,,,Operational
bufr4/0/01/028/5,001028,Источник данных об оптической плотности аэрозоля (ОПА),5,AATSR,,,,,Operational
bufr4/0/01/028/6-30,001028,Источник данных об оптической плотности аэрозоля (ОПА),6-30,Зарезервированы для дальнейшего использования,,,,,Operational
bufr4/0/01/028/31,001028,Источник данных об оптической плотности аэрозоля (ОПА),31,Отсутствующее значение,,,,,Operational
bufr4/0/01/029/0,001029,Источник данных о ПСИ,0,Отсутствие данных о ПСИ,,,,,Operational
bufr4/0/01/029/1,001029,Источник данных о ПСИ,1,SEVIRI на борту МВП,,,,,Operational
bufr4/0/01/029/2,001029,Источник данных о ПСИ,2,ГОЕС Восток,,,,,Operational
bufr4/0/01/029/3,001029,Источник данных о ПСИ,3,ГОЕС Запад,,,,,Operational
bufr4/0/01/029/4,001029,Источник данных о ПСИ,4,ЕЦСПП,,,,,Operational
bufr4/0/01/029/5,001029,Источник данных о ПСИ,5,НЦПОС,,,,,Operational
bufr4/0/01/029/6,001029,Источник данных о ПСИ,6,Метеобюро СК,,,,,Operational
bufr4/0/01/029/7-30,001029,Источник данных о ПСИ,7-30,Зарезервированы для дальнейшего использования,,,,,Operational
bufr4/0/01/029/31,001029,Источник данных о ПСИ,31,Отсутствующее значение,,,,,Operational
bufr4/0/01/031,001031,Идентификация центра — поставщика/производителя продукции,,(См. общую кодовую таблицу C–1 в части C/c.),,,,,Operational
bufr4/0/01/033,001033,Идентификация центра — поставщика/производителя продукции,,(См. общую кодовую таблицу C–1 в части C/c.),,,,,Operational
bufr4/0/01/034,001034,Идентификация подцентра — поставщика/производителя продукции,,(Будет определено самими центрами — см. общую кодовую таблицу C–12 в части C/c.),,,,,Operational
bufr4/0/01/036/0-36000,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",0-36000,Зарезервированы,,,,,Operational
bufr4/0/01/036/36001,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",36001,"Австралия, Бюро метеорологии (АБМ)",,,,,Operational
bufr4/0/01/036/36002,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",36002,"Австралия, Совместный австралийский фонд для систем наблюдения за океаном (JAFOOS)",,,,,Operational
bufr4/0/01/036/36003,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",36003,"Австралия, Организация по научным и промышленным исследованиям для стран Содружества (КСИРО)",,,,,Operational
bufr4/0/01/036/36004-124000,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",36004-124000,Зарезервированы,,,,,Operational
bufr4/0/01/036/124001,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124001,"Канада, Служба данных по морской окружающей среде (МЕДС)",,,,,Operational
bufr4/0/01/036/124002,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124002,"Канада, Институт океанологии (IOS)",,,,,Operational
bufr4/0/01/036/124003-124172,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124003-124172,Зарезервированы,,,,,Operational
bufr4/0/01/036/124173,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124173,"Канада, Министерство окружающей среды Канады",,,,,Operational
bufr4/0/01/036/124174,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124174,"Канада, Министерство национальной обороны",,,,,Operational
bufr4/0/01/036/124175,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124175,"Канада, Аэронавигационная служба Канады",,,,,Operational
bufr4/0/01/036/124176-156000,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",124176-156000,Зарезервированы,,,,,Operational
bufr4/0/01/036/156001,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",156001,"Китай, Государственное управление по океанам",,,,,Operational
bufr4/0/01/036/156002,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",156002,"Китай, Второй институт океанографии, Государственное управление по океанам",,,,,Operational
bufr4/0/01/036/156003,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",156003,"Китай, Институт технологий, связанных с океаном",,,,,Operational
bufr4/0/01/036/156004-250000,001036,"Организация, ответственная за функционирование наблюдательной платформы (Первые три цифры представляют собой код страны ИСО)",156004-250000,Зарезервированы,,,,,Operational
