Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/13/009/1/021001,13,"Категория 13 — Последовательности, объединяющие данные изображений",313009,(Величины радиолокационной отражательной способности),,021001,Горизонтальная отражательная способность,,,,Operational
bufr4/3/13/009/1/101000,13,"Категория 13 — Последовательности, объединяющие данные изображений",313009,(Величины радиолокационной отражательной способности),,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/13/009/1/031001,13,"Категория 13 — Последовательности, объединяющие данные изображений",313009,(Величины радиолокационной отражательной способности),,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/13/009/2/021001,13,"Категория 13 — Последовательности, объединяющие данные изображений",313009,(Величины радиолокационной отражательной способности),,021001,Горизонтальная отражательная способность,,,,Operational
bufr4/3/13/010/1/021036,13,"Категория 13 — Последовательности, объединяющие данные изображений",313010,"(Интенсивность осадков, измеряемая с помощью радиолокатора)",,021036,"Интенсивность осадков, измеряемая с помощью радиолокатора",,,,Operational
bufr4/3/13/010/1/101000,13,"Категория 13 — Последовательности, объединяющие данные изображений",313010,"(Интенсивность осадков, измеряемая с помощью радиолокатора)",,101000,Повторение с задержкой 1 дескриптора,,,,Operational
bufr4/3/13/010/1/031001,13,"Категория 13 — Последовательности, объединяющие данные изображений",313010,"(Интенсивность осадков, измеряемая с помощью радиолокатора)",,031001,Коэффициент повторения дескриптора с задержкой,,,,Operational
bufr4/3/13/010/2/021036,13,"Категория 13 — Последовательности, объединяющие данные изображений",313010,"(Интенсивность осадков, измеряемая с помощью радиолокатора)",,021036,"Интенсивность осадков, измеряемая с помощью радиолокатора",,,,Operational
bufr4/3/13/031/1/006002,13,"Категория 13 — Последовательности, объединяющие данные изображений",313031,(Закодированный ряд без указания длины пробега для величины элемента изображения (4 бита)),,006002,Долгота (низкая точность) Местоположение первой долготы минус одно приращение,,,,Operational
bufr4/3/13/031/1/006012,13,"Категория 13 — Последовательности, объединяющие данные изображений",313031,(Закодированный ряд без указания длины пробега для величины элемента изображения (4 бита)),,006012,Приращение по долготе (низкая точность),,,,Operational
