Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/06/001,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006001,Долгота (высокая точность),°,5 -18000000,,26,°,5,8,,,Operational
bufr4/0/06/002,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006002,Долгота (низкая точность),°,2,-18000,16,°,2,5,,,Operational
bufr4/0/06/011,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006011,Увеличение долготы (высокая точность),°,5 -18000000,,26,°,5,8,,,Operational
bufr4/0/06/012,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006012,Увеличение долготы (низкая точность),°,2,-18000,16,°,2,5,,,Operational
bufr4/0/06/015,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006015,Сдвиг по долготе (высокая точность),°,5 -18000000,,26,°,5,8,,,Operational
bufr4/0/06/016,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006016,Сдвиг по долготе (низкая точность),°,2,-18000,16,°,2,5,,,Operational
bufr4/0/06/021,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006021,Расстояние,м,-1,0,13,м,-1,4,,,Operational
bufr4/0/06/029,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006029,Волновое число,-1 м,1,0,22,-1 м,1,7,,,Operational
bufr4/0/06/030,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006030,Волновое число (спектральное),-1 рад·м,5,0,13,-1 рад·м,5,4,,,Operational
bufr4/0/06/031,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006031,Номер колонки,Числ.,0,0,12,Числ.,0,4,,,Operational
bufr4/0/06/032,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006032,Смещение по оси X,м,2 -1073741824,,31,м,2,11,(см. примечание 6),,Operational
bufr4/0/06/033,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006033,Размер элемента изображения на горизонтали – 2,м,-1,0,16,м,-1,5,,,Operational
bufr4/0/06/034,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006034,Номер ячейки поперек траектории,Числ.,0,0,7,Числ.,0,3,,,Operational
bufr4/0/06/035,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006035,Максимальный размер Y-размерности,Числ.,0,0,12,Числ.,0,4,,,Operational
bufr4/0/06/040,06,Местоположение (горизонтальное – 2) в BUFR/CREX,006040,Диапазон достоверности,м,0,0,13,м,0,4,,,Operational
