Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/22/001,22,Океанографические элементы в BUFR/CREX,022001,Направление волн,истинные градусы,0,0,9,истинные градусы,0,3,,,Operational
bufr4/0/22/002,22,Океанографические элементы в BUFR/CREX,022002,Направление ветровых волн,истинные градусы,0,0,9,истинные градусы,0,3,,,Operational
bufr4/0/22/003,22,Океанографические элементы в BUFR/CREX,022003,Направление зыби,истинные градусы,0,0,9,истинные градусы,0,3,,,Operational
bufr4/0/22/004,22,Океанографические элементы в BUFR/CREX,022004,Направление течения,истинные градусы,0,0,9,истинные градусы,0,3,(см. примечание 7),,Operational
bufr4/0/22/005,22,Океанографические элементы в BUFR/CREX,022005,Направление поверхностного морского течения,истинные градусы,0,0,9,истинные градусы,0,3,,,Operational
bufr4/0/22/011,22,Океанографические элементы в BUFR/CREX,022011,Период волн,с,0,0,6,с,0,2,,,Operational
bufr4/0/22/012,22,Океанографические элементы в BUFR/CREX,022012,Период ветровых волн,с,0,0,6,с,0,2,,,Operational
bufr4/0/22/013,22,Океанографические элементы в BUFR/CREX,022013,Период зыби,с,0,0,6,с,0,2,,,Operational
bufr4/0/22/021,22,Океанографические элементы в BUFR/CREX,022021,Высота волн,м,1,0,10,м,1,4,,,Operational
bufr4/0/22/022,22,Океанографические элементы в BUFR/CREX,022022,Высота ветровых волн,м,1,0,10,м,1,4,,,Operational
bufr4/0/22/023,22,Океанографические элементы в BUFR/CREX,022023,Высота зыби,м,1,0,10,м,1,4,,,Operational
bufr4/0/22/025,22,Океанографические элементы в BUFR/CREX,022025,Стандартное отклонение высоты волны,м,2,0,10,м,2,4,,,Operational
bufr4/0/22/026,22,Океанографические элементы в BUFR/CREX,022026,Стандартное отклонение высоты значительной волны,м,2,0,10,м,2,4,,,Operational
bufr4/0/22/031,22,Океанографические элементы в BUFR/CREX,022031,Скорость течения,-1 м·с,2,0,13,-1 м·с,2,4,,,Operational
bufr4/0/22/032,22,Океанографические элементы в BUFR/CREX,022032,Скорость поверхностного морского течения,-1 м·с,2,0,13,-1 м·с,2,4,,,Operational
bufr4/0/22/035,22,Океанографические элементы в BUFR/CREX,022035,Высота прилива по отношению к локальному нулю графика,м,2,0,14,м,2,4,,,Operational
bufr4/0/22/036,22,Океанографические элементы в BUFR/CREX,022036,Метеорологическая составляющая высоты прилива (нагон или сгон),м,2,0,14,м,2,4,,,Operational
bufr4/0/22/037,22,Океанографические элементы в BUFR/CREX,022037,Высота прилива по отношению к национальному наземному реперу,м,3,-10000,15,м,3,5,,,Operational
bufr4/0/22/038,22,Океанографические элементы в BUFR/CREX,022038,Высота прилива по отношению к локальному нулю графика,м,3,-10000,15,м,3,5,,,Operational
bufr4/0/22/039,22,Океанографические элементы в BUFR/CREX,022039,Метеорологическая составляющая высоты прилива (нагон или сгон),м,3,-5000,13,м,3,4,(см. примечание 4),,Operational
bufr4/0/22/040,22,Океанографические элементы в BUFR/CREX,022040,Метеорологическая составляющая высоты прилива (нагон или сгон),м,3,-5000,14,м,3,5,(см. примечание 4),,Operational
bufr4/0/22/041,22,Океанографические элементы в BUFR/CREX,022041,Температура поверхности моря (скользящая средняя за 15 дней),K,1,0,12,K,1,4,,,Operational
bufr4/0/22/042,22,Океанографические элементы в BUFR/CREX,022042,Температура моря/воды,K,1,0,12,K,1,4,,,Operational
