Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/08/001/1/301033,08,Категория 08 — Последовательности сводок приземных данных (море),308001,(Буй/платформа — фиксированные),,301033,"Буй/платформа — фиксированные Идентификация, тип, дата/время, местоположение",,,,Operational
bufr4/3/08/001/1/302011,08,Категория 08 — Последовательности сводок приземных данных (море),308001,(Буй/платформа — фиксированные),,302011,Низкорасположенная станция Основная сводка приземных данных,,,,Operational
bufr4/3/08/001/1/022042,08,Категория 08 — Последовательности сводок приземных данных (море),308001,(Буй/платформа — фиксированные),,022042,Температура моря/воды (Буй/платформа — фиксированные),,,,Operational
bufr4/3/08/002/1/301034,08,Категория 08 — Последовательности сводок приземных данных (море),308002,(высокая точность),,301034,"Буй/платформа — фиксированные Идентификация, тип, дата/время, местоположение",,,,Operational
bufr4/3/08/002/1/302011,08,Категория 08 — Последовательности сводок приземных данных (море),308002,(высокая точность),,302011,Низкорасположенная станция Основная сводка приземных данных,,,,Operational
bufr4/3/08/002/1/022042,08,Категория 08 — Последовательности сводок приземных данных (море),308002,(высокая точность),,022042,Температура моря/воды (Буй/платформа — подвижные) (см. примечание 1),,,,Operational
bufr4/3/08/003/1/301035,08,Категория 08 — Последовательности сводок приземных данных (море),308003,(низкая точность),,301035,"Буй/платформа — подвижные Идентификация, тип, дата/время, местоположение",,,,Operational
bufr4/3/08/003/1/302011,08,Категория 08 — Последовательности сводок приземных данных (море),308003,(низкая точность),,302011,Низкорасположенная станция Основная сводка приземных данных,,,,Operational
bufr4/3/08/003/1/022042,08,Категория 08 — Последовательности сводок приземных данных (море),308003,(низкая точность),,022042,Температура моря/воды (Судно),,,,Operational
bufr4/3/08/004/1/301036,08,Категория 08 — Последовательности сводок приземных данных (море),308004,(низкая точность),,301036,"Судно Идентификация, тип, дата/время, местоположение",,,,Operational
bufr4/3/08/004/1/302011,08,Категория 08 — Последовательности сводок приземных данных (море),308004,(низкая точность),,302011,Низкорасположенная станция Основная сводка приземных данных,,,,Operational
bufr4/3/08/004/1/022042,08,Категория 08 — Последовательности сводок приземных данных (море),308004,(низкая точность),,022042,Температура моря/воды,,,,Operational
