Id,ClassNo,ClassName_ru,FXY,ElementName_ru,BUFR_Unit_ru,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_ru,CREX_Scale,CREX_DataWidth_Char,Note_ru,noteIDs,Status
bufr4/0/14/001,14,Радиация и излучение в BUFR/CREX,014001,"Длинноволновая радиация, интегрированная за 24 часа",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/002,14,Радиация и излучение в BUFR/CREX,014002,"Длинноволновая радиация, интегрированная за указанный период",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/003,14,Радиация и излучение в BUFR/CREX,014003,"Коротковолновая радиация, интегрированная за 24 часа",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/004,14,Радиация и излучение в BUFR/CREX,014004,"Коротковолновая радиация, интегрированная за указанный период",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/011,14,Радиация и излучение в BUFR/CREX,014011,"Остаточная длинноволновая радиация, интегрированная за 24 часа",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/012,14,Радиация и излучение в BUFR/CREX,014012,"Остаточная длинноволновая радиация, интегрированная за указанный период",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/013,14,Радиация и излучение в BUFR/CREX,014013,"Остаточная коротковолновая радиация, интегрированная за 24 часа",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/014,14,Радиация и излучение в BUFR/CREX,014014,"Остаточная коротковолновая радиация, интегрированная за указанный период",-2 Дж·м,-3,-65536,17,-2 Дж·м,-3,5,,,Operational
bufr4/0/14/015,14,Радиация и излучение в BUFR/CREX,014015,Радиационный баланс за 24 часа,-2 Дж·м,-4,-16384,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/016,14,Радиация и излучение в BUFR/CREX,014016,"Радиационный баланс, интегрированный за указанный период",-2 Дж·м,-4,-16384,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/017,14,Радиация и излучение в BUFR/CREX,014017,Мгновенная длинноволновая радиация,-2 Вт·м,0,-512,10,-2 Вт·м,0,4,,,Operational
bufr4/0/14/018,14,Радиация и излучение в BUFR/CREX,014018,Мгновенная коротковолновая радиация,-2 Вт·м,0,-2048,12,-2 Вт·м,0,4,,,Operational
bufr4/0/14/019,14,Радиация и излучение в BUFR/CREX,014019,Альбедо поверхности,%,0,0,7,%,0,3,,,Operational
bufr4/0/14/020,14,Радиация и излучение в BUFR/CREX,014020,"Суммарная солнечная радиация, интегрированная за 24 часа",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/021,14,Радиация и излучение в BUFR/CREX,014021,"Суммарная солнечная радиация, интегрированная за указанный период",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/022,14,Радиация и излучение в BUFR/CREX,014022,"Рассеянная солнечная радиация, интегрированная за 24 часа",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/023,14,Радиация и излучение в BUFR/CREX,014023,"Рассеянная солнечная радиация, интегрированная за указанный период",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/024,14,Радиация и излучение в BUFR/CREX,014024,"Прямая солнечная радиация, интегрированная за 24 часа",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/025,14,Радиация и излучение в BUFR/CREX,014025,"Прямая солнечная радиация, интегрированная за указанный период",-2 Дж·м,-4,0,15,-2 Дж·м,-4,5,,,Operational
bufr4/0/14/026,14,Радиация и излучение в BUFR/CREX,014026,Альбедо на вершинах облаков,%,0,0,7,%,0,3,,,Operational
bufr4/0/14/027,14,Радиация и излучение в BUFR/CREX,014027,Альбедо,%,0,0,7,%,0,3,,,Operational
bufr4/0/14/028,14,Радиация и излучение в BUFR/CREX,014028,"Суммарная солнечная радиация (высокая точность), интегрированная за указанный период",-2 Дж·м,-2,0,20,-2 Дж·м,-2,6,,,Operational
bufr4/0/14/029,14,Радиация и излучение в BUFR/CREX,014029,"Рассеянная солнечная радиация (высокая точность), интегрированная за указанный период",-2 Дж·м,-2,0,20,-2 Дж·м,-2,6,,,Operational
bufr4/0/14/030,14,Радиация и излучение в BUFR/CREX,014030,"Прямая солнечная радиация (высокая точность), интегрированная за указанный период",-2 Дж·м,-2,0,20,-2 Дж·м,-2,6,,,Operational
bufr4/0/14/031,14,Радиация и излучение в BUFR/CREX,014031,Общая продолжительность солнечного сияния,Минута,0,0,11,Минута,0,4,,,Operational
