Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/03/001,03,Instrumentos,003001,Tipo de estación de superficie,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/003,03,Instrumentos,003003,Abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/004,03,Instrumentos,003004,Tipo de garita/abrigo/protección contra la radiación,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/005,03,Instrumentos,003005,Anchura horizontal de la garita o protección (x),m,3,0,16,m,3,5,,,Operational,Original
bufr4/0/03/006,03,Instrumentos,003006,Profundidad horizontal de la garita o protección (y),m,3,0,16,m,3,5,,,Operational,Original
bufr4/0/03/007,03,Instrumentos,003007,Altura vertical de la garita o protección (z),m,3,0,16,m,3,5,,,Operational,Original
bufr4/0/03/008,03,Instrumentos,003008,Garita o protección ventilada artificialmente,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/009,03,Instrumentos,003009,Cantidad de ventilación forzada en el momento de la lectura,m s-1,1,0,9,m s-1,1,3,,,Operational,Original
bufr4/0/03/010,03,Instrumentos,003010,Método de medición de la corriente del mar/agua,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/011,03,Instrumentos,003011,Método de cálculo de la profundidad,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/012,03,Instrumentos,003012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/016,03,Instrumentos,003016,Posición de los sensores de carretera,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/017,03,Instrumentos,003017,Tipo de estación ampliado,Tabla de banderines,0,0,6,Tabla de banderines,0,2,,,Operational,Original
bufr4/0/03/018,03,Instrumentos,003018,Tipo de carretera,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/019,03,Instrumentos,003019,Tipo de construcción,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/020,03,Instrumentos,003020,Material del abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/021,03,Instrumentos,003021,Calefacción del higrómetro,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/022,03,Instrumentos,003022,Propietario del instrumento,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/023,03,Instrumentos,003023,Configuración de las persianas del abrigo del termómetro/higrómetro,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,Operational,Original
bufr4/0/03/024,03,Instrumentos,003024,Coeficiente psicrométrico,K-1,6,0,10,K-1,6,3,,,Operational,Original
bufr4/0/03/025,03,Instrumentos,003025,Tamaño del área estimada transversal a la trayectoria,m,0,5000,16,m,0,5,,,Operational,Original
bufr4/0/03/026,03,Instrumentos,003026,Tamaño del área estimada en el sentido de la trayectoria,m,0,5000,16,m,0,5,,,Operational,Original
bufr4/0/03/027,03,Instrumentos,003027,Tipo de mecanismo de vuelo,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/028,03,Instrumentos,003028,Método de medición del equivalente en agua de la nieve,Tabla de cifrado,0,0,6,Tabla de cifrado,0,2,,,Operational,Original
bufr4/0/03/029,03,Instrumentos,003029,Franja,Code table,0,0,3,Code table,0,1,,,Operational,AI Translator: MCP
bufr4/0/03/030,03,Instrumentos,003030,Estado de la antena,Code table,0,0,3,Code table,0,1,,,Operational,AI Translator: MCP
bufr4/0/03/031,03,Instrumentos,003031,"Ancho de banda del canal, full width half maximum (FWHM)",m,11,0,16,m,11,13,,,Operational,AI Translator: MCP
bufr4/0/03/032,03,Instrumentos,003032,frecuencia,Hz,-6,0,26,Hz,-6,10,,,Operational,AI Translator: MCP
bufr4/0/03/033,03,Instrumentos,003033,canal,Hz,-6,0,26,Hz,-6,10,,,Operational,AI Translator: MCP
bufr4/0/03/034,03,Instrumentos,003034,longitud de onda,m,9,0,16,m,9,5,,,Operational,AI Translator: MCP
