tableNo,tableName,noteID,notation
00,BUFR/CREX table entries,TB_00_5,5
01,BUFR/CREX Identification,,
02,BUFR/CREX Instrumentation,TB_02_3,3
02,BUFR/CREX Instrumentation,TB_02_2,2
02,BUFR/CREX Instrumentation,TB_02_1,1
03,BUFR/CREX Instrumentation,,
04,BUFR/CREX Location (time),TB_04_7,7
04,BUFR/CREX Location (time),TB_04_5,5
04,BUFR/CREX Location (time),TB_04_1,1
04,BUFR/CREX Location (time),TB_04_4,4
04,BUFR/CREX Location (time),TB_04_3,3
04,BUFR/CREX Location (time),TB_04_2,2
05,BUFR/CREX Location (horizontal - 1),TB_05_4,4
05,BUFR/CREX Location (horizontal - 1),TB_05_3,3
05,BUFR/CREX Location (horizontal - 1),TB_05_2,2
05,BUFR/CREX Location (horizontal - 1),TB_05_5,5
05,BUFR/CREX Location (horizontal - 1),TB_05_1,1
06,BUFR/CREX Location (horizontal - 2),TB_06_4,4
06,BUFR/CREX Location (horizontal - 2),TB_06_3,3
06,BUFR/CREX Location (horizontal - 2),TB_06_5,5
06,BUFR/CREX Location (horizontal - 2),TB_06_1,1
06,BUFR/CREX Location (horizontal - 2),TB_06_2,2
07,BUFR/CREX Location (vertical),,
08,BUFR/CREX Significance qualifiers,TB_08_2,2
08,BUFR/CREX Significance qualifiers,TB_08_1,1
10,BUFR/CREX Non-coordinate location (vertical),TB_10_1,1
11,BUFR/CREX Non-coordinate location (vertical),TB_11_4,4
11,BUFR/CREX Non-coordinate location (vertical),TB_11_2,2
11,BUFR/CREX Non-coordinate location (vertical),TB_11_7,7
11,BUFR/CREX Non-coordinate location (vertical),TB_11_3,3
11,BUFR/CREX Non-coordinate location (vertical),TB_11_1,1
11,BUFR/CREX Non-coordinate location (vertical),TB_11_5,5
12,BUFR/CREX Temperature,,
13,BUFR/CREX Hydrographic and hydrological elements,TB_13_1,1
14,BUFR/CREX Radiation and radiance,TB_14_1,1
14,BUFR/CREX Radiation and radiance,TB_14_2,2
14,BUFR/CREX Radiation and radiance,TB_14_3,3
15,BUFR/CREX Physical/chemical constituents,TB_15_4,4
19,BUFR/CREX Synoptic features,,
20,BUFR/CREX Observed phenomena,,
21,BUFR/CREX Radar data,,
22,BUFR/CREX Oceanographic elements,TB_22_8,8
23,BUFR/CREX Dispersal and transport,,
24,BUFR/CREX Radiological elements,TB_24_1,1
25,BUFR/CREX Processing information,,
26,BUFR/CREX Non-coordinate location (time),,
27,BUFR/CREX Non-coordinate location (horizontal - 1),,
28,BUFR/CREX Non-coordinate location (horizontal - 2),,
29,BUFR/CREX Map data,,
30,BUFR/CREX Image,TB_30_2,2
30,BUFR/CREX Image,TB_30_1,1
31,BUFR Data description operator qualifiers,,
33,BUFR/CREX Quality information,,
35,BUFR/CREX Data monitoring information,,
40,BUFR/CREX Satellite data,,
41,BUFR/CREX Oceanographic/biogeochemical parameters,,
42,BUFR/CREX Oceanographic elements,,
