noteID,note_fr,translated_by
1,'Bad weather' denotes the conditions which generally exist during precipitation and a short time before and after.,Original
2,"(voir Note 1) 1) Pour l’emploi du chiffre du code 15, voir la règle 12.1.4. 2) «Clair» et «couvert» portent les chiffres 0 et 8 respectivement.",Original
3,'Ensemble mean' indicates that a number of distinct values corresponding to a set of time locations are averaged.,Original
4,'Time averaged' indicates that values are continuously averaged over a period of time.,Original
5,"(0 is good, 1 is bad)",Original
6,(See Common Code table C-1 in Part C/c.),Original
7,(See Common Code table C-2 in Part C/c.),Original
8,(See Common Code table C-3),Original
9,(See Common Code table C-4),Original
10,(See Common Code table C-5 Part C/c.),Original
11,(See Common Code table C-7 in Part C/c.),Original
12,(See Common Code table C-8 in Part C/c.),Original
13,(See Common Code table C-14 Part C/c.),Original
14,(To be defined by centres themselves - See Common Code table C-12 in Part C/c.),Original
15,(To be developed),Original
16,"Une séquence d’au moins deux paires de coordonnées de position, telles que latitude et longitude, définit une ligne ou un polygone. Les points sont reliés dans l’ordre indiqué dans le message. Toute zone décrite se situera à gauche de la ligne dessinée dans le sens indiqué. Cette définition s’applique à des polygones simples, non intersectants et sans trou.",Original
17,"Si tous les bits sont mis à 0, cela signifie que l’étalonnage est correct.",Original
18,All first-order statistics are in the units defined by the original data descriptors.,Original
19,"1) La signification du champ associé correspond, au début, à la qualité des données observées. 2) Le chiffre du code 21 peut être utilisé dans des messages corrigés où les valeurs substituées/corrigées sont déterminées. 3) D’autres applications peuvent être prévues.",Original
20,Bad is currently defined as a roll angle > 5 degrees from vertical.,Original
21,"En commençant par la position du premier bit (bit de plus fort poids), si le bit est mis à 1, le canal est utilisé. Si le bit est mis à zéro, le canal n’est pas utilisé.",Original
22,Bit flags denoting the elements included in processing sounding data.,Original
23,HIRS* signifie: canaux HIRS 1 (669 cm–1) 2 (679 cm–1) 3 (690 cm–1) 4 (2358 cm–1),Original
24,Bits 1-4 represent time problem code. All bits off implies the scan time is as expected.,Original
25,Bits 11-17 represent Earth location problem code. All bits set to zero implies the Earth location was normal.,Original
26,"Bits 2-21 used for HIRS, but only bits 2-16 used for AMSU-A and only bits 2-6 used for AMSU-B.",Original
