acronym,meaning,translated_by
АПДТ,Акустический профиломер Доплера для измерения течения,Original
АМС,Автоматическая метеорологическая станция,Original
ATOVS,Усовершенствованная система TOVS,Original
AVHRR,Радиометр видимого и инфракрасного диапазонов с высоким разрешением,Original
BUFR,Бинарный универсальный формат для представления метеорологических данных,Original
ВМО,Всемирная Метеорологическая Организация,Original
ГЛОНАСС,Глобальные навигационные спутниковые системы (GNSS),Original
ГТСПП,Глобальная программа по температуре и солености (GTSPP),Original
ДАРТ,Батиметрический регистратор глубоководного давления для оценки и регистрации цунами,Original
ЕЦСПП,Европейский центр среднесрочных прогнозов погоды (ECMWF),Original
ИСО,Международная организация по стандартизации (ISO),Original
НЦДСЛ,Национальный центр данных по снегу и льду,Original
НЦПОС,Национальные центры прогнозирования окружающей среды (NCEP),Original
НУОА,Национальное управление по исследованию океанов и атмосферы (NOAA),Original
ОВД,Обслуживание воздушного движения,Original
ОПА,Оптическая плотность аэрозоля (AOD),Original
ПСИ,Поверхностная плотность потока солнечного излучения на приземном уровне (SSI),Original
ПТМ,Температура поверхности моря (SST),Original
РА,Региональная ассоциация,Original
РСМЦ,Региональные специализированные метеорологические центры,Original
РПИ,Район полетной информации (FIR),Original
ВРПИ,Верхний район полетной информации (UIR),Original
СТА,Диспетчерский район (CTA),Original
ТПМ,Температура поверхности моря,Original
ТПМВРГ,Данные высокого разрешения о температуре поверхности моря (GHRSST),Original
ЦКМ,Центр космической метеорологии,Original
ОСИ-САФ,Центр по применению спутников для изучения океана и морского льда (OSI-SAF),Original
ЧПП,Численное прогнозирование погоды (NWP),Original
НМЦ,Национальный метеорологический центр,Original
РУТ,Regional/Specialized Meteorological Centres,Original
JMR,Микроволновый радиометр JASON-1,Original
HIRS,Прибор для инфракрасного зондирования с высоким разрешением,Original
MSU,Прибор для микроволнового зондирования,Original
SSU,Прибор для стратосферного зондирования,Original
AMI,Активный микроволновый прибор,Original
RADAR,Радиолокационный альтиметр,Original
ATSR,Радиометр сканирующий вдоль трассы,Original
ASCAT,Усовершенствованный скаттерометр,Original
PRF,Частота повторения импульсов,Original
SW,Программное обеспечение,Original
ADF,Вспомогательные файлы данных,Original
