acronym,meaning,translated_by
AOS,altura de ola significativa,original
ASAR,radar de apertura sintética avanzado,original
DORIS,orbitografía y radiolocalización doppler integrada por satélite,original
DSR,Registro de conjuntos de datos,original
DU,unidad Dobson,original
EDR,tasa de disipación de turbulencia,original
GHRSST,mediciones de alta resolución de la temperatura de la superficie del mar del GODAE,original
GNSS,Sistema Mundial de Navegación por Satélite,original
GRUAN,Red de referencia de observación en altitud del SMOC,original
GTSPP,Programa Mundial sobre el Perfil de la Temperatura y la Salinidad,original
IFOV,campo visual instantáneo,original
ISS,irradiancia solar en superficie,original
LRM,modo de baja resolución,original
MMCC,Centro de gestión y control de la misión,original
PRF,Frecuencia de repetición de los impulsos,original
PRT,temperatura de resistencia de platino,original
PWLR,regresión segmentada lineal cúbica,original
RF,radio frecuencia,original
RMJ,radiómetro en microondas JASON-1,original
SAR,radar de apertura sintética,original
