Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/24/001,24,Classe 24 — éléments radiologiques,024001,Estimation de la quantité de radio-activité rejetée jusqu’à une heure donnée,Bq ­–11,,0,28,Bq,-11,9,,,Operational,Original
bufr4/0/24/002,24,Classe 24 — éléments radiologiques,024002,Rejet potentiel maximal estimé,Bq–11,,0,28,Bq,-11,9,,,Operational,Original
bufr4/0/24/003,24,Classe 24 — éléments radiologiques,024003,Composition du rejet,Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/24/004,24,Classe 24 — éléments radiologiques,024004,Nom de l’élément,CCITT IA5,0,0,16,Caractère,0,2,,,Operational,Original
bufr4/0/24/005,24,Classe 24 — éléments radiologiques,024005,Masse isotopique,Numérique,0,0,9,Numérique,0,3,,,Operational,Original
bufr4/0/24/011,24,Classe 24 — éléments radiologiques,024011,Dose,mSv*,2,0,32,mSv*,2,10,,,Operational,Original
bufr4/0/24/012,24,Classe 24 — éléments radiologiques,024012,Trajectoire et dose (position définie et heure d’arrivée prévue),mSv,2,0,32,mSv,2,10,,,Operational,Original
bufr4/0/24/013,24,Classe 24 — éléments radiologiques,024013,Dose gamma dans l’air le long de la route du transport principal (en un lieu et pour une période précis),mSv,2,0,32,mSv,2,10,,,Operational,Original
bufr4/0/24/014,24,Classe 24 — éléments radiologiques,024014,Débit de dose de rayonnement gamma,–1 nSv h,1,0,14,–1 nSv h,1,4,(voir Note 2),81,Operational,Original
bufr4/0/24/021,24,Classe 24 — éléments radiologiques,024021,"Concentration dans l’air (du type d’isotope désigné, y compris la dose bêta brute)",–3 Bq m,2,0,32,–3 Bq m,2,10,,,Operational,Original
bufr4/0/24/022,24,Classe 24 — éléments radiologiques,024022,Concentration dans les précipitations (du type d’isotope désigné),–1 Bq l,2,0,32,Bq l–1,2,10,,,Operational,Original
bufr4/0/24/023,24,Classe 24 — éléments radiologiques,024023,Pulsation du rayonnement bêta,–1 s,1,0,14,–1 s,1,4,,,Operational,Original
bufr4/0/24/024,24,Classe 24 — éléments radiologiques,024024,Pulsation du rayonnement gamma 19 Bq pour les rejets; 7–2 7 Bq et 10 mSv à 10 mSv pour la concentration et les doses.,–1 s,1,0,14,–1 s,1,4,,,Operational,Original
