Id,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translated_by
bufr4/3/08/001/1/301033,08,Séquences correspondant à des messages d’observation en surface (mer),308001,(Bouée/plate-forme — fixe),,301033,Bouée/plate-forme — fixe,"Identification, type, date/heure, position (précision élevée)",,,Operational,Original
bufr4/3/08/001/1/302011,08,Séquences correspondant à des messages d’observation en surface (mer),308001,(Bouée/plate-forme — fixe),,302011,Station à basse altitude,Message d’obser-vation en surface de base,,,Operational,Original
bufr4/3/08/001/1/022042,08,Séquences correspondant à des messages d’observation en surface (mer),308001,(Bouée/plate-forme — fixe),,022042,Température de la mer/de l’eau,,,,Operational,Original
bufr4/3/08/002/1/301034,08,Séquences correspondant à des messages d’observation en surface (mer),308002,(Bouée/plate-forme — fixe),,301034,Bouée/plate-forme — fixe,"Identification, type, date/heure, position (faible précision)",,,Operational,Original
bufr4/3/08/002/1/302011,08,Séquences correspondant à des messages d’observation en surface (mer),308002,(Bouée/plate-forme — fixe),,302011,Station à basse altitude,Message d’obser-vation en surface de base,,,Operational,Original
bufr4/3/08/002/1/022042,08,Séquences correspondant à des messages d’observation en surface (mer),308002,(Bouée/plate-forme — fixe),,022042,Température de la mer/de l’eau,,,,Operational,Original
bufr4/3/08/003/1/301035,08,Séquences correspondant à des messages d’observation en surface (mer),308003,(Bouée/plate-forme — mobile) (voir note 1),,301035,Bouée/plate-forme — mobile,"Identification, déplacement, type, date/heure, position (faible précision)",,,Operational,Original
bufr4/3/08/003/1/302011,08,Séquences correspondant à des messages d’observation en surface (mer),308003,(Bouée/plate-forme — mobile) (voir note 1),,302011,Station à basse altitude,Message d’obser-vation en surface de base,,,Operational,Original
bufr4/3/08/003/1/022042,08,Séquences correspondant à des messages d’observation en surface (mer),308003,(Bouée/plate-forme — mobile) (voir note 1),,022042,Température de la mer/de l’eau,,,,Operational,Original
bufr4/3/08/004/1/301036,08,Séquences correspondant à des messages d’observation en surface (mer),308004,(Navire),,301036,Navire,"Identification, déplacement, type, date/heure, position (faible précision)",,,Operational,Original
bufr4/3/08/004/1/302011,08,Séquences correspondant à des messages d’observation en surface (mer),308004,(Navire),,302011,Station à basse altitude,Message d’obser-vation en surface de base,,,Operational,Original
bufr4/3/08/004/1/022042,08,Séquences correspondant à des messages d’observation en surface (mer),308004,(Navire),,022042,Température de la mer/de l’eau,,,,Operational,Original
bufr4/3/08/005/1/308004,08,Séquences correspondant à des messages d’observation en surface (mer),308005,,,308004,Navire,Message d’obser-vation de base de navire,,,Operational,Original
bufr4/3/08/005/1/302024,08,Séquences correspondant à des messages d’observation en surface (mer),308005,,,302024,Vagues de la mer du vent et de la houle,,,,Operational,Original
bufr4/3/08/006/1/010004,08,Séquences correspondant à des messages d’observation en surface (mer),308006,(Paramètres facultatifs pour la Section 1 des messages de bouées),,010004,Pression,,,,Operational,Original
bufr4/3/08/006/1/010061,08,Séquences correspondant à des messages d’observation en surface (mer),308006,(Paramètres facultatifs pour la Section 1 des messages de bouées),,010061,Changement de pression en 3 heures I. 2 – Table D/08 BUFR — 1,(à suivre),,,Operational,Original
