Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/11/001,11,Vent et turbulence,11001,Direction du vent,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/002,11,Vent et turbulence,11002,Vitesse du vent,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/003,11,Vent et turbulence,11003,Composante u,m/s,1,-4096,13,m/s,1,4,,,Operational,Original
bufr4/0/11/004,11,Vent et turbulence,11004,Composante v,m/s,1,-4096,13,m/s,1,4,,,Operational,Original
bufr4/0/11/005,11,Vent et turbulence,11005,Composante w,Pa s-1,1,-512,10,Pa s-1,1,4,,,Operational,Original
bufr4/0/11/006,11,Vent et turbulence,11006,Composante w,m/s,2,-4096,13,m/s,2,4,,,Operational,Original
bufr4/0/11/007,11,Vent et turbulence,11007,Direction du vent relatif (en degrés par rapport à la position de la proue),deg,0,0,9,°,0,3,,,Operational,Original
bufr4/0/11/008,11,Vent et turbulence,11008,Vitesse du vent relatif,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/010,11,Vent et turbulence,11010,Direction du vent associée à la vitesse du vent qui suit,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/011,11,Vent et turbulence,11011,Direction du vent à 10 m,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/012,11,Vent et turbulence,11012,Vitesse du vent à 10 m,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/013,11,Vent et turbulence,11013,Direction du vent à 5 m,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/014,11,Vent et turbulence,11014,Vitesse du vent à 5 m,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/016,11,Vent et turbulence,11016,Direction du vent extrême dans le sens contraire des aiguilles d'une montre (vent variable),degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/017,11,Vent et turbulence,11017,Direction du vent extrême dans le sens des aiguilles d'une montre (vent variable),degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/019,11,Vent et turbulence,11019,Stabilité du vent,%,0,0,7,%,0,3,(voir Note 6),147,Operational,Original
bufr4/0/11/021,11,Vent et turbulence,11021,Tourbillon relatif,/s,9,-65536,17,/s,9,6,,,Operational,Original
bufr4/0/11/022,11,Vent et turbulence,11022,Divergence,/s,9,-65536,17,/s,9,6,,,Operational,Original
bufr4/0/11/023,11,Vent et turbulence,11023,Vitesse potentielle,m2/s,-2,-65536,17,m2/s,-2,6,,,Operational,Original
bufr4/0/11/030,11,Vent et turbulence,11030,Degré de turbulence détaillé,Table de code,0,0,6,Table de code,0,2,,,Operational,Original
bufr4/0/11/031,11,Vent et turbulence,11031,Degré de turbulence,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/11/032,11,Vent et turbulence,11032,Hauteur de la base de la turbulence,m,-1,-40,16,m,-1,5,,,Operational,Original
bufr4/0/11/033,11,Vent et turbulence,11033,Hauteur du sommet de la turbulence,m,-1,-40,16,m,-1,5,,,Operational,Original
bufr4/0/11/034,11,Vent et turbulence,11034,Vitesse des rafales verticales,m/s,1,-1024,11,m/s,1,4,,,Operational,Original
bufr4/0/11/035,11,Vent et turbulence,11035,Accélération des rafales verticales,m s-2,2,-8192,14,m s-2,2,5,,,Operational,Original
bufr4/0/11/036,11,Vent et turbulence,11036,Équivalent maximal dérivé de la vitesse des rafales verticales,m/s,1,0,10,m/s,1,4,,,Operational,Original
bufr4/0/11/037,11,Vent et turbulence,11037,Indice de turbulence,Table de code,0,0,6,Table de code,0,2,,,Operational,Original
bufr4/0/11/038,11,Vent et turbulence,11038,Heure du taux maximal de dissipation des tourbillons,Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/11/039,11,Vent et turbulence,11039,Étalement dans le temps de l'apparition du taux maximal de dissipation des tourbillons,Table de code,0,0,6,Table de code,0,2,,,Operational,Original
bufr4/0/11/040,11,Vent et turbulence,11040,Vitesse maximale du vent (vent moyen),m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/041,11,Vent et turbulence,11041,Vitesse de la rafale maximale,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/042,11,Vent et turbulence,11042,Vitesse maximale du vent (vent moyen sur 10 minutes),m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/043,11,Vent et turbulence,11043,Direction de la rafale maximale,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/044,11,Vent et turbulence,11044,Direction moyenne du vent entre la surface et 1500 m (5000 pieds),degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/045,11,Vent et turbulence,11045,Vitesse moyenne du vent entre la surface et 1500 m (5000 pieds),m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/046,11,Vent et turbulence,11046,Vitesse maximale du vent instantané,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/047,11,Vent et turbulence,11047,Vitesse maximale du vent instantané sur 10 minutes,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/049,11,Vent et turbulence,11049,Écart type de la direction du vent,degré vrai,0,0,9,degré vrai,0,3,,,Operational,Original
bufr4/0/11/050,11,Vent et turbulence,11050,Écart type de la vitesse du vent horizontal,m/s,1,0,12,m/s,1,4,,,Operational,Original
bufr4/0/11/051,11,Vent et turbulence,11051,Écart type de la vitesse du vent vertical,m/s,1,0,8,m/s,1,3,,,Operational,Original
bufr4/0/11/052,11,Vent et turbulence,11052,Incertitude formelle concernant la vitesse du vent,m/s,2,0,13,m/s,2,5,,,Operational,Original
bufr4/0/11/053,11,Vent et turbulence,11053,Incertitude formelle concernant la direction du vent,degré vrai,2,0,15,degré vrai,2,5,,,Operational,Original
