Id,Category,CategoryOfSequences_fr,FXY1,Title_fr,SubTitle_fr,FXY2,ElementName_fr,ElementDescription_fr,Note_fr,noteIDs,Status,translated_by
bufr4/3/02/001/1/010004,02,Séquences météorologiques communes aux données de surface,302001,(Pression et variation de pression en 3 heures),,010004,Pression,Pression au niveau de la station,,,Operational,Original
bufr4/3/02/001/1/010051,02,Séquences météorologiques communes aux données de surface,302001,(Pression et variation de pression en 3 heures),,010051,Pression ramenée au niveau moyen de la mer,,,,Operational,Original
bufr4/3/02/001/1/010061,02,Séquences météorologiques communes aux données de surface,302001,(Pression et variation de pression en 3 heures),,010061,Variation de pression en 3 heures,,,,Operational,Original
bufr4/3/02/001/1/010063,02,Séquences météorologiques communes aux données de surface,302001,(Pression et variation de pression en 3 heures),,010063,Caractéristique de la tendance barométrique,,,,Operational,Original
bufr4/3/02/002/1/010004,02,Séquences météorologiques communes aux données de surface,302002,(Station à haute altitude),,010004,Pression,Pression au niveau de la station,,,Operational,Original
bufr4/3/02/002/1/007004,02,Séquences météorologiques communes aux données de surface,302002,(Station à haute altitude),,007004,Pression,Niveau barique,,,Operational,Original
bufr4/3/02/002/1/010003,02,Séquences météorologiques communes aux données de surface,302002,(Station à haute altitude),,010003,Géopotentiel,Niveau barique,,,Operational,Original
bufr4/3/02/002/1/010061,02,Séquences météorologiques communes aux données de surface,302002,(Station à haute altitude),,010061,Variation de pression en 3 heures,,,,Operational,Original
bufr4/3/02/002/1/010063,02,Séquences météorologiques communes aux données de surface,302002,(Station à haute altitude),,010063,Caractéristique de la tendance barométrique,,,,Operational,Original
bufr4/3/02/003/1/011011,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,011011,Direction du vent à 10 m,,,,Operational,Original
bufr4/3/02/003/1/011012,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,011012,Vitesse du vent à 10 m,,,,Operational,Original
bufr4/3/02/003/1/012004,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,012004,Température de l’air à 2 m,,,,Operational,Original
bufr4/3/02/003/1/012006,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,012006,Température du point de rosée à 2 m,,,,Operational,Original
bufr4/3/02/003/1/013003,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,013003,Humidité relative,,,,Operational,Original
bufr4/3/02/003/1/020001,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,020001,Visibilité horizontale,,,,Operational,Original
bufr4/3/02/003/1/020003,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,020003,Temps présent,,,,Operational,Original
bufr4/3/02/003/1/020004,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,020004,Temps passé (1),,,,Operational,Original
bufr4/3/02/003/1/020005,02,Séquences météorologiques communes aux données de surface,302003,"(Vent, température, humidité, visibilité, temps)",,020005,Temps passé (2),,,,Operational,Original
bufr4/3/02/004/1/020010,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020010,Nébulosité (totale),,,,Operational,Original
bufr4/3/02/004/1/008002,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,008002,Caractéristique verticale (observations en surface),,,,Operational,Original
bufr4/3/02/004/1/020011,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020011,Nébulosité,,,,Operational,Original
bufr4/3/02/004/1/020013,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020013,Hauteur de la base des nuages,,,,Operational,Original
bufr4/3/02/004/1/020012,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020012,Type de nuage,,,,Operational,Original
bufr4/3/02/004/2/020012,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020012,Type de nuage,,,,Operational,Original
bufr4/3/02/004/3/020012,02,Séquences météorologiques communes aux données de surface,302004,(Information générale sur les nuages),,020012,Type de nuage,,,,Operational,Original
bufr4/3/02/005/1/008002,02,Séquences météorologiques communes aux données de surface,302005,(Couche nuageuse),,008002,Caractéristique verticale (observations en surface),,,,Operational,Original
bufr4/3/02/005/1/020011,02,Séquences météorologiques communes aux données de surface,302005,(Couche nuageuse),,020011,Nébulosité,,,,Operational,Original
bufr4/3/02/005/1/020012,02,Séquences météorologiques communes aux données de surface,302005,(Couche nuageuse),,020012,Type de nuage,,,,Operational,Original
bufr4/3/02/005/1/020013,02,Séquences météorologiques communes aux données de surface,302005,(Couche nuageuse),,020013,Hauteur de la base des nuages,,,,Operational,Original
bufr4/3/02/006/1/010004,02,Séquences météorologiques communes aux données de surface,302006,(Pression et variation de pression en 24 heures),,010004,Pression,Pression au niveau de la station,,,Operational,Original
bufr4/3/02/006/1/010051,02,Séquences météorologiques communes aux données de surface,302006,(Pression et variation de pression en 24 heures),,010051,Pression ramenée au niveau moyen de la mer,,,,Operational,Original
bufr4/3/02/006/1/010062,02,Séquences météorologiques communes aux données de surface,302006,(Pression et variation de pression en 24 heures),,010062,Variation de pression en 24 heures,,,,Operational,Original
bufr4/3/02/006/1/010063,02,Séquences météorologiques communes aux données de surface,302006,(Pression et variation de pression en 24 heures),,010063,Caractéristique de la tendance barométrique I. 2 – Table D/02 BUFR —,(à suivre) 1,,,Operational,Original
bufr4/3/02/011/1/302001,02,Séquences météorologiques communes aux données de surface,302011,(Station à basse altitude),,302001,Pression et variation de pression en 3 heures,,,,Operational,Original
bufr4/3/02/011/1/302003,02,Séquences météorologiques communes aux données de surface,302011,(Station à basse altitude),,302003,"Vent, température, humidité, visibilité, temps",,,,Operational,Original
bufr4/3/02/011/1/302004,02,Séquences météorologiques communes aux données de surface,302011,(Station à basse altitude),,302004,Information générale sur les nuages,Couche signifi-cative de nuages,,,Operational,Original
bufr4/3/02/012/1/302002,02,Séquences météorologiques communes aux données de surface,302012,(Station à haute altitude),,302002,Station à haute altitude,Pression et varia-tion de pression,,,Operational,Original
bufr4/3/02/012/1/302003,02,Séquences météorologiques communes aux données de surface,302012,(Station à haute altitude),,302003,"Vent, température, humidité, visibilité, temps",,,,Operational,Original
bufr4/3/02/012/1/302004,02,Séquences météorologiques communes aux données de surface,302012,(Station à haute altitude),,302004,Information générale sur les nuages,Couche signifi-cative de nuages,,,Operational,Original
bufr4/3/02/013/1/302006,02,Séquences météorologiques communes aux données de surface,302013,(Message d’observation en surface de base),,302006,Pression et variation de pression en 24 heures,,,,Operational,Original
bufr4/3/02/013/1/302003,02,Séquences météorologiques communes aux données de surface,302013,(Message d’observation en surface de base),,302003,"Vent, température, humidité, visibilité, temps",,,,Operational,Original
bufr4/3/02/013/1/101000,02,Séquences météorologiques communes aux données de surface,302013,(Message d’observation en surface de base),,101000,Répétition différée de 1 descripteur,,,,Operational,Original
bufr4/3/02/013/1/031001,02,Séquences météorologiques communes aux données de surface,302013,(Message d’observation en surface de base),,031001,Facteur de répétition différée du descripteur,,,,Operational,Original
bufr4/3/02/013/1/302005,02,Séquences météorologiques communes aux données de surface,302013,(Message d’observation en surface de base),,302005,Couche nuageuse,,,,Operational,Original
bufr4/3/02/021/1/022001,02,Séquences météorologiques communes aux données de surface,302021,(Vagues),,022001,Direction des vagues,,,,Operational,Original
bufr4/3/02/021/1/022011,02,Séquences météorologiques communes aux données de surface,302021,(Vagues),,022011,Période des vagues,,,,Operational,Original
bufr4/3/02/021/1/022021,02,Séquences météorologiques communes aux données de surface,302021,(Vagues),,022021,Hauteur des vagues,,,,Operational,Original
bufr4/3/02/022/1/022002,02,Séquences météorologiques communes aux données de surface,302022,(Vagues de la mer du vent),,022002,Direction des vagues de la mer du vent,,,,Operational,Original
bufr4/3/02/022/1/022012,02,Séquences météorologiques communes aux données de surface,302022,(Vagues de la mer du vent),,022012,Période des vagues de la mer du vent,,,,Operational,Original
bufr4/3/02/022/1/022022,02,Séquences météorologiques communes aux données de surface,302022,(Vagues de la mer du vent),,022022,Hauteur des vagues de la mer du vent,,,,Operational,Original
bufr4/3/02/023/1/022003,02,Séquences météorologiques communes aux données de surface,302023,(Vagues de la houle),,022003,Direction des vagues de la houle,,,,Operational,Original
bufr4/3/02/023/1/022013,02,Séquences météorologiques communes aux données de surface,302023,(Vagues de la houle),,022013,Période des vagues de la houle,,,,Operational,Original
bufr4/3/02/023/1/022023,02,Séquences météorologiques communes aux données de surface,302023,(Vagues de la houle),,022023,Hauteur des vagues de la houle,,,,Operational,Original
bufr4/3/02/024/1/302022,02,Séquences météorologiques communes aux données de surface,302024,(Vagues de la mer du vent et de la houle),,302022,Vagues de la mer du vent,,,,Operational,Original
bufr4/3/02/024/1/101002,02,Séquences météorologiques communes aux données de surface,302024,(Vagues de la mer du vent et de la houle),,101002,Répéter 1 descripteur 2 fois,,,,Operational,Original
bufr4/3/02/024/1/302023,02,Séquences météorologiques communes aux données de surface,302024,(Vagues de la mer du vent et de la houle),,302023,Vagues de la houle,2 systèmes de houle,,,Operational,Original
bufr4/3/02/031/1/302001,02,Séquences météorologiques communes aux données de surface,302031,(Information sur la pression),,302001,Pression et variation de pression en 3 heures,,,,Operational,Original
bufr4/3/02/031/1/010062,02,Séquences météorologiques communes aux données de surface,302031,(Information sur la pression),,010062,Variation de pression en 24 heures,,,,Operational,Original
