Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translated_by
bufr4/0/08/001/1,8001,Caractéristique correspondant à des données de sondage vertical,1,Surface,,,,,Operational,Original
bufr4/0/08/001/2,8001,Caractéristique correspondant à des données de sondage vertical,2,Niveau standard,,,,,Operational,Original
bufr4/0/08/001/3,8001,Caractéristique correspondant à des données de sondage vertical,3,Niveau de la tropopause,,,,,Operational,Original
bufr4/0/08/001/4,8001,Caractéristique correspondant à des données de sondage vertical,4,Niveau du vent maximal,,,,,Operational,Original
bufr4/0/08/001/5,8001,Caractéristique correspondant à des données de sondage vertical,5,"Niveau significatif, température et/ou humidité relative",,,,,Operational,Original
bufr4/0/08/001/6,8001,Caractéristique correspondant à des données de sondage vertical,6,"Niveau significatif, vent",,,,,Operational,Original
bufr4/0/08/001/All-7,8001,Caractéristique correspondant à des données de sondage vertical,All 7,Valeur manquante,,,,,Operational,Original
bufr4/0/08/002/0,8002,Caractéristique verticale (observations en surface),0,Les règles d'observation pour la base du nuage le plus bas et les types de nuages de FM 12 SYNOP et FM 13 SHIP s'appliquent,,,,,Operational,Original
bufr4/0/08/002/1,8002,Caractéristique verticale (observations en surface),1,Première couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/2,8002,Caractéristique verticale (observations en surface),2,Deuxième couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/3,8002,Caractéristique verticale (observations en surface),3,Troisième couche de nuages significatifs (autres que cumulonimbus),,,,,Operational,Original
bufr4/0/08/002/4,8002,Caractéristique verticale (observations en surface),4,Couche de cumulonimbus,,,,,Operational,Original
bufr4/0/08/002/5,8002,Caractéristique verticale (observations en surface),5,Plafond,,,,,Operational,Original
bufr4/0/08/002/6,8002,Caractéristique verticale (observations en surface),6,Nuages non détectés en dessous de l'(des) altitude(s) suivante(s),,,,,Operational,Original
bufr4/0/08/002/7,8002,Caractéristique verticale (observations en surface),7,Nuages de l'étage inférieur,,,,,Operational,Original
bufr4/0/08/002/8,8002,Caractéristique verticale (observations en surface),8,Nuages de l'étage moyen,,,,,Operational,Original
bufr4/0/08/002/9,8002,Caractéristique verticale (observations en surface),9,Nuages de l'étage supérieur,,,,,Operational,Original
bufr4/0/08/002/10,8002,Caractéristique verticale (observations en surface),10,Couche de nuages dont la base est en dessous de la station et le sommet au-dessus,,,,,Operational,Original
bufr4/0/08/002/11,8002,Caractéristique verticale (observations en surface),11,Couche de nuages dont la base et le sommet sont en dessous du niveau de la station,,,,,Operational,Original
