Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/20/001,20,Phénomènes observés,20001,Visibilité horizontale,m,-1,0,13,m,-1,4,,,Operational,Original
bufr4/0/20/002,20,Phénomènes observés,20002,Visibilité verticale,m,-1,0,7,m,-1,3,,,Operational,Original
bufr4/0/20/003,20,Phénomènes observés,20003,Temps présent,Table de code,0,0,9,Table de code,0,3,(voir Note 1),172,Operational,Original
bufr4/0/20/004,20,Phénomènes observés,20004,Temps passé (1),Table de code,0,0,5,Table de code,0,2,(voir Note 2),171,Operational,Original
bufr4/0/20/005,20,Phénomènes observés,20005,Temps passé (2),Table de code,0,0,5,Table de code,0,2,(voir Note 2),171,Operational,Original
bufr4/0/20/006,20,Phénomènes observés,20006,Règles de vol,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/20/008,20,Phénomènes observés,20008,"Répartition des nuages, pour l'aviation",Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/20/009,20,Phénomènes observés,20009,Indicateur général du temps (TAF/METAR),Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/010,20,Phénomènes observés,20010,Nébulosité (totale),%,0,0,7,%,0,3,(voir Note 5),20,Operational,Original
bufr4/0/20/011,20,Phénomènes observés,20011,Nébulosité,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/012,20,Phénomènes observés,20012,Type de nuage,Table de code,0,0,6,Table de code,0,2,,,Operational,Original
bufr4/0/20/013,20,Phénomènes observés,20013,Hauteur de la base des nuages,m,-1,-40,11,m,-1,4,(voir Note 6),170,Operational,Original
bufr4/0/20/014,20,Phénomènes observés,20014,Hauteur du sommet des nuages,m,-1,-40,11,m,-1,4,,,Operational,Original
bufr4/0/20/015,20,Phénomènes observés,20015,Pression à la base des nuages,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/20/016,20,Phénomènes observés,20016,Pression au sommet des nuages,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/20/017,20,Phénomènes observés,20017,Description du sommet des nuages,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/018,20,Phénomènes observés,20018,Tendance de la portée visuelle de piste,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/20/019,20,Phénomènes observés,20019,Temps significatif présent ou prévu,CCITT IA5,0,0,72,Caractère,0,9,(voir Note 15),118,Operational,Original
bufr4/0/20/020,20,Phénomènes observés,20020,Phénomènes météorologiques significatifs récents,CCITT IA5,0,0,32,Caractère,0,4,(voir Note 15),118,Operational,Original
bufr4/0/20/021,20,Phénomènes observés,20021,Type de précipitation,Table d'indicateurs,0,0,30,Table d'indicateurs,0,10,,,Operational,Original
bufr4/0/20/022,20,Phénomènes observés,20022,Caractéristique de la précipitation,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/023,20,Phénomènes observés,20023,Autres phénomènes météorologiques Table,d'indicateurs,0,0,18,Table d'indicateurs,0,1,,,Operational,Original
bufr4/0/20/024,20,Phénomènes observés,20024,Intensité du phénomène,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/20/025,20,Phénomènes observés,20025,Obscurcissement,Table d'indicateurs,0,0,21,Table d'indicateurs,0,7,,,Operational,Original
bufr4/0/20/026,20,Phénomènes observés,20026,Caractéristique de l'obscurcissement,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/027,20,Phénomènes observés,20027,Apparition du phénomène,Table d'indicateurs,0,0,9,Table d'indicateurs,0,3,,,Operational,Original
bufr4/0/20/028,20,Phénomènes observés,20028,Changement d'intensité prévu,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/20/029,20,Phénomènes observés,20029,Indicateur de pluie,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/20/031,20,Phénomènes observés,20031,Dépôt de glace (épaisseur),m,2,0,7,m,2,3,,,Operational,Original
bufr4/0/20/032,20,Phénomènes observés,20032,Vitesse d'accumulation de la glace (estimation),Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/20/033,20,Phénomènes observés,20033,Cause de l'accumulation de la glace,Table d'indicateurs,0,0,4,Table d'indicateurs,0,2,,,Operational,Original
bufr4/0/20/034,20,Phénomènes observés,20034,Concentration des glaces de mer,Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/20/035,20,Phénomènes observés,20035,Quantité et type de glace,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/036,20,Phénomènes observés,20036,Situation des glaces,Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/20/037,20,Phénomènes observés,20037,Évolution de la glace,Table de code,0,0,5,Table de code,0,2,,,Operational,Original
bufr4/0/20/038,20,Phénomènes observés,20038,Direction de la lisière des glaces,degré vrai,0,0,12,degré vrai,0,3,(voir Note 3),135,Operational,Original
bufr4/0/20/039,20,Phénomènes observés,20039,Distance des glaces,m,-1,0,13,m,-1,4,,,Operational,Original
bufr4/0/20/040,20,Phénomènes observés,20040,Évolution de la chasse-neige,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/041,20,Phénomènes observés,20041,Givrage d'aéronef,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/042,20,Phénomènes observés,20042,Givrage de la cellule,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/20/043,20,Phénomènes observés,20043,Teneur maximale en eau à l'état liquide kg,m-3,4,0,7,kg m-3,4,2,,,Operational,Original
bufr4/0/20/044,20,Phénomènes observés,20044,Teneur moyenne en eau à l'état liquide kg,m-3,4,0,7,kg m-3,4,2,,,Operational,Original
bufr4/0/20/045,20,Phénomènes observés,20045,Grosses gouttes d'eau surfondues,Table de code,0,0,2,Table de code,0,1,,,Operational,Original
bufr4/0/20/048,20,Phénomènes observés,20048,Évolution du phénomène,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/050,20,Phénomènes observés,20050,Index des nuages,Table de code,0,0,8,Table de code,0,3,,,Operational,Original
bufr4/0/20/051,20,Phénomènes observés,20051,Quantité de nuages bas,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/20/052,20,Phénomènes observés,20052,Quantité de nuages de l'étage moyen %,,0,0,7,%,0,3,,,Operational,Original
bufr4/0/20/053,20,Phénomènes observés,20053,Quantité de nuages élevés,%,0,0,7,%,0,3,,,Operational,Original
bufr4/0/20/054,20,Phénomènes observés,20054,Direction vraie d'où viennent ou dans degré vrai laquelle sont observés le phénomène indiqué ou les nuages,,0,0,9,degré vrai,0,3,(voir Note 17),159,Operational,Original
bufr4/0/20/055,20,Phénomènes observés,20055,État du ciel dans les régions tropicales,Table de code,0,0,4,Table de code,0,2,,,Operational,Original
bufr4/0/20/056,20,Phénomènes observés,20056,Phase des nuages,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/20/058,20,Phénomènes observés,20058,Visibilité sur la mer depuis une station côtière,m,-1,0,13,m,-1,4,,,Operational,Original
bufr4/0/20/059,20,Phénomènes observés,20059,Visibilité horizontale minimale,m,-1,0,9,m,-1,3,,,Operational,Original
bufr4/0/20/060,20,Phénomènes observés,20060,Visibilité horizontale dominante,m,-1,0,10,m,-1,4,(voir Note 7),24,Operational,Original
bufr4/0/20/061,20,Phénomènes observés,20061,Portée visuelle de piste (PVP),m,0,0,12,m,0,4,,,Operational,Original
bufr4/0/20/062,20,Phénomènes observés,20062,État du sol (recouvert ou non d'une couche de neige),Table de code,0,0,5,Table de code,0,2,,,Operational,Original
