Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/10/001,10,Position d'éléments autres que des coordonnées (verticale),10001,Hauteur de la surface terrestre,m,0,-400,15,m,0,5,,,Operational,Original
bufr4/0/10/002,10,Position d'éléments autres que des coordonnées (verticale),10002,Hauteur,m,-1,-40,16,m,-1,5,,,Operational,Original
bufr4/0/10/003,10,Position d'éléments autres que des coordonnées (verticale),10003,Géopotentiel,m2 s-2,-1,-400,17,m2 s-2,-1,6,,,Operational,Original
bufr4/0/10/004,10,Position d'éléments autres que des coordonnées (verticale),10004,Pression,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/10/007,10,Position d'éléments autres que des coordonnées (verticale),10007,Hauteur,m,0,-1000,17,m,0,6,,,Operational,Original
bufr4/0/10/008,10,Position d'éléments autres que des coordonnées (verticale),10008,Géopotentiel,m2 s-2,0,-10000,20,m2 s-2,0,7,,,Operational,Original
bufr4/0/10/009,10,Position d'éléments autres que des coordonnées (verticale),10009,Hauteur géopotentielle,gpm,0,-1000,17,gpm,0,5,,,Operational,Original
bufr4/0/10/010,10,Position d'éléments autres que des coordonnées (verticale),10010,Pression minimale réduite au niveau moyen des mers,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/10/011,10,Position d'éléments autres que des coordonnées (verticale),10011,Pression maximale réduite au niveau moyen des mers,Pa,-1,0,14,Pa,-1,5,,,Operational,Original
bufr4/0/10/031,10,Position d'éléments autres que des coordonnées (verticale),10031,"En direction du pôle Nord, distance à partir du centre de la Terre",m,2,-1073741824,31,m,2,10,(voir Notes 2 et 3),"93,150",Operational,Original
bufr4/0/10/032,10,Position d'éléments autres que des coordonnées (verticale),10032,Distance du satellite au centre de la Terre,m,1,0,27,m,2,9,,,Operational,Original
bufr4/0/10/033,10,Position d'éléments autres que des coordonnées (verticale),10033,Altitude (de la plate-forme par rapport à l'ellipsoïde),m,1,0,27,m,2,9,,,Operational,Original
bufr4/0/10/034,10,Position d'éléments autres que des coordonnées (verticale),10034,Rayon de la Terre,m,1,0,27,m,2,9,,,Operational,Original
