Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
bufr4/0/10/063/0,010063,Caractéristique de la tendance barométrique,0,"En hausse, puis en baisse; la pression atmosphérique est la même ou plus haute que trois heures l auparavant",,,,,Operational
bufr4/0/10/063/1,010063,Caractéristique de la tendance barométrique,1,"En hausse, puis stationnaire; ou en hausse, puis en hausse plus lente La pression atmosphérique est plus haute que trois heures",,,,,Operational
bufr4/0/10/063/2,010063,Caractéristique de la tendance barométrique,2,En hausse (régulière ou irrégulière) auparavant,,,,,Operational
bufr4/0/10/063/3,010063,Caractéristique de la tendance barométrique,3,"En baisse ou stationnaire, puis en hausse; ou en hausse, puis en hausse plus rapide",,,,,Operational
bufr4/0/10/063/4,010063,Caractéristique de la tendance barométrique,4,Stationnaire; la pression atmosphérique est la même que trois heures auparavant,,,,,Operational
bufr4/0/10/063/5,010063,Caractéristique de la tendance barométrique,5,"En baisse, puis en hausse; la pression atmosphérique est la même ou plus basse que trois heures l auparavant",,,,,Operational
bufr4/0/10/063/6,010063,Caractéristique de la tendance barométrique,6,"En baisse, puis stationnaire; ou en baisse, puis en baisse plus lente La pression atmosphérique est plus basse que trois heures",,,,,Operational
bufr4/0/10/063/7,010063,Caractéristique de la tendance barométrique,7,En baisse (régulière ou irrégulière) auparavant,,,,,Operational
bufr4/0/10/063/8,010063,Caractéristique de la tendance barométrique,8,"Stationnaire ou en hausse, puis en baisse; ou en baisse, puis en baisse plus rapide",,,,,Operational
bufr4/0/10/063/9-14,010063,Caractéristique de la tendance barométrique,9-14,En réserve,,,,,Operational
bufr4/0/10/063/15,010063,Caractéristique de la tendance barométrique,15,"Valeur manquante N O T E S : 1) Dans les messages d'observation en provenance de stations météorologiques automatiques, on utilise le chiffre du code 2 si la tendance est à la hausse, 7 si la tendance est à la baisse, et 4 si la pression atmosphérique est la même que trois heures auparavant. 2) Dans les messages provenant de stations tropicales qui communiquent des données concernant les changements de pression sur 24 heures, le chiffre du code 2 indique que la tendance est positive, le chiffre 7 qu'elle est négative, et le chiffre 4 que la pression est la même que 24 heures auparavant.",,,,,Operational
bufr4/0/10/064/0,010064,Niveau de croisière — SIGMET,0,Subsonique,,,,,Operational
bufr4/0/10/064/1,010064,Niveau de croisière — SIGMET,1,Transsonique,,,,,Operational
bufr4/0/10/064/2,010064,Niveau de croisière — SIGMET,2,Supersonique,,,,,Operational
bufr4/0/10/064/3-6,010064,Niveau de croisière — SIGMET,3-6,En réserve,,,,,Operational
bufr4/0/10/064/7,010064,Niveau de croisière — SIGMET,7,Valeur manquante,,,,,Operational
