Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/13/001,13,Classe 13 — Éléments hygrographiques et hydrologiques,013001,Humidité spécifique,–1 kg kg,5,0,14,–1 kg kg,5,5,,,Operational
bufr4/0/13/002,13,Classe 13 — Éléments hygrographiques et hydrologiques,013002,Rapport de mélange,–1 kg kg,5,0,14,–1 kg kg,5,5,,,Operational
bufr4/0/13/003,13,Classe 13 — Éléments hygrographiques et hydrologiques,013003,Humidité relative,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/004,13,Classe 13 — Éléments hygrographiques et hydrologiques,013004,Tension de vapeur,Pa,-1,0,10,Pa,-1,4,,,Operational
bufr4/0/13/005,13,Classe 13 — Éléments hygrographiques et hydrologiques,013005,Masse volumique de la vapeur d’eau,–3 kg m,3,0,7,–3 kg m,3,3,,,Operational
bufr4/0/13/006,13,Classe 13 — Éléments hygrographiques et hydrologiques,013006,Hauteurs de mélange,m,-1,-40,16,m,-1,5,,,Operational
bufr4/0/13/007,13,Classe 13 — Éléments hygrographiques et hydrologiques,013007,Humidité relative minimale,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/008,13,Classe 13 — Éléments hygrographiques et hydrologiques,013008,Humidité relative maximale,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/009,13,Classe 13 — Éléments hygrographiques et hydrologiques,013009,Humidité relative,%,1,-1000,12,%,1,4,(voir note 6),,Operational
bufr4/0/13/011,13,Classe 13 — Éléments hygrographiques et hydrologiques,013011,Précipitations totales/valeur totale de l’équivalent en eau,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/012,13,Classe 13 — Éléments hygrographiques et hydrologiques,013012,Épaisseur de neige fraîche,m,2,-2,12,m,2,4,,,Operational
bufr4/0/13/013,13,Classe 13 — Éléments hygrographiques et hydrologiques,013013,Hauteur totale de la couche de neige,m,2,-2,16,m,2,4,,,Operational
bufr4/0/13/014,13,Classe 13 — Éléments hygrographiques et hydrologiques,013014,Chute de pluie/équivalent en eau de la neige (moyenne),–2–1 s kg m,4,0,12,–2–1 kg m s,4,4,,,Operational
bufr4/0/13/015,13,Classe 13 — Éléments hygrographiques et hydrologiques,013015,Chute de neige (moyenne),–1 m s,7,0,12,–1 m s,7,4,,,Operational
bufr4/0/13/016,13,Classe 13 — Éléments hygrographiques et hydrologiques,013016,Eau précipitable,–2 kg m,0,0,7,–2 kg m,0,3,,,Operational
bufr4/0/13/019,13,Classe 13 — Éléments hygrographiques et hydrologiques,013019,Quantité totale de précipitations au cours de l’heure précédente,–2 kg m,1,-1,14,–2 kg m,1,4,,,Operational
bufr4/0/13/020,13,Classe 13 — Éléments hygrographiques et hydrologiques,013020,Quantité totale de précipitations au cours des 3 heures précédentes,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/021,13,Classe 13 — Éléments hygrographiques et hydrologiques,013021,Quantité totale de précipitations au cours des 6 heures précédentes,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/022,13,Classe 13 — Éléments hygrographiques et hydrologiques,013022,Quantité totale de précipitations au cours des 12 heures précédentes,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/023,13,Classe 13 — Éléments hygrographiques et hydrologiques,013023,Quantité totale de précipitations au cours des 24 heures précédentes,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/031,13,Classe 13 — Éléments hygrographiques et hydrologiques,013031,Évapotranspiration,–2 kg m,0,0,7,–2 kg m,0,3,,,Operational
bufr4/0/13/032,13,Classe 13 — Éléments hygrographiques et hydrologiques,013032,Évaporation/évapotranspiration,–2 kg m,1,0,8,–2 kg m,1,3,(voir note 5),,Operational
bufr4/0/13/033,13,Classe 13 — Éléments hygrographiques et hydrologiques,013033,Évaporation/évapotranspiration,–2 kg m,1,0,10,–2 kg m,1,4,,,Operational
bufr4/0/13/038,13,Classe 13 — Éléments hygrographiques et hydrologiques,013038,Indicateur superadiabatique,Table de code,0,0,2,Table de code,0,1,,,Operational
bufr4/0/13/039,13,Classe 13 — Éléments hygrographiques et hydrologiques,013039,Type de terrain (glace/neige),Table de code,0,0,3,Table de code,0,1,,,Operational
bufr4/0/13/040,13,Classe 13 — Éléments hygrographiques et hydrologiques,013040,Indicateur de surface,Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/13/041,13,Classe 13 — Éléments hygrographiques et hydrologiques,013041,Catégorie de stabilité de Pasquill-Gifford,Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/13/042,13,Classe 13 — Éléments hygrographiques et hydrologiques,013042,Indice de soulèvement d’une particule (à 500 hPa),K,0,-20,6,K,0,2,(voir notes 3 et 4),,Operational
bufr4/0/13/043,13,Classe 13 — Éléments hygrographiques et hydrologiques,013043,Indice de soulèvement optimal (à 500 hPa),K,0,-20,6,K,0,2,(voir notes 3 et 4),,Operational
bufr4/0/13/044,13,Classe 13 — Éléments hygrographiques et hydrologiques,013044,Indice K,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/045,13,Classe 13 — Éléments hygrographiques et hydrologiques,013045,Indice KO,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/046,13,Classe 13 — Éléments hygrographiques et hydrologiques,013046,Poussée d’Archimède maximale,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/047,13,Classe 13 — Éléments hygrographiques et hydrologiques,013047,Indice de stabilité de Showalter modifié,K,0,-60,6,°C,0,2,,,Operational
bufr4/0/13/048,13,Classe 13 — Éléments hygrographiques et hydrologiques,013048,Fraction d’eau,%,1,0,10,%,1,4,,,Operational
bufr4/0/13/051,13,Classe 13 — Éléments hygrographiques et hydrologiques,013051,"Groupe de fréquence, précipitations",Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/13/052,13,Classe 13 — Éléments hygrographiques et hydrologiques,013052,Quantité journalière de précipitations la plus élevée,–2 kg m,1,-1,14,–2 kg m,1,5,,,Operational
bufr4/0/13/055,13,Classe 13 — Éléments hygrographiques et hydrologiques,013055,Intensité des précipitations,–2–1 s kg m,4,0,8,–1 mm h,1,4,,,Operational
bufr4/0/13/056,13,Classe 13 — Éléments hygrographiques et hydrologiques,013056,Caractère et intensité des précipitations,Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/13/057,13,Classe 13 — Éléments hygrographiques et hydrologiques,013057,Heure du début ou de la fin des précipitations,Table de code,0,0,4,Table de code,0,2,,,Operational
bufr4/0/13/058,13,Classe 13 — Éléments hygrographiques et hydrologiques,013058,Diamètre des particules formant les précipitations,m,4,0,7,m,1,3,,,Operational
bufr4/0/13/059,13,Classe 13 — Éléments hygrographiques et hydrologiques,013059,Nombre d’éclairs (orage),Numérique,0,0,7,Numérique,0,3,,,Operational
bufr4/0/13/060,13,Classe 13 — Éléments hygrographiques et hydrologiques,013060,Précipitations totales cumulées,–2 kg m,1,-1,17,–2 kg m,1,5,,,Operational
bufr4/0/13/071,13,Classe 13 — Éléments hygrographiques et hydrologiques,013071,Niveau d’eau en amont,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/072,13,Classe 13 — Éléments hygrographiques et hydrologiques,013072,Niveau d’eau en aval,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/073,13,Classe 13 — Éléments hygrographiques et hydrologiques,013073,Niveau d’eau maximal,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/074,13,Classe 13 — Éléments hygrographiques et hydrologiques,013074,Niveau de la nappe,m,2,0,18,m,2,6,,,Operational
bufr4/0/13/080,13,Classe 13 — Éléments hygrographiques et hydrologiques,013080,pH de l’eau,Unité pH,1,0,10,Unité pH,1,3,,,Operational
bufr4/0/13/081,13,Classe 13 — Éléments hygrographiques et hydrologiques,013081,Conductivité de l’eau,–1 S m,3,0,14,–1 S m,3,4,,,Operational
bufr4/0/13/082,13,Classe 13 — Éléments hygrographiques et hydrologiques,013082,Température de l’eau,K,1,0,12,K,1,4,,,Operational
bufr4/0/13/083,13,Classe 13 — Éléments hygrographiques et hydrologiques,013083,Oxygène dissous,–3 kg m,6,0,15,–3 kg m,6,5,,,Operational
bufr4/0/13/084,13,Classe 13 — Éléments hygrographiques et hydrologiques,013084,Turbidité,lm,0,0,14,lm,0,4,,,Operational
bufr4/0/13/085,13,Classe 13 — Éléments hygrographiques et hydrologiques,013085,Potentiel de réduction d’oxydation,V,3,0,14,V,3,4,,,Operational
bufr4/0/13/090,13,Classe 13 — Éléments hygrographiques et hydrologiques,013090,Teneur en vapeur d’eau indiquée par le radiomètre,–2 kg m,1,0,10,–2 kg m,1,4,,,Operational
bufr4/0/13/091,13,Classe 13 — Éléments hygrographiques et hydrologiques,013091,Teneur en eau liquide indiquée par le radiomètre,–2 kg m,2,0,8,–2 kg m,2,3,,,Operational
bufr4/0/13/093,13,Classe 13 — Éléments hygrographiques et hydrologiques,013093,Épaisseur optique des nuages,Numérique,0,0,8,Numérique,0,3,,,Operational
bufr4/0/13/095,13,Classe 13 — Éléments hygrographiques et hydrologiques,013095,Colonne totale de vapeur d’eau,–2 kg m,4,0,19,–2 kg m,4,6,,,Operational
bufr4/0/13/096,13,Classe 13 — Éléments hygrographiques et hydrologiques,013096,Teneur en vapeur d’eau – données MWR,–2 kg m,2,0,14,–2 kg m,2,5,,,Operational
bufr4/0/13/097,13,Classe 13 — Éléments hygrographiques et hydrologiques,013097,Teneur en eau liquide – données MWR,–2 kg m,2,0,14,–2 kg m,2,5,,,Operational
bufr4/0/13/098,13,Classe 13 — Éléments hygrographiques et hydrologiques,013098,Humidité absolue intégrée,–2 kg m,8,0,30,–2 kg m,8,10,,,Operational
bufr4/0/13/099,13,Classe 13 — Éléments hygrographiques et hydrologiques,013099,de la concentration intégrée Log 10 de particules dans les nuages,–2 log(m ),1,0,7,–2 log(m ),1,3,,,Operational
bufr4/0/13/100,13,Classe 13 — Éléments hygrographiques et hydrologiques,013100,Log de la surface intégrée des 10 particules dans les nuages,2–2 log(m m ),1,-70,7,2–2 log(m m ),1,2,,,Operational
bufr4/0/13/101,13,Classe 13 — Éléments hygrographiques et hydrologiques,013101,Log du volume intégré des 10 particules dans les nuages,3–2 log(m m ),1,-140,7,3–2 log(m m ),1,3,,,Operational
bufr4/0/13/109,13,Classe 13 — Éléments hygrographiques et hydrologiques,013109,Teneur en glace/eau liquide,–2 kg m,3,0,10,–2 kg m,3,4,,,Operational
bufr4/0/13/110,13,Classe 13 — Éléments hygrographiques et hydrologiques,013110,Rapport de mélange,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/111,13,Classe 13 — Éléments hygrographiques et hydrologiques,013111,Humidité du sol,–1 g kg,0,0,10,–1 g kg,0,4,,,Operational
bufr4/0/13/112,13,Classe 13 — Éléments hygrographiques et hydrologiques,013112,Durée du mouillage des surfaces,s,0,0,17,s,0,5,,,Operational
bufr4/0/13/114,13,Classe 13 — Éléments hygrographiques et hydrologiques,013114,Vitesse d’accumulation de la glace,–2–1 kg m h,1,0,11,–2–1 kg m h,1,4,,,Operational
bufr4/0/13/115,13,Classe 13 — Éléments hygrographiques et hydrologiques,013115,Épaisseur de la glace,m,2,0,19,m,2,6,(voir note 9),,Operational
bufr4/0/13/116,13,Classe 13 — Éléments hygrographiques et hydrologiques,013116,Épaisseur de la pellicule d’eau,m,4,0,10,m,3,2,,,Operational
bufr4/0/13/117,13,Classe 13 — Éléments hygrographiques et hydrologiques,013117,Masse volumique de la neige (teneur en eau liquide),–3 kg m,0,0,10,–3 kg m,0,3,,,Operational
bufr4/0/13/118,13,Classe 13 — Éléments hygrographiques et hydrologiques,013118,Épaisseur de neige fraîche (précision élevée),m,3,-2,14,m,3,5,(voir note 10),,Operational
bufr4/0/13/155,13,Classe 13 — Éléments hygrographiques et hydrologiques,013155,Intensité des précipitations (précision élevée),–2–1 kg m s,5,-1,16,–1 mm h,2,5,(voir note 8),,Operational
bufr4/0/13/160,13,Classe 13 — Éléments hygrographiques et hydrologiques,013160,Teneur en eau liquide fournie par le radiomètre,–2 kg m,2,-350,10,–2 kg m,2,3,,,Operational
bufr4/0/13/162,13,Classe 13 — Éléments hygrographiques et hydrologiques,013162,Teneur en eau liquide des nuages,–2 kg m,2,0,8,–2 kg m,2,3,,,Operational
bufr4/0/13/163,13,Classe 13 — Éléments hygrographiques et hydrologiques,013163,Équivalent en eau de la neige,–2 kg m,0,0,16,–2 kg m,0,5,,,Operational
bufr4/0/13/164,13,Classe 13 — Éléments hygrographiques et hydrologiques,013164,Franc-bord pour les glaces de mer–2 avant la mise à l’échelle (–1 après la mise à l’échelle ou en CREX) indique qu’il y a «trace» de précipitations–2 ),m,3,-131072,18,m,3,6,,,Operational
