Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translated_by
bufr4/0/20/003/00-49,020003,Temps présent,00-49,Pas de précipitations à la station au moment de l'observation,,,,,Operational,Original
bufr4/0/20/003/00-19,020003,Temps présent,00-19,"Pas de précipitations, de brouillard, de brouillard glacé (exception faite pour 11 et 12), de tempête de poussière, de tempête de sable, de chasse-neige basse ou élevée à la station* au moment de l'observation ou, exception faite pour 09 et 17, durant l'heure précédente",,,,,Operational,Original
bufr4/0/20/003/00-03,020003,Temps présent,00-03,Pas de météores excepté des photométéores,,,,,Operational,Original
bufr4/0/20/003/00,020003,Temps présent,00,On n'a pas observé d'évolution des nuages ou l'on n'a pas pu suivre cette évolution Changement caractéristique,,,,,Operational,Original
bufr4/0/20/003/01,020003,Temps présent,01,"Dans l'ensemble, nuages se dissipant ou devenant de l'état du ciel durant l'heure moins épais qui vient de s'écouler",,,,,Operational,Original
bufr4/0/20/003/02,020003,Temps présent,02,état du ciel inchangé dans l'ensemble,,,,,Operational,Original
bufr4/0/20/003/03,020003,Temps présent,03,Nuages en formation ou en train de se développer,,,,,Operational,Original
bufr4/0/20/003/04-09,020003,Temps présent,04-09,"Brume sèche, poussière, sable ou fumée",,,,,Operational,Original
bufr4/0/20/003/04,020003,Temps présent,04,"Visibilité réduite par de la fumée, par exemple: feu de brousse ou incendie de forêt, des fumées industrielles ou des cendres volcaniques",,,,,Operational,Original
bufr4/0/20/003/05,020003,Temps présent,05,Brume sèche,,,,,Operational,Original
bufr4/0/20/003/06,020003,Temps présent,06,"Poussières en suspension dans l'air d'une manière généralisée, non brassées par le vent à la station ou à proximité de celle-ci au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/07,020003,Temps présent,07,"Poussières ou sable brassés par le vent à la station ou à proximité de celle-ci au moment de l'observation, mais absence de tourbillon(s) de poussière ou de sable caractérisé(s), et pas de tempête de poussière ou de sable observée; ou embruns observés à la station, lorsqu'il s'agit d'une station en mer ou d'une station côtière",,,,,Operational,Original
bufr4/0/20/003/08,020003,Temps présent,08,"Tourbillon(s) de poussière ou de sable caractérisé(s), observé(s) à la station ou à proximité de celle-ci durant l'heure précédente ou au moment de l'observation, mais pas de tempête de poussière ou de sable",,,,,Operational,Original
bufr4/0/20/003/09,020003,Temps présent,09,"Tempête de poussière ou de sable en vue de la station au moment de l'observation, ou à la station même pendant l'heure précédente ",,,,,Operational,Original
bufr4/0/20/003/10,020003,Temps présent,10,"Brume mince couche de brouillard ou de brouillard glacé à la station, qu'il",,,,,Operational,Original
bufr4/0/20/003/11,020003,Temps présent,11,"En bancs s'agisse d'une station terrestre ou d'une station en mer, d'une",,,,,Operational,Original
bufr4/0/20/003/12,020003,Temps présent,12,Plus ou moins continue épaisseur n'excédant pas 2 mètres sur terre ou 10 mètres en mer,,,,,Operational,Original
bufr4/0/20/003/13,020003,Temps présent,13,"éclairs visibles, tonnerre non perceptible",,,,,Operational,Original
bufr4/0/20/003/14,020003,Temps présent,14,"Précipitations en vue, n'atteignant pas le sol ou la surface de la mer",,,,,Operational,Original
bufr4/0/20/003/15,020003,Temps présent,15,"Précipitations en vue, atteignant le sol ou la surface de la mer, mais distantes (c'est-à-dire à plus de 5 km à l'estime) de la station",,,,,Operational,Original
bufr4/0/20/003/16,020003,Temps présent,16,"Précipitations en vue, atteignant le sol ou la surface de la mer, près de la station mais pas à la station même",,,,,Operational,Original
bufr4/0/20/003/17,020003,Temps présent,17,"Orage, mais pas de précipitations au moment de l'observation ",,,,,Operational,Original
bufr4/0/20/003/18,020003,Temps présent,18,Grains à la station ou en vue de celle-ci pendant l'heure précédente ou au,,,,,Operational,Original
bufr4/0/20/003/19,020003,Temps présent,19,Trombe(s)** moment de l'observation,,,(voir Note 5),89,Operational,Original
bufr4/0/20/003/20-29,020003,Temps présent,20-29,"Précipitations, brouillard, brouillard glacé ou orage à la station au cours de l'heure précédente, mais non au moment de l'observation l",,,,,Operational,Original
bufr4/0/20/003/20,020003,Temps présent,20,Bruine (ne se congelant pas) ou neige en grains,,,,,Operational,Original
bufr4/0/20/003/21,020003,Temps présent,21,Pluie (ne se congelant pas),,,,,Operational,Original
bufr4/0/20/003/22,020003,Temps présent,22,Neige pas sous forme d'averse(s),,,,,Operational,Original
bufr4/0/20/003/23,020003,Temps présent,23,Pluie et neige mêlées ou granules de glace,,,,,Operational,Original
bufr4/0/20/003/24,020003,Temps présent,24,Bruine ou pluie se congelant,,,,,Operational,Original
bufr4/0/20/003/25,020003,Temps présent,25,Averse(s) de pluie,,,,,Operational,Original
bufr4/0/20/003/26,020003,Temps présent,26,"Averse(s) de neige, ou de pluie et de neige",,,,,Operational,Original
bufr4/0/20/003/27,020003,Temps présent,27,"Averse(s) de grêle*, ou de pluie et de grêle*",,,(voir Note 6),46,Operational,Original
bufr4/0/20/003/28,020003,Temps présent,28,Brouillard ou brouillard glacé,,,,,Operational,Original
bufr4/0/20/003/29,020003,Temps présent,29,Orage (avec ou sans précipitations) l ,,,,,Operational,Original
bufr4/0/20/003/30-39,020003,Temps présent,30-39,"Tempête de poussière, tempête de sable, chasse-neige basse ou élevée",,,,,Operational,Original
bufr4/0/20/003/30,020003,Temps présent,30,– a diminué au cours de l'heure précédente,,,,,Operational,Original
bufr4/0/20/003/31,020003,Temps présent,31,– sans changement appréciable au cours de Tempête de poussière ou de sable faible l'heure précédente ou modérée l ,,,,,Operational,Original
bufr4/0/20/003/32,020003,Temps présent,32,l  – a débuté ou a augmenté au cours de l'heure précédente,,,,,Operational,Original
bufr4/0/20/003/33,020003,Temps présent,33,– a diminué au cours de l'heure précédente,,,,,Operational,Original
bufr4/0/20/003/34,020003,Temps présent,34,– sans changement appréciable au cours de Violente tempête de poussière ou de sable l'heure précédente,,,,,Operational,Original
bufr4/0/20/003/35,020003,Temps présent,35,– a débuté ou a augmenté au cours de l'heure  précédente,,,,,Operational,Original
bufr4/0/20/003/36,020003,Temps présent,36,Chasse-neige faible ou modérée généralement basse (au-dessous du niveau de l'œil),,,,,Operational,Original
bufr4/0/20/003/37,020003,Temps présent,37,Forte chasse-neige ,,,,,Operational,Original
bufr4/0/20/003/38,020003,Temps présent,38,Chasse-neige faible ou modérée généralement élevée (au-dessus du niveau de l'œil),,,,,Operational,Original
bufr4/0/20/003/39,020003,Temps présent,39,Forte chasse-neige,,,,,Operational,Original
bufr4/0/20/003/40-49,020003,Temps présent,40-49,Brouillard ou brouillard glacé au moment de l'observation,,,,,Operational,Original
bufr4/0/20/003/40,020003,Temps présent,40,"Brouillard ou brouillard glacé à distance au moment de l'observation, mais non à la station même au cours de l'heure précédente, le brouillard ou le brouillard glacé s'étendant jusqu'à un niveau supérieur à celui de l'observateur ",,,,,Operational,Original
bufr4/0/20/003/41,020003,Temps présent,41,Brouillard ou brouillard glacé en bancs,,,,,Operational,Original
bufr4/0/20/003/42,020003,Temps présent,42,"Brouillard ou brouillard glacé, ciel visible s'est aminci au cours de l'heure précédente",,,,,Operational,Original
bufr4/0/20/003/43,020003,Temps présent,43,"Brouillard ou brouillard glacé, ciel invisible",,,,,Operational,Original
bufr4/0/20/003/44,020003,Temps présent,44,"Brouillard ou brouillard glacé, ciel visible sans changement appréciable au cours de l'heure précédente",,,,,Operational,Original
bufr4/0/20/003/45,020003,Temps présent,45,"Brouillard ou brouillard glacé, ciel invisible précédente",,,,,Operational,Original
bufr4/0/20/003/46,020003,Temps présent,46,"Brouillard ou brouillard glacé, ciel visible a commencé ou est devenu plus épais au cours de l'heure précédente",,,,,Operational,Original
bufr4/0/20/003/47,020003,Temps présent,47,"Brouillard ou brouillard glacé, ciel invisible l'heure précédente",,,,,Operational,Original
bufr4/0/20/003/48,020003,Temps présent,48,"Brouillard, déposant du givre, ciel visible",,,,,Operational,Original
bufr4/0/20/003/49,020003,Temps présent,49,"Brouillard, déposant du givre, ciel invisible",,,,,Operational,Original
bufr4/0/20/003/50-99,020003,Temps présent,50-99,Précipitations à la station au moment de l'observation,,,,,Operational,Original
bufr4/0/20/003/50-59,020003,Temps présent,50-59,Bruine ,,,,,Operational,Original
bufr4/0/20/003/50,020003,Temps présent,50,"Bruine, sans congélation, intermittente faible au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/51,020003,Temps présent,51,"Bruine, sans congélation, continue  Bruine, sans congélation, intermittente",,,,,Operational,Original
bufr4/0/20/003/52,020003,Temps présent,52,"Bruine, sans congélation, intermittente modérée au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/53,020003,Temps présent,53,"Bruine, sans congélation, continue ",,,,,Operational,Original
bufr4/0/20/003/54,020003,Temps présent,54,"Bruine, sans congélation, intermittente forte (dense) au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/55,020003,Temps présent,55,"Bruine, sans congélation, continue",,,,,Operational,Original
bufr4/0/20/003/56,020003,Temps présent,56,"Bruine, se congelant, faible",,,,,Operational,Original
bufr4/0/20/003/57,020003,Temps présent,57,"Bruine, se congelant, modérée ou forte (dense)",,,,,Operational,Original
bufr4/0/20/003/58,020003,Temps présent,58,"Bruine et pluie, faibles",,,,,Operational,Original
bufr4/0/20/003/59,020003,Temps présent,59,"Bruine et pluie, modérées ou fortes",,,,,Operational,Original
bufr4/0/20/003/60-69,020003,Temps présent,60-69,Pluie ,,,,,Operational,Original
bufr4/0/20/003/60,020003,Temps présent,60,"Pluie, sans congélation, intermittente faible au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/61,020003,Temps présent,61,"Pluie, sans congélation, continue ",,,,,Operational,Original
bufr4/0/20/003/62,020003,Temps présent,62,"Pluie, sans congélation, intermittente modérée au moment de l'observation",,,,,Operational,Original
bufr4/0/20/003/63,020003,Temps présent,63,"Pluie, sans congélation, continue ",,,,,Operational,Original
bufr4/0/20/003/64,020003,Temps présent,64,"Pluie, sans congélation, intermittente forte au moment de l'observation",,,,,Operational,Original
