Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status,translated_by
bufr4/0/40/001,40,Données satellitaires,40001,Humidité du sol en surface,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/002,40,Données satellitaires,40002,Erreur estimative de l'humidité du sol en surface,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/003,40,Données satellitaires,40003,Humidité moyenne du sol en surface,Numérique,3,0,10,Numérique,3,4,,,Operational,Original
bufr4/0/40/004,40,Données satellitaires,40004,Détection de pluie,Numérique,3,0,10,Numérique,3,4,,,Operational,Original
bufr4/0/40/005,40,Données satellitaires,40005,Indicateur de correction de l'humidité du sol,Table d'indicateurs,0,0,8,Table d'indicateurs,0,3,,,Operational,Original
bufr4/0/40/006,40,Données satellitaires,40006,Indicateur de traitement de l'humidité du sol,Table d'indicateurs,0,0,16,Table d'indicateurs,0,6,,,Operational,Original
bufr4/0/40/007,40,Données satellitaires,40007,Qualité de l'humidité du sol,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/008,40,Données satellitaires,40008,Fraction gelée de la surface terrestre,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/009,40,Données satellitaires,40009,Fraction des zones humides et inondées,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/010,40,Données satellitaires,40010,Complexité topographique,%,1,0,10,%,1,4,,,Operational,Original
bufr4/0/40/011,40,Données satellitaires,40011,Indicateur d'interpolation,Table d'indicateurs,0,0,8,Table d'indicateurs,0,3,,,Operational,Original
bufr4/0/40/012,40,Données satellitaires,40012,Indicateur de qualité des données du radiomètre,Table d'indicateurs,0,0,8,Table d'indicateurs,0,3,,,Operational,Original
bufr4/0/40/013,40,Données satellitaires,40013,Indicateur d'interprétation de la température de luminance du radiomètre,Table de code,0,0,3,Table de code,0,1,,,Operational,Original
bufr4/0/40/014,40,Données satellitaires,40014,Fluctuations haute fréquence de la correction topographique de la surface de la mer,m,4,-3000,13,m,4,4,,,Operational,Original
bufr4/0/40/015,40,Données satellitaires,40015,Indice différentiel normalisé de végétation (NDVI),Numérique,2,-100,8,Numérique,2,3,,,Operational,Original
