Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status,translated_by
bufr4/3/15/001/1/001011,15,Secuencias de los informes de las observaciones oceanográficas,315001,,,001011,Señal de llamada del buque,,,,Operational,Original
bufr4/3/15/001/2/301011,15,Secuencias de los informes de las observaciones oceanográficas,315001,,,301011,,,,,Operational,Original
bufr4/3/15/001/3/301012,15,Secuencias de los informes de las observaciones oceanográficas,315001,,,301012,,,,,Operational,Original
bufr4/3/15/001/4/301023,15,Secuencias de los informes de las observaciones oceanográficas,315001,,,301023,,,,,Operational,Original
bufr4/3/15/001/5/306001,15,Secuencias de los informes de las observaciones oceanográficas,315001,,,306001,,,,,Operational,Original
bufr4/3/15/002/1/001011,15,Secuencias de los informes de las observaciones oceanográficas,315002,,,001011,Señal de llamada del buque,,,,Operational,Original
bufr4/3/15/002/2/301011,15,Secuencias de los informes de las observaciones oceanográficas,315002,,,301011,,,,,Operational,Original
bufr4/3/15/002/3/301012,15,Secuencias de los informes de las observaciones oceanográficas,315002,,,301012,,,,,Operational,Original
bufr4/3/15/002/4/301023,15,Secuencias de los informes de las observaciones oceanográficas,315002,,,301023,,,,,Operational,Original
bufr4/3/15/002/5/306004,15,Secuencias de los informes de las observaciones oceanográficas,315002,,,306004,,,,,Operational,Original
bufr4/3/15/003/1/001087,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,001087,,,,,Operational,Original
bufr4/3/15/003/2/001085,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,001085,,,,,Operational,Original
bufr4/3/15/003/3/001086,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,001086,,,,,Operational,Original
bufr4/3/15/003/4/002036,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,002036,,,,,Operational,Original
bufr4/3/15/003/5/002148,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,002148,,,,,Operational,Original
bufr4/3/15/003/6/002149,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,002149,,,,,Operational,Original
bufr4/3/15/003/7/022055,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,022055,,,,,Operational,Original
bufr4/3/15/003/8/022056,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,022056,,,,,Operational,Original
bufr4/3/15/003/9/022067,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,022067,,,,,Operational,Original
bufr4/3/15/003/10/301011,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,301011,,,,,Operational,Original
bufr4/3/15/003/11/301012,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,301012,,,,,Operational,Original
bufr4/3/15/003/12/301021,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,301021,,,,,Operational,Original
bufr4/3/15/003/13/008080,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,008080,,,,,Operational,Original
bufr4/3/15/003/14/033050,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,033050,,,,,Operational,Original
bufr4/3/15/003/15/109000,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,109000,,,,,Operational,Original
bufr4/3/15/003/16/031002,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,031002,,,,,Operational,Original
bufr4/3/15/003/17/007065,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,007065,,,,,Operational,Original
bufr4/3/15/003/13/008080,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,008080,,,,,Operational,Original
bufr4/3/15/003/14/033050,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,033050,,,,,Operational,Original
bufr4/3/15/003/18/022045,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,022045,,,,,Operational,Original
bufr4/3/15/003/13/008080,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,008080,,,,,Operational,Original
bufr4/3/15/003/14/033050,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,033050,,,,,Operational,Original
bufr4/3/15/003/19/022064,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,022064,,,,,Operational,Original
bufr4/3/15/003/13/008080,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,008080,,,,,Operational,Original
bufr4/3/15/003/14/033050,15,Secuencias de los informes de las observaciones oceanográficas,315003,,,033050,I.2 – BUFR Tabla D/15 — 1,(continúa),,,Operational,Original
bufr4/3/15/004/1/001079,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001079,Cadena de caracteres hexadecimales,,,,Operational,Original
bufr4/3/15/004/2/001011,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001011,Señal de llamada del buque,,,,Operational,Original
bufr4/3/15/004/3/001103,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001103,= 0 a 9999999,,,,Operational,Original
bufr4/3/15/004/4/001087,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001087,,,,,Operational,Original
bufr4/3/15/004/5/001019,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001019,,,,,Operational,Original
bufr4/3/15/004/6/001080,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001080,,,,,Operational,Original
bufr4/3/15/004/7/005036,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,005036,,,,,Operational,Original
bufr4/3/15/004/8/001036,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001036,,,,,Operational,Original
bufr4/3/15/004/9/001013,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001013,,,,,Operational,Original
bufr4/3/15/004/10/001012,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,001012,,,,,Operational,Original
bufr4/3/15/004/11/301011,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,301011,,,,,Operational,Original
bufr4/3/15/004/12/301012,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,301012,,,,,Operational,Original
bufr4/3/15/004/13/301021,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,301021,,,,,Operational,Original
bufr4/3/15/004/14/007032,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007032,,,,,Operational,Original
bufr4/3/15/004/15/007033,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007033,,,,,Operational,Original
bufr4/3/15/004/16/002002,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,002002,,,,,Operational,Original
bufr4/3/15/004/17/011002,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,011002,,,,,Operational,Original
bufr4/3/15/004/18/011001,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,011001,,,,,Operational,Original
bufr4/3/15/004/14/007032,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007032,,,,,Operational,Original
bufr4/3/15/004/15/007033,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007033,,,,,Operational,Original
bufr4/3/15/004/19/012101,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,012101,,,,,Operational,Original
bufr4/3/15/004/20/012103,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,012103,,,,,Operational,Original
bufr4/3/15/004/14/007032,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007032,Fijar en faltante (anular),,,,Operational,Original
bufr4/3/15/004/15/007033,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,007033,Fijar en faltante (anular),,,,Operational,Original
bufr4/3/15/004/21/302021,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,302021,,,,,Operational,Original
bufr4/3/15/004/22/002031,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,002031,,,,,Operational,Original
bufr4/3/15/004/23/002030,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,002030,,,,,Operational,Original
bufr4/3/15/004/24/022005,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022005,,,,,Operational,Original
bufr4/3/15/004/25/022032,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022032,,,,,Operational,Original
bufr4/3/15/004/26/022063,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022063,,,,,Operational,Original
bufr4/3/15/004/27/008080,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,008080,,,,,Operational,Original
bufr4/3/15/004/28/033050,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,033050,,,,,Operational,Original
bufr4/3/15/004/29/022178,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022178,,,,,Operational,Original
bufr4/3/15/004/30/022177,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022177,Por encima del nivel del mar | 0 a 50 m en unidades de metros enteros,,,,Operational,Original
bufr4/3/15/004/31/022067,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,022067,,,,,Operational,Original
bufr4/3/15/004/32/008041,15,Secuencias de los informes de las observaciones oceanográficas,315004,,,008041,,(continúa),,,Operational,Original
