Id,FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status,translated_by
bufr4/0/31/021/0,031021,Significación del campo asociado,0,Reservado,,,,,Operational,AI Translator: MCP
bufr4/0/31/021/1,031021,Significado del campo asociado,1,Indicador de calidad de 1 bit,"0 = Bueno, 1 = Sospechoso o malo",,,,Operational,AI Translator: MCP
bufr4/0/31/021/2,031021,Significado del campo asociado,2,Indicador de calidad de 2 bits,"0 = Bueno, 1 = Ligeramente sospechoso, 2 = Altamente sospechoso, 3 = Malo",,,,Operational,AI Translator: MCP
bufr4/0/31/021/3-4,031021,Significado del campo asociado,3-4,Reservado,,,,,Operational,AI Translator: MCP
bufr4/0/31/021/5,031021,Significado del campo asociado,5,Indicador de 8 bits de control de calidad,"0 = Datos verificados y declarados como buenos; 1 = Datos verificados y declarados como sospechosos; 2 = Datos verificados y declarados como agregados; 3 = Datos verificados y declarados fuera del rango del instrumento; 4 = Datos verificados, declarados como agregados y fuera del rango del instrumento; 5 = El parámetro no se mide en la estación; 6 = Valor diario no proporcionado; 7 = Datos no verificados; 8-254 = Reservado; 255 = Faltante (información de QC no disponible).",,,,Operational,AI Translator: MCP
bufr4/0/31/021/6,031021,Significación del campo asociado,6,Indicador de 4 bits de la clase de control de calidad según GTSPP,"0 = No calificado, 1 = Valor correcto (todas las verificaciones pasadas), 2 = Probablemente bueno pero valor inconsistente con las estadísticas (difiere de la climatología), 3 = Probablemente malo (pico, gradiente, ... si otras pruebas pasaron), 4 = Valor malo, valor imposible (fuera de escala, inestabilidad vertical, perfil constante), 5 = Valor modificado durante el control de calidad, 6-7 = No utilizado (reservado), 8 = Valor interpolado, 9 = Valor faltante",,,,Operational,AI Translator: MCP
bufr4/0/31/021/7,031021,Significación del campo asociado,7,Porcentaje de confianza,,,,,Operational,AI Translator: MCP
bufr4/0/31/021/8,031021,Significación del campo asociado,8,"0 = No sospechado, 1 = Sospechado, 2 = Reservado, 3 = Información no requerida",,,,,Operational,AI Translator: MCP
bufr4/0/31/021/9,031021,Significación del campo asociado,9,"0 = Datos presentes, buenos, colocados, 1 = Datos disponibles pero de calidad degradada y no utilizados, 2 = No hay datos colocados espaciotemporalmente disponibles, 3-14 = No utilizados (reservados), 15 = Valor faltante",,,,,Operational,AI Translator: MCP
bufr4/0/31/021/10-20,031021,Significación del campo asociado,10-20,Reservado,,,,,Operational,AI Translator: MCP
bufr4/0/31/021/21,031021,Significación del campo asociado,21,Indicador de corrección de 1 bit,"0 = Valor original, 1 = Valor sustituido/corregido",,(ver Nota 2),74,Operational,AI Translator: MCP
bufr4/0/31/021/22-62,031021,Significación del campo asociado,22-62,Reservado para uso local,,,,,Operational,AI Translator: MCP
bufr4/0/31/021/63,031021,Significación del campo asociado,63,Valor faltante,,,,,Operational,AI Translator: MCP
bufr4/0/31/031/1,031031,Indicador de datos presentes,1,"0 = Datos presentes, 1 = Datos no presentes",,,,,Operational,AI Translator: MCP
