Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,Status,translated_by
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05001,(Medición única de SADC-HYCOS),,B11001,Dirección del viento,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05001,(Medición única de SADC-HYCOS),,B11002,velocidad del viento,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05001,(Medición única de SADC-HYCOS),,B13060,Precipitación total acumulada,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05001,(Medición única de SADC-HYCOS),,B13071,Nivel de agua aguas arriba,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,D01012,"Hora, minuto",,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B12001,Temperatura/temperatura del aire,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13003,Humedad relativa,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B14051,Radiación solar directa integrada durante la última hora,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13060,Precipitación total acumulada,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13072,Nivel de agua aguas abajo,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13080,pH del agua,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13081,Conductividad del agua,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13082,Temperatura del agua,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13083,Oxígeno disuelto,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05002,(Medición ambiental de SADC-HYCOS),,B13084,Turbidez,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05003,(Definición de la matriz de medición SADC-HYCOS),,D01012,"Hora, minuto",Primera medición única menos incremento,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05003,(Definición de la matriz de medición SADC-HYCOS),,B04065,Incremento de tiempo corto,Intervalo de tiempo entre mediciones,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05003,(Definición de la matriz de medición SADC-HYCOS),,R01000,Replicación retrasada de 1 descriptor,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05003,(Definición del conjunto de medición SADC-HYCOS),,D05001,Medición única de SADC-HYCOS,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05004,(Informe SADC-HYCOS),,D01030,Identificación - con ubicación física,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05004,(Informe SADC-HYCOS),,D05002,Medición ambiental de SADC-HYCOS,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05004,(Informe SADC-HYCOS),,D05003,Definición de la matriz de medición SADC-HYCOS,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05006,(Medición de MEDHYCOS),,B13072,Nivel de agua aguas abajo,,,Operational,AI Translator: MCP
05,Secuencias meteorológicas o hidrológicas comunes a observaciones hidrológicas,D05006,(Medición de MEDHYCOS),,B13082,Temperatura del agua,,,Operational,AI Translator: MCP
