Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/14/001,14,Clase 14 — Radiación y radiancia BUFR/CREX,014001,"Radiación de onda larga, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/002,14,Clase 14 — Radiación y radiancia BUFR/CREX,014002,"Radiación de onda larga, integrada en un período–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/003,14,Clase 14 — Radiación y radiancia BUFR/CREX,014003,"Radiación de onda corta, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/004,14,Clase 14 — Radiación y radiancia BUFR/CREX,014004,"Radiación de onda corta, integrada en un período–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/011,14,Clase 14 — Radiación y radiancia BUFR/CREX,014011,"Radiación neta de onda larga, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/012,14,Clase 14 — Radiación y radiancia BUFR/CREX,014012,"Radiación neta de onda larga, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/013,14,Clase 14 — Radiación y radiancia BUFR/CREX,014013,"Radiación neta de onda corta, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/014,14,Clase 14 — Radiación y radiancia BUFR/CREX,014014,"Radiación neta de onda corta, integrada durante–2 J m",,-3,-65536 17,-2 J m,–3,5,,,,Operational,Original
bufr4/0/14/015,14,Clase 14 — Radiación y radiancia BUFR/CREX,014015,Radiación neta integrada durante 24 hora–2 J m,s,-4,-16384 15,-2 J m,–4,5,,,,Operational,Original
bufr4/0/14/016,14,Clase 14 — Radiación y radiancia BUFR/CREX,014016,"Radiación neta, integrada en un período–2 J m",,-4,-16384 15,-2 J m,–4,5,,,,Operational,Original
