Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/22/001,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022001,Dirección de las olas grado verdadero,,0,0,grado 9 verdadero,0,3,,,,Operational,Original
bufr4/0/22/002,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022002,Dirección de las olas de viento grado verdadero,,0,0,grado 9 verdadero,0,3,,,,Operational,Original
bufr4/0/22/003,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022003,Dirección de las olas de mar de fondo grado verdadero,,0,0,grado 9 verdadero,0,3,,,,Operational,Original
bufr4/0/22/004,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022004,Dirección de la corriente (véase la nota 7) grado verdadero,,0,0,grado 9 verdadero,0,3,,,,Operational,Original
bufr4/0/22/005,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022005,Dirección de la corriente en la superficie del mar grado verdadero,,0,0,grado 9 verdadero,0,3,,,,Operational,Original
bufr4/0/22/011,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022011,Período de las olas s,,0,0,s 6,0,2,,,,Operational,Original
bufr4/0/22/012,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022012,Período de las olas de viento s,,0,0,s 6,0,2,,,,Operational,Original
bufr4/0/22/013,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022013,Período de las olas de mar de fondo s,,0,0,s 6,0,2,,,,Operational,Original
bufr4/0/22/021,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022021,Altura de las olas m,,1,0,m 10,1,4,,,,Operational,Original
bufr4/0/22/022,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022022,Altura de las olas de viento m,,1,0,m 10,1,4,,,,Operational,Original
bufr4/0/22/023,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022023,Altura de las olas de mar de fondo m,,1,0,m 10,1,4,,,,Operational,Original
bufr4/0/22/025,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022025,Desviación estándar de la altura de las olas m,,2,0,m 10,2,4,,,,Operational,Original
bufr4/0/22/026,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022026,m Desviación estándar de la altura significativa de las olas,,2,0,m 10,2,4,,,,Operational,Original
bufr4/0/22/031,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022031,Velocidad de la corriente m s,–1,2,0,m s 13 -1,2,4,,,,Operational,Original
bufr4/0/22/032,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022032,Velocidad de la corriente en la superficie del mar m s,–1,2,0,m s 13 -1,2,4,,,,Operational,Original
bufr4/0/22/035,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022035,m Altura de las mareas con relación al cero hidrográfico local,,2,0,m 14 I.2 - BUFR/CREX Tabla B/22 - 1,2,4 (continúa),,,,Operational,Original
bufr4/0/22/036,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022036,m Altura residual meteorológica de las mareas (positiva o negativa),,2,0,m 14,2,4,,,,Operational,Original
bufr4/0/22/037,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022037,m Altura de las mareas con relación al plan de referencia nacional,,3,-10000,m 15,3,5,,,,Operational,Original
bufr4/0/22/038,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022038,m Altura de las mareas con relación al cero hidrográfico local,,3,-10000,m 15,3,5,,,,Operational,Original
bufr4/0/22/039,22,Clase 22 — Elementos oceanográficos BUFR/CREX,022039,m Altura residual meteorológica de las mareas (positiva o negativa) (véase la nota 4),,3,-5000,m 13,3,4,,,,Operational,Original
