Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/24/001,24,Clase 24 — Elementos radiológicos BUFR/CREX,024001,Bq Estimación de la cantidad de radiactividad emitida hasta una hora dada,,-11,0,Bq 28,-11,9,,,,Operational,Original
bufr4/0/24/002,24,Clase 24 — Elementos radiológicos BUFR/CREX,024002,Bq Emisión potencial máxima estimada de sustancias,,-11,0,Bq 28,-11,9,,,,Operational,Original
bufr4/0/24/003,24,Clase 24 — Elementos radiológicos BUFR/CREX,024003,Composición de la emisión de sustancias Tabla de cifrado,,0,0,Tabla de cifrado 5,0,2,,,,Operational,Original
bufr4/0/24/004,24,Clase 24 — Elementos radiológicos BUFR/CREX,024004,Nombre del elemento CCITT IA5,,0,0,Carácter 16,0,2,,,,Operational,Original
bufr4/0/24/005,24,Clase 24 — Elementos radiológicos BUFR/CREX,024005,Masa del isótopo Numérica,,0,0,Numérica 9,0,3,,,,Operational,Original
bufr4/0/24/011,24,Clase 24 — Elementos radiológicos BUFR/CREX,024011,Dosis mSv,,2,0,mSv* 32,2,10,,,,Operational,Original
bufr4/0/24/012,24,Clase 24 — Elementos radiológicos BUFR/CREX,024012,mSv Trayectoria de la dosis (para un lugar y una hora de llegada dados),,2,0,mSv 32,2,10,,,,Operational,Original
bufr4/0/24/013,24,Clase 24 — Elementos radiológicos BUFR/CREX,024013,mSv Dosis de rayos gamma en el aire a lo largo de la ruta del transporte principal (en un lugar preciso y por un período determinado),,2,0,mSv 32,2,10,,,,Operational,Original
bufr4/0/24/014,24,Clase 24 — Elementos radiológicos BUFR/CREX,024014,nSv h Tasa de dosis de radiación gamma (véase la nota 2),–1,1,0,nSv h -1 14,1,4,,,,Operational,Original
bufr4/0/24/021,24,Clase 24 — Elementos radiológicos BUFR/CREX,024021,Bq m Concentración en el aire (del tipo de isótopo designado incluyendo la dosis beta bruta),–3,2,0,Bq m -3 32,2,10,,,,Operational,Original
bufr4/0/24/022,24,Clase 24 — Elementos radiológicos BUFR/CREX,024022,Bq l–1 Concentración en las precipitaciones (del tipo de isótopo designado),,2,0,Bq l -1 32,2,10,,,,Operational,Original
bufr4/0/24/023,24,Clase 24 — Elementos radiológicos BUFR/CREX,024023,Pulsación de la radiación beta–1 s,,1,0,-1 14 s,1,4,,,,Operational,Original
bufr4/0/24/024,24,Clase 24 — Elementos radiológicos BUFR/CREX,024024,Pulsación de la radiación gamma–1 s,,1,0,-1 14 s I.2 - BUFR/CREX Tabla B/24 - 1,1,4 (continúa),,,,Operational,Original
