Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/06/001,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006001,Longitud (gran precisión) º,,5 -18000000,26,º,5,8,,,,Operational,Original
bufr4/0/06/002,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006002,Longitud (precisión aproximada) º,,2 -18000,16,º,2,5,,,,Operational,Original
bufr4/0/06/011,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006011,Incremento de longitud (gran precisión) º,,5 -18000000,26,º,5,8,,,,Operational,Original
bufr4/0/06/012,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006012,Incremento de longitud (precisión aproximada) º,,2 -18000,16,º,2,5,,,,Operational,Original
bufr4/0/06/015,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006015,Desplazamiento de longitud (gran precisión) º,,5 -18000000,26,º,5,8,,,,Operational,Original
bufr4/0/06/016,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006016,Desplazamiento de longitud (precisión aproximada) º,,2 -18000,16,º,2,5,,,,Operational,Original
bufr4/0/06/021,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006021,Distancia m,–1,,0 13,m,–1,4,,,,Operational,Original
bufr4/0/06/029,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006029,Número de onda–1 m,,1,0 22,-1 m,1,7,,,,Operational,Original
bufr4/0/06/030,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006030,Número de onda (espectral) rad m,–1,5,0 13,rad m -1,5,4,,,,Operational,Original
bufr4/0/06/031,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006031,Número de la columna Numérica,,0,0 12,Numérica,0,4,,,,Operational,Original
bufr4/0/06/032,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006032,Compensación en X (véase la nota 6) m,,2 -1073741824,31,m,2,11,,,,Operational,Original
bufr4/0/06/033,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006033,Tamaño de los píxeles en la horizontal – 2 m,–1,,0 16,m,–1,5,,,,Operational,Original
bufr4/0/06/034,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006034,Número de la célula transversal a la trayectoria Numérica,,0,0,Numérica 7,0,3,,,,Operational,Original
bufr4/0/06/035,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006035,Tamaño máximo de la dimensión y Numérica,,0,0 12,Numérica,0,4,,,,Operational,Original
bufr4/0/06/040,06,Clase 06 — Ubicación BUFR/CREX (horizontal – 2),006040,Radio de confianza m,,0,0 13,m I.2 - BUFR/CREX Tabla B/06 - 1,0,4 (continúa),,,,Operational,Original
