Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/08/001,08,Clase 08 — Calificadores de significación BUFR/CREX,008001,Significación del sondeo vertical Tabla de banderines,,0,0,Tabla de 7 banderines,0,3,,,,Operational,Original
bufr4/0/08/002,08,Clase 08 — Calificadores de significación BUFR/CREX,008002,Significación vertical (observaciones de Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/003,08,Clase 08 — Calificadores de significación BUFR/CREX,008003,Significación vertical (observaciones satelitales) Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/004,08,Clase 08 — Calificadores de significación BUFR/CREX,008004,Fase del vuelo de la aeronave Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/08/005,08,Clase 08 — Calificadores de significación BUFR/CREX,008005,Significación del atributo meteorológico Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/08/006,08,Clase 08 — Calificadores de significación BUFR/CREX,008006,Significación del sondeo vertical del ozono Tabla de banderines,,0,0,Tabla de 9 banderines,0,3,,,,Operational,Original
bufr4/0/08/007,08,Clase 08 — Calificadores de significación BUFR/CREX,008007,Significación dimensional Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/08/008,08,Clase 08 — Calificadores de significación BUFR/CREX,008008,Significación del sondeo vertical de la radiación Tabla de banderines,,0,0,Tabla de 9 banderines,0,3,,,,Operational,Original
bufr4/0/08/009,08,Clase 08 — Calificadores de significación BUFR/CREX,008009,Fase detallada de vuelo Tabla de cifrado Tabla de cifrado,,0 0,0 0,Tabla de cifrado 4 Tabla de cifrado 5,0 0,2 2,,,,Operational,Original
bufr4/0/08/011,08,Clase 08 — Calificadores de significación BUFR/CREX,008011,Característica meteorológica Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/012,08,Clase 08 — Calificadores de significación BUFR/CREX,008012,Calificador tierra/mar Tabla de cifrado,,0,0,Tabla de cifrado 2,0,1,,,,Operational,Original
bufr4/0/08/013,08,Clase 08 — Calificadores de significación BUFR/CREX,008013,Calificador día/noche Tabla de cifrado,,0,0,Tabla de cifrado 2,0,1,,,,Operational,Original
bufr4/0/08/014,08,Clase 08 — Calificadores de significación BUFR/CREX,008014,Calificador para el alcance visual en pista Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/08/015,08,Clase 08 — Calificadores de significación BUFR/CREX,008015,Calificador significativo del sensor Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/08/016,08,Clase 08 — Calificadores de significación BUFR/CREX,008016,Calificador de cambio de un pronóstico de tipo Tabla de cifrado,,0,0,Tabla de cifrado 3 I.2 - BUFR/CREX Tabla B/08 - 1,0,1 (continúa),,,,Operational,Original
bufr4/0/08/017,08,Clase 08 — Calificadores de significación BUFR/CREX,008017,Calificador de la hora a la cual se espera que se Tabla de cifrado,,0,0,Tabla de cifrado 2,0,1,,,,Operational,Original
bufr4/0/08/018,08,Clase 08 — Calificadores de significación BUFR/CREX,008018,Tipo de superficie tierra/hielo medida por Tabla de banderines,,0,0 17,Tabla de banderines,0,6,,,,Operational,Original
bufr4/0/08/019,08,Clase 08 — Calificadores de significación BUFR/CREX,008019,Calificador para el identificador del centro Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/08/020,08,Clase 08 — Calificadores de significación BUFR/CREX,008020,Número total de períodos sin valores (para el Numérica,,0,0 16,Numérica,0,5,,,,Operational,Original
bufr4/0/08/021,08,Clase 08 — Calificadores de significación BUFR/CREX,008021,Significación temporal Tabla de cifrado,,0,0,Tabla de cifrado 5,0,2,,,,Operational,Original
bufr4/0/08/022,08,Clase 08 — Calificadores de significación BUFR/CREX,008022,Número total (en relación a la acumulación o Numérica,,0,0 16,Numérica,0,5,,,,Operational,Original
bufr4/0/08/023,08,Clase 08 — Calificadores de significación BUFR/CREX,008023,Estadísticas de primer orden Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/024,08,Clase 08 — Calificadores de significación BUFR/CREX,008024,Estadísticas de diferencia Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/025,08,Clase 08 — Calificadores de significación BUFR/CREX,008025,Calificador de diferencia de tiempo (véase la Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/08/026,08,Clase 08 — Calificadores de significación BUFR/CREX,008026,Significación matricial Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/08/029,08,Clase 08 — Calificadores de significación BUFR/CREX,008029,"Tipo de superficie Tabla de cifrado Numérica (vol. I.1, sec. C) – Tabla de",,0 0,0 0 13,Tabla de cifrado 8 Numérica,0 0,3 4,,,,Operational,Original
bufr4/0/08/031,08,Clase 08 — Calificadores de significación BUFR/CREX,008031,Categoría de datos de la Tabla A de CREX Numérica,,0,0,Numérica 8,0,3,,,,Operational,Original
bufr4/0/08/032,08,Clase 08 — Calificadores de significación BUFR/CREX,008032,Estado de funcionamiento Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
