Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/19/001,19,Clase 19 — Características sinópticas BUFR/CREX,019001,Tipo de característica sinóptica Tabla de cifrado,,0,0,Tabla de cifrado 6,0,2,,,,Operational,Original
bufr4/0/19/002,19,Clase 19 — Características sinópticas BUFR/CREX,019002,Radio efectivo de la característica (véase la m,,-2,0 12,m,–2,4,,,,Operational,Original
bufr4/0/19/003,19,Clase 19 — Características sinópticas BUFR/CREX,019003,Umbral de la velocidad del viento (véase la–1 m s,,-0,0,-1 8 m s,0,3,,,,Operational,Original
bufr4/0/19/004,19,Clase 19 — Características sinópticas BUFR/CREX,019004,Radio efectivo de las velocidades del viento por m,,-2,0 12,m,–2,4,,,,Operational,Original
bufr4/0/19/005,19,Clase 19 — Características sinópticas BUFR/CREX,019005,Dirección del desplazamiento de la característica grado verdadero,,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/19/006,19,Clase 19 — Características sinópticas BUFR/CREX,019006,Velocidad del desplazamiento de la característica–1 m s,,2,0 14,-1 m s,2,5,,,,Operational,Original
bufr4/0/19/007,19,Clase 19 — Características sinópticas BUFR/CREX,019007,Radio efectivo de la característica m,,-3,0 12,m,–3,4,,,,Operational,Original
bufr4/0/19/008,19,Clase 19 — Características sinópticas BUFR/CREX,019008,Extensión vertical de la circulación Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/19/009,19,Clase 19 — Características sinópticas BUFR/CREX,019009,Radio efectivo con respecto a velocidad del viento m,,-3,0 12,m,–3,4,,,,Operational,Original
bufr4/0/19/010,19,Clase 19 — Características sinópticas BUFR/CREX,019010,Método de seguimiento del centro de la Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/100,19,Clase 19 — Características sinópticas BUFR/CREX,019100,Intervalo de tiempo para calcular el Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/101,19,Clase 19 — Características sinópticas BUFR/CREX,019101,Precisión de la posición del centro del ciclón Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/102,19,Clase 19 — Características sinópticas BUFR/CREX,019102,Forma y definición del ojo del ciclón tropical Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/19/103,19,Clase 19 — Características sinópticas BUFR/CREX,019103,Diámetro del eje principal del ojo del ciclón Tabla de cifrado,,0,0,Tabla de cifrado 4 I.2 - BUFR/CREX Tabla B/19 - 1,0,2 (continúa),,,,Operational,Original
bufr4/0/19/104,19,Clase 19 — Características sinópticas BUFR/CREX,019104,Cambio de naturaleza del ojo durante lo Tabla de cifrado,s,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/105,19,Clase 19 — Características sinópticas BUFR/CREX,019105,Distancia entre el extremo de la banda en espiral Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/106,19,Clase 19 — Características sinópticas BUFR/CREX,019106,Número de identificación del ciclón tropical Numérica,,0,0,Numérica 7,0,3,,,,Operational,Original
bufr4/0/19/107,19,Clase 19 — Características sinópticas BUFR/CREX,019107,Intervalo de tiempo sobre el que se ha calculado Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/108,19,Clase 19 — Características sinópticas BUFR/CREX,019108,Precisión de la posición geográfica del ciclón Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/19/109,19,Clase 19 — Características sinópticas BUFR/CREX,019109,Diámetro medio de la cobertura nubosa del ciclón Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/110,19,Clase 19 — Características sinópticas BUFR/CREX,019110,Cambio aparente en 24 horas de la intensidad del Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/111,19,Clase 19 — Características sinópticas BUFR/CREX,019111,Número intensidad actual (CI) del ciclón tropical Numérica,,1,0,Numérica 7,1,3,,,,Operational,Original
bufr4/0/19/112,19,Clase 19 — Características sinópticas BUFR/CREX,019112,Número “tropical-datos” (DT) del ciclón tropical Numérica,,1,0,Numérica 7,1,3,,,,Operational,Original
bufr4/0/19/113,19,Clase 19 — Características sinópticas BUFR/CREX,019113,Tipo de configuración nubosa del número de DT Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/19/114,19,Clase 19 — Características sinópticas BUFR/CREX,019114,Número “tropical-predicción de modelo” (MET) del Numérica,,1,0,Numérica 7,1,3,,,,Operational,Original
bufr4/0/19/115,19,Clase 19 — Características sinópticas BUFR/CREX,019115,Cambio de tendencia en las 24 horas anteriore Numérica,s,1,-30,Numérica 6,1,2,,,,Operational,Original
bufr4/0/19/116,19,Clase 19 — Características sinópticas BUFR/CREX,019116,Número “tropical-patrón” (PT) del ciclón tropical Numérica,,1,0,Numérica 7,1,3,,,,Operational,Original
bufr4/0/19/117,19,Clase 19 — Características sinópticas BUFR/CREX,019117,Tipo de imagen de la nube del número de PT Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/19/118,19,Clase 19 — Características sinópticas BUFR/CREX,019118,Número tropical final (T) del ciclón tropical Numérica,,1,0,Numérica 7,1,3 (continúa),,,,Operational,Original
bufr4/0/19/119,19,Clase 19 — Características sinópticas BUFR/CREX,019119,Tipo del número T final Tabla de cifrado,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/19/150,19,Clase 19 — Características sinópticas BUFR/CREX,019150,Número Internacional Común del Tifón (Comité CCITTIA5,,0,0 32,Carácter I.2 - BUFR/CREX Tabla B/19 - 3,0,4,,,,Operational,Original
