Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/40/001,40,Clase 40 — Datos satelitales,040001,Humedad del suelo en superficie (ms) %,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/002,40,Clase 40 — Datos satelitales,040002,% Error estimado en la humedad del suelo en superficie,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/003,40,Clase 40 — Datos satelitales,040003,Humedad media del suelo en superficie Numérica,,3,0,Numérica 10,3,4,,,,Operational,Original
bufr4/0/40/004,40,Clase 40 — Datos satelitales,040004,Detección de la precipitación de lluvia Numérica,,3,0,Numérica 10,3,4,,,,Operational,Original
bufr4/0/40/005,40,Clase 40 — Datos satelitales,040005,Banderín de corrección de la humedad del Tabla de suelo banderines,,0,0,Tabla de 8 banderines,0,3,,,,Operational,Original
bufr4/0/40/006,40,Clase 40 — Datos satelitales,040006,Banderín de procesamiento de la humedad del Tabla de suelo banderines,,0,0,Tabla de 16 banderines,0,6,,,,Operational,Original
bufr4/0/40/007,40,Clase 40 — Datos satelitales,040007,Calidad de la humedad del suelo %,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/008,40,Clase 40 — Datos satelitales,040008,Fracción de la superficie terrestre congelada %,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/009,40,Clase 40 — Datos satelitales,040009,Fracción de la inundación y los humedales %,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/010,40,Clase 40 — Datos satelitales,040010,Complejidad topográfica %,,1,0,% 10,1,4,,,,Operational,Original
bufr4/0/40/011,40,Clase 40 — Datos satelitales,040011,Banderín de interpolación Tabla de banderines,,0,0,Tabla de 8 banderines,0,3,,,,Operational,Original
bufr4/0/40/012,40,Clase 40 — Datos satelitales,040012,Banderín de calidad de datos radiométricos Tabla de banderines,,0,0,Tabla de 8 banderines,0,3,,,,Operational,Original
bufr4/0/40/013,40,Clase 40 — Datos satelitales,040013,Tabla de cifrado Banderín de interpretación de la temperatura de brillo radiométrica,,0,0,Tabla de cifrado 3,0,1,,,,Operational,Original
bufr4/0/40/014,40,Clase 40 — Datos satelitales,040014,m Fluctuaciones de alta frecuencia de la corrección de la topografía de la superficie del mar,,4,-3000,m 13,4,4,,,,Operational,Original
bufr4/0/40/015,40,Clase 40 — Datos satelitales,040015,Numérica Índice de vegetación diferencial normalizado (IVDN),,2,-100,Numérica 8 I.2 - BUFR/CREX Tabla B/40 - 1,2,3 (continúa),,,,Operational,Original
bufr4/0/40/016,40,Clase 40 — Datos satelitales,040016,Media cuadrátrica residual en la franja Numérica,,3,0,Numérica 14,3,5,,,,Operational,Original
bufr4/0/40/017,40,Clase 40 — Datos satelitales,040017,Numérica Índice del componente principal no normalizado,,0 -1073741824,,Numérica 31,0,10,,,,Operational,Original
bufr4/0/40/018,40,Clase 40 — Datos satelitales,040018,W m sr 2 GIacAvgImagIIS – Promedio de las mediciones del reproductor de imágenes,m -1,6,0,W m sr 2 -1 24,m 6,8,,,,Operational,Original
bufr4/0/40/019,40,Clase 40 — Datos satelitales,040019,W m sr 2 GIacVarImagIIS – Variancia de las mediciones del reproductor de imágenes,m -1,6,0,W m sr 2 -1 24,m 6,8,,,,Operational,Original
