Id,FXY,OperatorName_es,OperationDefinition_es,Note_es,noteIDs,Status,translated_by
bufr4/201YYY,201YYY,datos Cambio de escala,"dada para cada elemento en la Tabla B, distinto de las tablas de datos (caracteres) según el AI 5 CCITT, de cifrado o de banderines Añádase (YYY-128) a la escala que se da para",,,Operational,Original
bufr4/202YYY,202YYY,Cambio de valores de,"cada elemento de datos de la Tabla B, distinta de las tablas de datos (caracteres), de cifrado o de banderines de CCITT IA5 Los descriptores subsiguientes de elementos",,,Operational,Original
bufr4/203YYY,203YYY,referencia Adición de campo,"determinan los nuevos valores para las entradas correspondientes de la Tabla B. Cada nuevo valor de referencia se representa por YYY bits en la Sección de datos. Se lleva a término la definición de los nuevos valores de referencia mediante el cifrado de este operador, esto es YYY = 255. Los valores negativos de referencia se representarán mediante un entero positivo y el bit que está situado más a la izquierda (bit 1) fijado en 1. Antepóngase a cada elemento de datos YYY bits",,,Operational,Original
bufr4/204YYY,204YYY,relacionado Significado del carácter,de información. De este modo se pone en relación el campo de datos (por ejemplo del control de la calidad) de YYY bits con cada elemento de datos Los caracteres YYY (AI 5 CCITT) se incluyen,,,Operational,Original
bufr4/205YYY,205YYY,Significado de la,como campo de datos de YYY x 8 bits de longitud. YYY bits de datos descritos por el descriptor que,,,Operational,Original
bufr4/206YYY,206YYY,"anchura de datos para el decriptor local que sigue inmediatamente Aumento de escala,",sigue inmediatamente Para los elementos de la Tabla B que no son,,,Operational,Original
bufr4/207YYY,207YYY,valor de referencia y anchura de datos Cambio de anchura del,"CCITT IA5 (datos en caracteres), tablas de cifrado, o tablas de banderines: 1. Añadir YYY al factor de escala existente 2. Multiplicar el valor de referencia existente por YYY 10 3. Calcular ((10 x YYY) + 2) ÷ 3, ignorar el resto si es una fracción, y sumar el resultado a la anchura de bits existente. Los caracteres YYY del Alfabeto Internacional",,,Operational,Original
bufr4/208YYY,208YYY,campo CCITT IA5 Datos no presentes,Nº 5 del CCITT (que representa YYY x 8 bits de longitud) sustituyen la anchura de datos especificada para cada elemento CCITT IA5 en la Tabla B. Los valores de datos presentes en la Sección 4,,,Operational,Original
bufr4/221YYY,221YYY,Sigue información sobre,"(Sección de datos) correspondientes a los descriptores YYY siguientes se limitarán a los datos de las Clases 01 a 09, y de la Clase 31 Los valores de elementos de Clase 33 que siguen",,,Operational,Original
bufr4/222000,222000,la calidad,se refieren a los datos definidos por el mapa de bits de datos. (continúa) I.2 – BUFR Tabla C — 1,,,Operational,Original
bufr4/223000,223000,Marcador de valores,los datos definidos por el mapa de bits de datos. Este operador significará un elemento de datos,,,Operational,Original
bufr4/223255,223255,sustituidos Siguen valores,que contiene un valor sustituido; el descriptor de elementos del valor sustituido se obtiene aplicando el mapa de bits de datos asociado al operador de valores sustituidos. Los valores estadísticos que siguen se refieren a,,,Operational,Original
bufr4/224000,224000,estadísticos de primer orden Marcador de valores,los datos definidos por el mapa de bits de datos. Este operador significará un elemento de dato,,,Operational,Original
bufr4/224255,224255,estadísticos de primer orden Siguen valores estadís-,que contiene un valor estadístico de primer orden del tipo indicado por el descriptor de elemento 0 08 023 precedente; el descriptor de elemento a que se refiere el valor estadístico de primer orden se obtiene mediante la aplicación del mapa de bits de datos asociado con el operador siguen valores estadísticos de primer orden; los valores estadísticos de primer orden se representarán como definidos por el descriptor de este elemento. Los valores estadísticos que siguen se refieren a,,,Operational,Original
bufr4/225000,225000,ticos de primer orden Marcador de valores,los datos definidos por el mapa de bits de datos. Este operador significará un elemento de dato,,,Operational,Original
bufr4/225255,225255,estadísticos de diferencia Siguen valores,"que contiene un valor estadístico de diferencia del tipo indicado por el descriptor de elemento 0 08 024 precedente; el descriptor de elemento a que se refiere el valor estadístico de diferencia se obtiene aplicando el mapa de bits de datos asociado con el operador siguen valores estadísticos de diferencia; los valores estadísticos de diferencia se representarán como definidos por este descriptor de elemento, pero con un n valor de referencia de–2 y una anchura de datos ( n +1), donde n es la anchura de datos dada por el descriptor original. Este valor de referencia especial permite centrar los valores estadísticos de diferencia en torno a cero. Los valores sustituidos/retenidos que siguen se",,,Operational,Original
bufr4/232000,232000,sustituidos/retenidos Marcador de valor,refieren a los datos definidos por el mapa de bits de datos. Este operador significará un elemento de datos,,,Operational,Original
bufr4/232255,232255,sustituido/retenido Cancelación de,que contiene el valor original de un elemento que se ha reemplazado por un valor sustituido. El descriptor del elemento del valor retenido se obtiene mediante la aplicación del mapa de bits de datos asociados con el operador valores sustituidos. Este operador termina todas las referencias hacia,,,Operational,Original
bufr4/235000,235000,referencia de datos hacia atrás,"atrás definidas anteriormente, y cancela todo mapa de bits de datos definido anteriormente; hace que el siguiente mapa de bits de datos remita a los descriptores de datos que preceden inmediatamente al operador a que se refiere. (continúa)",,,Operational,Original
bufr4/236000,236000,bits de datos Utilización del mapa de,que sigue para posible reutilización; solo puede definirse un mapa de bits de datos entre este operador y el operador cancelación de utilización del mapa de bits de datos definido. Este operador hace que se utilice de nuevo el,,,Operational,Original
bufr4/237000,237000,bits de datos definido Cancelación de la,mapa de bits de datos definido. Este operador cancela la reutilización del mapa,,,Operational,Original
bufr4/237255,237255,utilización del mapa de bits de datos definido Definición de suceso,de bits de datos definido. Este operador indica el comienzo de la definición,,,Operational,Original
