Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/15/001,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015001,Ozono total DU,,0,0 10,DU,0,4,,,,Operational,Original
bufr4/0/15/002,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015002,Masa de aire (correspondiente a una trayectoria Numérica,,2,0 10,Numérica,2,3,,,,Operational,Original
bufr4/0/15/003,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015003,Presión parcial del ozono medido (sondeo) (véase Pa,,4,0,nbar 9,0,3,,,,Operational,Original
bufr4/0/15/004,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015004,Factor de corrección de sondeo del ozono (CF) Numérica,,3,0 11,Numérica,3,4,,,,Operational,Original
bufr4/0/15/005,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015005,p del ozono (véase la nota 3) DU,,0,0 10,DU,0,3,,,,Operational,Original
bufr4/0/15/006,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015006,Log de la densidad numérica de la atmósfera log (m 10,)–3,5 1800000,,log (m ) -3,5,7,,,,Operational,Original
bufr4/0/15/008,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015008,Significando del cociente de mezclado volumétrico Numérica,,0,0 10,Numérica,0,4,,,,Operational,Original
bufr4/0/15/009,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015009,Log de la densidad numérica de ozono log (m 10,)–3,5 1200000,,log (m ) -3,5,7,,,,Operational,Original
bufr4/0/15/011,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015011,Logaritmo log (m de la densidad de electrones 10,)–2,3,14000 13,log (m ) -2,3,4,,,,Operational,Original
bufr4/0/15/012,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015012,Recuento total de electrones por 2 2 m,m,-16,0,2 6 m,–16,2,,,,Operational,Original
bufr4/0/15/015,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015015,Componente espectral máximo de la imagen Numérica,,0,0 31,Numérica,0,10,,,,Operational,Original
bufr4/0/15/020,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015020,Densidad del ozono integrada kg m–2,,8,0 21,kg m -2,8,7,,,,Operational,Original
bufr4/0/15/021,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015021,Densidad de masa integrada kg m–2,,11,0 31,kg m -2,11,10,,,,Operational,Original
bufr4/0/15/024,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015024,Espesor óptico Numérica,,4,0 24,Numérica,4,8,,,,Operational,Original
bufr4/0/15/025,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015025,Tipo de contaminante Tabla de cifrado,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/15/026,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015026,Concentración del contaminante (mol mol ) mol mol–1,–1,9,0,mol mol -1 9,9,3,,,,Operational,Original
bufr4/0/15/027,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015027,Concentración del contaminante (Kg ) kg m–3–3,m,9,0 10,kg m -3 I.2 - BUFR/CREX Tabla B/15 - 1,9,4 (continúa),,,,Operational,Original
bufr4/0/15/028,15,Clase 15 — Componentes físicos/químicos BUFR/CREX,015028,Fracción molar del componente/contaminante ‰,,5,0 16,‰,5,5,,,,Operational,Original
