Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/11/001,11,Clase 11 — Viento y turbulencia BUFR/CREX,011001,Dirección del viento grado verdadero,,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/002,11,Clase 11 — Viento y turbulencia BUFR/CREX,011002,Velocidad del viento m s–1,,1,0 12,m s -1,1,4,,,,Operational,Original
bufr4/0/11/003,11,Clase 11 — Viento y turbulencia BUFR/CREX,011003,Componente u m s–1,,1 -4096,13,m s -1,1,4,,,,Operational,Original
bufr4/0/11/004,11,Clase 11 — Viento y turbulencia BUFR/CREX,011004,Componente v m s–1,,1 -4096,13,m s -1,1,4,,,,Operational,Original
bufr4/0/11/005,11,Clase 11 — Viento y turbulencia BUFR/CREX,011005,Componente w Pa s–1,,1,-512 10,Pa s -1,1,4,,,,Operational,Original
bufr4/0/11/006,11,Clase 11 — Viento y turbulencia BUFR/CREX,011006,Componente w m s–1,,2 -4096,13,m s -1,2,4,,,,Operational,Original
bufr4/0/11/007,11,Clase 11 — Viento y turbulencia BUFR/CREX,011007,Dirección relativa del viento (en grados de º,,0,0,º 9,0,3,,,,Operational,Original
bufr4/0/11/008,11,Clase 11 — Viento y turbulencia BUFR/CREX,011008,Velocidad relativa del viento m s–1,,1,0 12,m s -1,1,4,,,,Operational,Original
bufr4/0/11/010,11,Clase 11 — Viento y turbulencia BUFR/CREX,011010,Dirección del viento asociada a la velocidad del grado verdadero,,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/011,11,Clase 11 — Viento y turbulencia BUFR/CREX,011011,Dirección del viento a 10 grado verdadero,m,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/012,11,Clase 11 — Viento y turbulencia BUFR/CREX,011012,Velocidad del viento a 10 m s–1,m,1,0 12,m s -1,1,4,,,,Operational,Original
bufr4/0/11/013,11,Clase 11 — Viento y turbulencia BUFR/CREX,011013,Dirección del viento a 5 grado verdadero,m,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/014,11,Clase 11 — Viento y turbulencia BUFR/CREX,011014,Velocidad del viento a 5 m s–1,m,1,0 12,m s -1,1,4,,,,Operational,Original
bufr4/0/11/016,11,Clase 11 — Viento y turbulencia BUFR/CREX,011016,Dirección sinistrorsa extrema de un viento grado verdadero,,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/017,11,Clase 11 — Viento y turbulencia BUFR/CREX,011017,Dirección dextrorsa extrema de un viento variable grado verdadero,,0,0,grado verdadero 9,0,3,,,,Operational,Original
bufr4/0/11/019,11,Clase 11 — Viento y turbulencia BUFR/CREX,011019,Persistencia del viento (véase la nota 6) %,,0,0,% 7 I.2 - BUFR/CREX Tabla B/11 - 1,0,3 (continúa),,,,Operational,Original
