Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status,translated_by
bufr4/3/22/001/1/310022,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,310022,"Identificador del satélite, instrumento y tipo de producto",,,,Operational,AI Translator: MCP
bufr4/3/22/001/2/301011,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,301011,"Año, mes, día",,,,Operational,AI Translator: MCP
bufr4/3/22/001/3/301013,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosoles),,301013,"Hora, minuto, segundo",,,,Operational,AI Translator: MCP
bufr4/3/22/001/4/301021,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,301021,Latitud/longitud (gran precisión),,,,Operational,AI Translator: MCP
bufr4/3/22/001/5/005041,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,005041,Número de línea de escaneo,,,,Operational,AI Translator: MCP
bufr4/3/22/001/6/005043,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,005043,Número de campo de visión,,,,Operational,AI Translator: MCP
bufr4/3/22/001/7/027080,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,027080,Ángulo de acimut de visualización,,,,Operational,AI Translator: MCP
bufr4/3/22/001/8/005022,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,005022,Azimut solar,,,,Operational,AI Translator: MCP
bufr4/3/22/001/9/013040,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,013040,Bandera de superficie,,,,Operational,AI Translator: MCP
bufr4/3/22/001/10/020010,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,020010,Cubierta de nubes (total),,,,Operational,AI Translator: MCP
bufr4/3/22/001/11/033085,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,033085,Banderines de calidad del espesor óptico del aerosol,,,,Operational,AI Translator: MCP
bufr4/3/22/001/12/033115,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,033115,Información de calidad de la profundidad óptica de aerosoles,,,,Operational,AI Translator: MCP
bufr4/3/22/001/13/105002,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,105002,Replicar 5 descriptores 2 veces,,,,Operational,AI Translator: MCP
bufr4/3/22/001/14/008099,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,008099,Dirección de detección,,,,Operational,AI Translator: MCP
bufr4/3/22/001/15/007024,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,007024,Ángulo cenital del satélite,,,,Operational,AI Translator: MCP
bufr4/3/22/001/16/007025,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,007025,Ángulo cenital del sol,,,,Operational,AI Translator: MCP
bufr4/3/22/001/17/007075,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,007075,Ángulo de dispersión,,,,Operational,AI Translator: MCP
bufr4/3/22/001/18/007076,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,007076,Ángulo de acimut relativo,,,,Operational,AI Translator: MCP
bufr4/3/22/001/19/106000,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,106000,Replicación retrasada de 6 descriptores,,,,Operational,AI Translator: MCP
bufr4/3/22/001/20/031001,22,Secuencias de sustancias químicas y aerosoles,322001,(Profundidad óptica de aerosol),,031001,Factor de repetición diferida del descriptor,,,,Operational,AI Translator: MCP
