Id,Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status,translated_by
bufr4/3/21/001/1/002101,21,Secuencias de los informes de las observaciones de radar,321001,,,002101,,,,,Operational,Original
bufr4/3/21/001/2/002114,21,Secuencias de los informes de las observaciones de radar,321001,,,002114,,,,,Operational,Original
bufr4/3/21/001/3/002105,21,Secuencias de los informes de las observaciones de radar,321001,,,002105,,,,,Operational,Original
bufr4/3/21/001/4/002106,21,Secuencias de los informes de las observaciones de radar,321001,,,002106,,,,,Operational,Original
bufr4/3/21/001/5/002107,21,Secuencias de los informes de las observaciones de radar,321001,,,002107,,,,,Operational,Original
bufr4/3/21/001/6/002121,21,Secuencias de los informes de las observaciones de radar,321001,,,002121,,,,,Operational,Original
bufr4/3/21/003/1/021051,21,Secuencias de los informes de las observaciones de radar,321003,,,021051,,,,,Operational,Original
bufr4/3/21/003/2/021014,21,Secuencias de los informes de las observaciones de radar,321003,,,021014,,,,,Operational,Original
bufr4/3/21/003/3/021017,21,Secuencias de los informes de las observaciones de radar,321003,,,021017,,,,,Operational,Original
bufr4/3/21/003/4/021030,21,Secuencias de los informes de las observaciones de radar,321003,,,021030,,,,,Operational,Original
bufr4/3/21/004/1/301031,21,Secuencias de los informes de las observaciones de radar,321004,,,301031,,,,,Operational,Original
bufr4/3/21/004/2/002003,21,Secuencias de los informes de las observaciones de radar,321004,,,002003,,,,,Operational,Original
bufr4/3/21/004/3/101000,21,Secuencias de los informes de las observaciones de radar,321004,,,101000,,,,,Operational,Original
bufr4/3/21/004/4/031001,21,Secuencias de los informes de las observaciones de radar,321004,,,031001,,,,,Operational,Original
bufr4/3/21/004/5/321003,21,Secuencias de los informes de las observaciones de radar,321004,,,321003,,,,,Operational,Original
bufr4/3/21/005/1/025004,21,Secuencias de los informes de las observaciones de radar,321005,,,025004,,,,,Operational,Original
bufr4/3/21/005/2/002121,21,Secuencias de los informes de las observaciones de radar,321005,,,002121,,,,,Operational,Original
bufr4/3/21/005/3/002122,21,Secuencias de los informes de las observaciones de radar,321005,,,002122,,,,,Operational,Original
bufr4/3/21/005/4/002123,21,Secuencias de los informes de las observaciones de radar,321005,,,002123,,,,,Operational,Original
bufr4/3/21/005/5/002124,21,Secuencias de los informes de las observaciones de radar,321005,,,002124,,,,,Operational,Original
bufr4/3/21/005/6/002125,21,Secuencias de los informes de las observaciones de radar,321005,,,002125,,,,,Operational,Original
bufr4/3/21/005/7/002126,21,Secuencias de los informes de las observaciones de radar,321005,,,002126,,,,,Operational,Original
bufr4/3/21/005/8/002127,21,Secuencias de los informes de las observaciones de radar,321005,,,002127,,,,,Operational,Original
bufr4/3/21/005/9/002128,21,Secuencias de los informes de las observaciones de radar,321005,,,002128,,,,,Operational,Original
bufr4/3/21/005/10/002129,21,Secuencias de los informes de las observaciones de radar,321005,,,002129,,,,,Operational,Original
bufr4/3/21/005/11/002130,21,Secuencias de los informes de las observaciones de radar,321005,,,002130,,,,,Operational,Original
bufr4/3/21/005/12/002131,21,Secuencias de los informes de las observaciones de radar,321005,,,002131,,,,,Operational,Original
bufr4/3/21/006/1/025001,21,Secuencias de los informes de las observaciones de radar,321006,,,025001,,,,,Operational,Original
bufr4/3/21/006/2/025002,21,Secuencias de los informes de las observaciones de radar,321006,,,025002,,,,,Operational,Original
bufr4/3/21/006/3/025003,21,Secuencias de los informes de las observaciones de radar,321006,,,025003,,,,,Operational,Original
bufr4/3/21/006/4/025005,21,Secuencias de los informes de las observaciones de radar,321006,,,025005,,,,,Operational,Original
bufr4/3/21/007/1/025009,21,Secuencias de los informes de las observaciones de radar,321007,,,025009,,,,,Operational,Original
bufr4/3/21/007/2/025010,21,Secuencias de los informes de las observaciones de radar,321007,,,025010,,,,,Operational,Original
bufr4/3/21/007/3/025011,21,Secuencias de los informes de las observaciones de radar,321007,,,025011,,,,,Operational,Original
bufr4/3/21/007/4/025012,21,Secuencias de los informes de las observaciones de radar,321007,,,025012,I.2 – BUFR Tabla D/21 — 1,(continúa),,,Operational,Original
bufr4/3/21/008/1/025006,21,Secuencias de los informes de las observaciones de radar,321008,,,025006,,,,,Operational,Original
bufr4/3/21/008/2/025007,21,Secuencias de los informes de las observaciones de radar,321008,,,025007,,,,,Operational,Original
bufr4/3/21/008/3/025008,21,Secuencias de los informes de las observaciones de radar,321008,,,025008,,,,,Operational,Original
bufr4/3/21/009/1/025018,21,Secuencias de los informes de las observaciones de radar,321009,,,025018,,,,,Operational,Original
bufr4/3/21/009/2/025019,21,Secuencias de los informes de las observaciones de radar,321009,,,025019,,,,,Operational,Original
bufr4/3/21/010/1/002101,21,Secuencias de los informes de las observaciones de radar,321010,,,002101,,,,,Operational,Original
bufr4/3/21/010/2/007002,21,Secuencias de los informes de las observaciones de radar,321010,,,007002,Altitud de la base de la torre,,,,Operational,Original
bufr4/3/21/010/3/002102,21,Secuencias de los informes de las observaciones de radar,321010,,,002102,,,,,Operational,Original
bufr4/3/21/010/4/002103,21,Secuencias de los informes de las observaciones de radar,321010,,,002103,,,,,Operational,Original
bufr4/3/21/010/5/002104,21,Secuencias de los informes de las observaciones de radar,321010,,,002104,,,,,Operational,Original
bufr4/3/21/010/6/002105,21,Secuencias de los informes de las observaciones de radar,321010,,,002105,,,,,Operational,Original
bufr4/3/21/010/7/002106,21,Secuencias de los informes de las observaciones de radar,321010,,,002106,,,,,Operational,Original
bufr4/3/21/010/8/002107,21,Secuencias de los informes de las observaciones de radar,321010,,,002107,,,,,Operational,Original
bufr4/3/21/010/9/002108,21,Secuencias de los informes de las observaciones de radar,321010,,,002108,,,,,Operational,Original
bufr4/3/21/010/10/002109,21,Secuencias de los informes de las observaciones de radar,321010,,,002109,,,,,Operational,Original
bufr4/3/21/010/11/002110,21,Secuencias de los informes de las observaciones de radar,321010,,,002110,,,,,Operational,Original
bufr4/3/21/010/12/002132,21,Secuencias de los informes de las observaciones de radar,321010,,,002132,,,,,Operational,Original
bufr4/3/21/010/13/002133,21,Secuencias de los informes de las observaciones de radar,321010,,,002133,,,,,Operational,Original
bufr4/3/21/011/1/030031,21,Secuencias de los informes de las observaciones de radar,321011,,,030031,,,,,Operational,Original
