Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/42/001,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042001,° Dirección dominante de las olas de mar de fondo en la partición espectral,,0,0,° 9,0,3,,,,Operational,Original
bufr4/0/42/002,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042002,m Altura significativa de las olas de mar de fondo en la partición espectral,,1,0,m 9,1,3,,,,Operational,Original
bufr4/0/42/003,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042003,m Longitud dominante de las olas de mar de fondo en la partición espectral,,2,100,m 17,2,6,,,,Operational,Original
bufr4/0/42/004,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042004,Tabla de cifrado Fiabilidad de la inversión para partición del espectro de olas de mar de fondo,,0,0,Tabla de cifrado 4,0,2,,,,Operational,Original
bufr4/0/42/005,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042005,Numérica Factor supresor de ambigüedad para la partición de las olas de mar de fondo,,5,-100000,Numérica 18,5,6,,,,Operational,Original
bufr4/0/42/006,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042006,Edad de la ola Numérica,,2,1,Numérica 8,2,3,,,,Operational,Original
bufr4/0/42/007,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042007,m Longitud de onda oceánica más corta en la resolución espectral,,2,0,m 16,2,5,,,,Operational,Original
bufr4/0/42/008,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042008,Ancho espectral inverso no lineal m,,2,0,m 16,2,5,,,,Operational,Original
bufr4/0/42/009,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042009,Referencia de la partición de células Numérica,,0,0,Numérica 8,0,3,,,,Operational,Original
bufr4/0/42/010,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042010,Número de partición Numérica,,0,1,Numérica 4,0,2,,,,Operational,Original
bufr4/0/42/011,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042011,a1 Coeficiente de la serie direccional de Fourier Numérica,,4,-20000,Numérica 15,4,6,,,,Operational,Original
bufr4/0/42/012,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042012,b1 Coeficiente de la serie direccional de Fourier Numérica,,4,-20000,Numérica 15,4,6,,,,Operational,Original
bufr4/0/42/013,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042013,a2 Coeficiente de la serie direccional de Fourier Numérica,,4,-20000,Numérica 15,4,6,,,,Operational,Original
bufr4/0/42/014,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042014,b2 Coeficiente de la serie direccional de Fourier Numérica,,4,-20000,Numérica 15,4,6,,,,Operational,Original
bufr4/0/42/015,42,Clase 42 — Elementos oceanográficos BUFR/CREX,042015,Verificar el factor K Numérica,,2,0,Numérica 12 I.2 - BUFR/CREX Tabla B/42 - 1,2,4 (continúa),,,,Operational,Original
