Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status,translated_by
bufr4/0/27/001,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027001,Latitud (gran exactitud) º,,5 -9000000,,º 25,5,7,,,,Operational,Original
bufr4/0/27/002,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027002,Latitud (exactitud aproximada) º,,2,-9000,º 15,2,4,,,,Operational,Original
bufr4/0/27/003,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027003,Latitud alterna (exactitud aproximada) º,,2,-9000,º 15,2,4,,,,Operational,Original
bufr4/0/27/004,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027004,Latitud alterna (gran exactitud) º,,5 -9000000,,º 25,5,7,,,,Operational,Original
bufr4/0/27/010,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027010,Eje de huella 1 m,,-1,0,m 14,-1,5,,,,Operational,Original
bufr4/0/27/020,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027020,Contador de la ubicación de los satélites Numérica,,0,0,Numérica 16,0,5,,,,Operational,Original
bufr4/0/27/021,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027021,Dimensión de sububicación de los satélites Numérica,,0,0,Numérica 16,0,5,,,,Operational,Original
bufr4/0/27/031,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027031,m Distancia desde el centro de la Tierra en dirección de 0 grados de longitud,,2 -1073741824,,m 31,2,10,,,,Operational,Original
bufr4/0/27/079,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027079,Anchura horizontal del volumen de muestra m,,0,0,m 18,0,6,,,,Operational,Original
bufr4/0/27/080,27,Clase 27 — Ubicación sin coordenadas BUFR/CREX (horizontal – 1),027080,Ángulo de visión azimutal grado verdadero,,2,0,grado verdadero 16 I.2 - BUFR/CREX Tabla B/27 - 1,0,5 (continúa),,,,Operational,Original
