Id,Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
bufr4/3/11/001/1/301051,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,301051,"Flight number, navigational system, date/time, location, phase of flight",ASDAR,,,Operational
bufr4/3/11/001/2/007002,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,007002,Height or altitude,,,,Operational
bufr4/3/11/001/3/012001,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,012001,Temperature/air temperature,,,,Operational
bufr4/3/11/001/4/011001,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,011001,Wind direction,,,,Operational
bufr4/3/11/001/5/011002,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,011002,Wind speed,,,,Operational
bufr4/3/11/001/6/011031,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,011031,Degree of turbulence,,,,Operational
bufr4/3/11/001/7/011032,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,011032,Height of base of turbulence,,,,Operational
bufr4/3/11/001/8/011033,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,011033,Height of top of turbulence,,,,Operational
bufr4/3/11/001/9/020041,11,Single level report sequences (conventional data),311001,"Flight number, navigational system, date/time, location, phase of flight",,020041,Airframe icing (ACARS reports),,,,Operational
bufr4/3/11/002/1/301065,11,Single level report sequences (conventional data),311002,ACARS identification,,301065,ACARS identification,,,,Operational
bufr4/3/11/002/2/301066,11,Single level report sequences (conventional data),311002,ACARS identification,,301066,ACARS location,,,,Operational
bufr4/3/11/002/3/311003,11,Single level report sequences (conventional data),311002,ACARS identification,,311003,ACARS standard reported variables,,,,Operational
bufr4/3/11/002/4/311004,11,Single level report sequences (conventional data),311002,ACARS identification,,311004,ACARS supplementary reported variables (ACARS standard reported variables),,,,Operational
bufr4/3/11/003/1/010070,11,Single level report sequences (conventional data),311003,Indicated aircraft altitude,,010070,Indicated aircraft altitude,,,,Operational
bufr4/3/11/003/2/011001,11,Single level report sequences (conventional data),311003,Indicated aircraft altitude,,011001,Wind direction,,,,Operational
bufr4/3/11/003/3/011002,11,Single level report sequences (conventional data),311003,Indicated aircraft altitude,,011002,Wind speed,,,,Operational
bufr4/3/11/003/4/012001,11,Single level report sequences (conventional data),311003,Indicated aircraft altitude,,012001,Temperature/air temperature,,,,Operational
bufr4/3/11/003/5/013002,11,Single level report sequences (conventional data),311003,Indicated aircraft altitude,,013002,Mixing ratio (ACARS supplementary reported variables),,,,Operational
bufr4/3/11/004/1/101000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/11/004/2/031000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,031000,Short delayed descriptor replication factor,,,,Operational
bufr4/3/11/004/3/011034,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,011034,Vertical gust velocity,,,,Operational
bufr4/3/11/004/4/101000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/11/004/5/031000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,031000,Short delayed descriptor replication factor,,,,Operational
bufr4/3/11/004/6/011035,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,011035,Vertical gust acceleration,,,,Operational
bufr4/3/11/004/7/101000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/11/004/8/031000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,031000,Short delayed descriptor replication factor,,,,Operational
bufr4/3/11/004/9/011075,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,011075,Mean turbulence intensity (eddy dissipation rate),,,,Operational
bufr4/3/11/004/10/101000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/11/004/11/031000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,031000,Short delayed descriptor replication factor,,,,Operational
bufr4/3/11/004/12/011076,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,011076,Peak turbulence intensity (eddy dissipation rate),,,,Operational
bufr4/3/11/004/13/101000,11,Single level report sequences (conventional data),311004,Delayed replication of 1 descriptor,,101000,Delayed replication of 1 descriptor,,,,Operational
