Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/27/001,27,BUFR/CREX Non-coordinate location (horizontal – 1),027001,Latitude (high accuracy),°,5,-9000000,25,°,5,7,,,Operational
bufr4/0/27/002,27,BUFR/CREX Non-coordinate location (horizontal – 1),027002,Latitude (coarse accuracy),°,2,-9000,15,°,2,4,,,Operational
bufr4/0/27/003,27,BUFR/CREX Non-coordinate location (horizontal – 1),027003,Alternate latitude (coarse accuracy),°,2,-9000,15,°,2,4,,,Operational
bufr4/0/27/004,27,BUFR/CREX Non-coordinate location (horizontal – 1),027004,Alternate latitude (high accuracy),°,5,-9000000,25,°,5,7,,,Operational
bufr4/0/27/010,27,BUFR/CREX Non-coordinate location (horizontal – 1),027010,Footprint axis 1,m,-1,0,14,m,-1,5,,,Operational
bufr4/0/27/020,27,BUFR/CREX Non-coordinate location (horizontal – 1),027020,Satellite location counter,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/27/021,27,BUFR/CREX Non-coordinate location (horizontal – 1),027021,Satellite sublocation dimension,Numeric,0,0,16,Numeric,0,5,,,Operational
bufr4/0/27/031,27,BUFR/CREX Non-coordinate location (horizontal – 1),027031,"In direction of 0 degrees longitude, distance from the Earth's centre",m,2 -1073741824,,31,m,2,10,,,Operational
bufr4/0/27/079,27,BUFR/CREX Non-coordinate location (horizontal – 1),027079,Horizontal width of sampled volume,m,0,0,18,m,0,6,,,Operational
bufr4/0/27/080,27,BUFR/CREX Non-coordinate location (horizontal – 1),027080,Viewing azimuth angle minibox dimension = lines x 1000 + spots x 100 box dimension = lines x 10 + spots,degree true,2,0,16,degree true,0,5,,,Operational
