Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/13/001,13,BUFR/CREX Hydrographic and hydrological elements,013001,Specific humidity,kg kg–1,5,0,14,kg kg–1,5,5,,,Operational
bufr4/0/13/002,13,BUFR/CREX Hydrographic and hydrological elements,013002,Mixing ratio,kg kg,5,0,14,kg kg,5,5,,,Operational
bufr4/0/13/003,13,BUFR/CREX Hydrographic and hydrological elements,013003,Relative humidity,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/004,13,BUFR/CREX Hydrographic and hydrological elements,013004,Vapour pressure,Pa–3,-1,0,10,Pa–3,-1,4,,,Operational
bufr4/0/13/005,13,BUFR/CREX Hydrographic and hydrological elements,013005,Vapour density,kg m,3,0,7,kg m,3,3,,,Operational
bufr4/0/13/006,13,BUFR/CREX Hydrographic and hydrological elements,013006,Mixing heights,m,-1,-40,16,m,-1,5,,,Operational
bufr4/0/13/007,13,BUFR/CREX Hydrographic and hydrological elements,013007,Minimum relative humidity,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/008,13,BUFR/CREX Hydrographic and hydrological elements,013008,Maximum relative humidity,%,0,0,7,%,0,3,,,Operational
bufr4/0/13/009,13,BUFR/CREX Hydrographic and hydrological elements,013009,Relative humidity,%–2,1,-1000,12,%–2,1,4,(see Note 6),,Operational
bufr4/0/13/011,13,BUFR/CREX Hydrographic and hydrological elements,013011,Total precipitation/total water equivalent kg m,,1,-1,14,kg m,1,5,,,Operational
bufr4/0/13/012,13,BUFR/CREX Hydrographic and hydrological elements,013012,Depth of fresh snow,m,2,-2,12,m,2,4,,,Operational
bufr4/0/13/013,13,BUFR/CREX Hydrographic and hydrological elements,013013,Total snow depth,m–2–1,2,-2,16,m–2–1,2,5,,,Operational
bufr4/0/13/014,13,BUFR/CREX Hydrographic and hydrological elements,013014,Rainfall/water equivalent of snow (averaged rate),kg m s–1,4,0,12,kg m s–1,4,4,,,Operational
bufr4/0/13/015,13,BUFR/CREX Hydrographic and hydrological elements,013015,Snowfall (averaged rate),m s–2,7,0,12,m s–2,7,4,,,Operational
bufr4/0/13/016,13,BUFR/CREX Hydrographic and hydrological elements,013016,Precipitable water,kg m–2,0,0,7,kg m–2,0,3,,,Operational
bufr4/0/13/019,13,BUFR/CREX Hydrographic and hydrological elements,013019,Total precipitation past 1 hour,kg m–2,1,-1,14,kg m–2,1,4,,,Operational
bufr4/0/13/020,13,BUFR/CREX Hydrographic and hydrological elements,013020,Total precipitation past 3 hours,kg m–2,1,-1,14,kg m–2,1,5,,,Operational
bufr4/0/13/021,13,BUFR/CREX Hydrographic and hydrological elements,013021,Total precipitation past 6 hours,kg m–2,1,-1,14,kg m–2,1,5,,,Operational
bufr4/0/13/022,13,BUFR/CREX Hydrographic and hydrological elements,013022,Total precipitation past 12 hours,kg m–2,1,-1,14,kg m–2,1,5,,,Operational
bufr4/0/13/023,13,BUFR/CREX Hydrographic and hydrological elements,013023,Total precipitation past 24 hours,kg m–2,1,-1,14,kg m–2,1,5,,,Operational
bufr4/0/13/031,13,BUFR/CREX Hydrographic and hydrological elements,013031,Evapotranspiration,kg m–2,0,0,7,kg m–2,0,3,,,Operational
bufr4/0/13/032,13,BUFR/CREX Hydrographic and hydrological elements,013032,Evaporation/evapotranspiration,kg m–2,1,0,8,kg m–2,1,3,(see Note 5),,Operational
bufr4/0/13/033,13,BUFR/CREX Hydrographic and hydrological elements,013033,Evaporation/evapotranspiration,kg m,1,0,10,kg m,1,4,,,Operational
bufr4/0/13/038,13,BUFR/CREX Hydrographic and hydrological elements,013038,Superadiabatic indicator,Code table,0,0,2,Code table,0,1,,,Operational
bufr4/0/13/039,13,BUFR/CREX Hydrographic and hydrological elements,013039,Terrain type (ice/snow),Code table,0,0,3,Code table,0,1,,,Operational
bufr4/0/13/040,13,BUFR/CREX Hydrographic and hydrological elements,013040,Surface flag,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/13/041,13,BUFR/CREX Hydrographic and hydrological elements,013041,Pasquill-Gifford stability category,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/13/042,13,BUFR/CREX Hydrographic and hydrological elements,013042,Parcel lifted index (to 500 hPa),K,0,-20,6,K,0,2,(see Notes 3 and 4),,Operational
bufr4/0/13/043,13,BUFR/CREX Hydrographic and hydrological elements,013043,Best lifted index (to 500 hPa),K,0,-20,6,K,0,2,(see Notes 3 and 4),,Operational
bufr4/0/13/044,13,BUFR/CREX Hydrographic and hydrological elements,013044,K index,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/045,13,BUFR/CREX Hydrographic and hydrological elements,013045,KO index,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/046,13,BUFR/CREX Hydrographic and hydrological elements,013046,Maximum buoyancy,K,0,-30,8,K,0,3,,,Operational
bufr4/0/13/047,13,BUFR/CREX Hydrographic and hydrological elements,013047,Modified Showalter stability index,K,0,-60,6,°C,0,2,(see Note 7),,Operational
bufr4/0/13/048,13,BUFR/CREX Hydrographic and hydrological elements,013048,Water fraction,%,1,0,10,%,1,4,,,Operational
bufr4/0/13/051,13,BUFR/CREX Hydrographic and hydrological elements,013051,"Frequency group, precipitation",Code table–2,0,0,4,Code table–2,0,2,,,Operational
bufr4/0/13/052,13,BUFR/CREX Hydrographic and hydrological elements,013052,Highest daily amount of precipitation,kg m–2–1,1,-1,14,kg m–1,1,5,,,Operational
bufr4/0/13/055,13,BUFR/CREX Hydrographic and hydrological elements,013055,Intensity of precipitation,kg m s,4,0,8,mm h,1,4,,,Operational
bufr4/0/13/056,13,BUFR/CREX Hydrographic and hydrological elements,013056,Character and intensity of precipitation,Code table,0,0,4,Code table,0,2,,,Operational
bufr4/0/13/057,13,BUFR/CREX Hydrographic and hydrological elements,013057,Time of beginning or end of precipitation Code table,,0,0,4,Code table,0,2,,,Operational
bufr4/0/13/058,13,BUFR/CREX Hydrographic and hydrological elements,013058,Size of precipitating element,m,4,0,7,mm,1,3,,,Operational
bufr4/0/13/059,13,BUFR/CREX Hydrographic and hydrological elements,013059,Number of flashes (thunderstorm),Numeric–2,0,0,7,Numeric–2,0,3,,,Operational
bufr4/0/13/060,13,BUFR/CREX Hydrographic and hydrological elements,013060,Total accumulated precipitation,kg m,1,-1,17,kg m,1,5,,,Operational
bufr4/0/13/071,13,BUFR/CREX Hydrographic and hydrological elements,013071,Upstream water level,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/072,13,BUFR/CREX Hydrographic and hydrological elements,013072,Downstream water level,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/073,13,BUFR/CREX Hydrographic and hydrological elements,013073,Maximum water level,m,2,0,14,m,2,4,,,Operational
bufr4/0/13/074,13,BUFR/CREX Hydrographic and hydrological elements,013074,Ground water level,m,2,0,18,m,2,6,,,Operational
bufr4/0/13/080,13,BUFR/CREX Hydrographic and hydrological elements,013080,Water pH,pH unit,1,0,10,pH unit,1,3,,,Operational
