Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/07/001,07,BUFR/CREX Location (vertical),007001,Height of station,m,0,-400,15,m,0,5,(see Note 1),,Operational
bufr4/0/07/002,07,BUFR/CREX Location (vertical),007002,Height or altitude,m 2–2,-1,-40,16,m 2–2,-1,5,,,Operational
bufr4/0/07/003,07,BUFR/CREX Location (vertical),007003,Geopotential,m s,-1,-400,17,m s,-1,6,,,Operational
bufr4/0/07/004,07,BUFR/CREX Location (vertical),007004,Pressure,Pa,-1,0,14,Pa,-1,5,,,Operational
bufr4/0/07/005,07,BUFR/CREX Location (vertical),007005,Height increment,m,0,-400,12,m,0,4,,,Operational
bufr4/0/07/006,07,BUFR/CREX Location (vertical),007006,Height above station,m,0,0,15,m,0,5,,,Operational
bufr4/0/07/007,07,BUFR/CREX Location (vertical),007007,Height,m 2–2,0,-1000,17,m 2–2,0,6,,,Operational
bufr4/0/07/008,07,BUFR/CREX Location (vertical),007008,Geopotential,m s,0,-10000,20,m s,0,7,,,Operational
bufr4/0/07/009,07,BUFR/CREX Location (vertical),007009,Geopotential height,gpm,0,-1000,17,gpm,0,5,,,Operational
bufr4/0/07/010,07,BUFR/CREX Location (vertical),007010,Flight level,m,0,-1024,16,ft,-1,5,,,Operational
bufr4/0/07/012,07,BUFR/CREX Location (vertical),007012,Grid point altitude,m,2,-50000,20,m,2,7,,,Operational
bufr4/0/07/021,07,BUFR/CREX Location (vertical),007021,Elevation,°,2,-9000,15,°,2,5,(see Note 2),,Operational
bufr4/0/07/022,07,BUFR/CREX Location (vertical),007022,Solar elevation,°,2,-9000,15,°,2,5,,,Operational
bufr4/0/07/024,07,BUFR/CREX Location (vertical),007024,Satellite zenith angle,°,2,-9000,15,°,2,5,,,Operational
bufr4/0/07/025,07,BUFR/CREX Location (vertical),007025,Solar zenith angle,°,2,-9000,15,°,2,5,,,Operational
bufr4/0/07/026,07,BUFR/CREX Location (vertical),007026,Satellite zenith angle,°,4,-900000,21,°,4,7,,,Operational
bufr4/0/07/030,07,BUFR/CREX Location (vertical),007030,Height of station ground above mean sea level,m,1,-4000,17,m,1,5,(see Note 3),,Operational
bufr4/0/07/031,07,BUFR/CREX Location (vertical),007031,Height of barometer above mean sea level,m,1,-4000,17,m,1,5,(see Note 4),,Operational
bufr4/0/07/032,07,BUFR/CREX Location (vertical),007032,Height of sensor above local ground (or deck of marine platform),m,2,0,16,m,2,5,(see Note 5),,Operational
bufr4/0/07/033,07,BUFR/CREX Location (vertical),007033,Height of sensor above water surface,m,1,0,12,m,1,4,(see Note 6),,Operational
bufr4/0/07/035,07,BUFR/CREX Location (vertical),007035,Maximum size of z-dimension,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/07/036,07,BUFR/CREX Location (vertical),007036,Level index of z,Numeric,0,0,12,Numeric,0,4,,,Operational
bufr4/0/07/040,07,BUFR/CREX Location (vertical),007040,Impact parameter,m,1,62000000,22,m,1,8,(see Note 7),,Operational
bufr4/0/07/061,07,BUFR/CREX Location (vertical),007061,Depth below land surface,m,2,0,14,m,2,5,,,Operational
bufr4/0/07/062,07,BUFR/CREX Location (vertical),007062,Depth below sea/water surface,m,1,0,17,m,1,6,,,Operational
bufr4/0/07/063,07,BUFR/CREX Location (vertical),007063,Depth below sea/water surface (cm),m,2,0,20,m,2,7,,,Operational
bufr4/0/07/064,07,BUFR/CREX Location (vertical),007064,Representative height of sensor above station,m,0,0,4,m,0,2,(see Note 8),,Operational
bufr4/0/07/065,07,BUFR/CREX Location (vertical),007065,Water pressure,Pa,-3,0,17,Pa,-3,6,,,Operational
bufr4/0/07/070,07,BUFR/CREX Location (vertical),007070,Drogue depth,m,0,0,10,m,0,4,,,Operational
bufr4/0/07/071,07,BUFR/CREX Location (vertical),007071,Height (high resolution),"m (WMO-No. 8), 1996).",3,-10000000 Weather Reporting,"26 (WMO-No. 9), Volume A - Observing Stations. Regarding",m,3,8 Guide to,,,Operational
