Id,ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit_en,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_en,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
bufr4/0/12/001,12,BUFR/CREX Temperature,012001,Temperature/air temperature,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/002,12,BUFR/CREX Temperature,012002,Wet-bulb temperature,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/003,12,BUFR/CREX Temperature,012003,Dewpoint temperature,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/004,12,BUFR/CREX Temperature,012004,Air temperature at 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/005,12,BUFR/CREX Temperature,012005,Wet-bulb temperature at 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/006,12,BUFR/CREX Temperature,012006,Dewpoint temperature at 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/007,12,BUFR/CREX Temperature,012007,Virtual temperature,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/008,12,BUFR/CREX Temperature,012008,Uncertainty in virtual temperature,K,1,0,12,°C,1,4,,,Operational
bufr4/0/12/011,12,BUFR/CREX Temperature,012011,"Maximum temperature, at height and over period specified",K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/012,12,BUFR/CREX Temperature,012012,"Minimum temperature, at height and over period specified",K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/013,12,BUFR/CREX Temperature,012013,"Ground minimum temperature, past 12 hours",K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/014,12,BUFR/CREX Temperature,012014,"Maximum temperature at 2 m, past 12 hours",K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/015,12,BUFR/CREX Temperature,012015,"Minimum temperature at 2 m, past 12 hours",K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/016,12,BUFR/CREX Temperature,012016,"Maximum temperature at 2 m, past 24 hours",K,1,0,12,°C,1,3,,,Operational
